organizator;inn_organizatora;inn_primechanie;predmet;summa;data_publikacii;data_konca_priema;status;tip_procedury;sekciya;reestrovyy_nomer;okpd2;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
Филиал публичного акционерного общества акционерная нефтяная компания «Башнефть» «Башнефть-Новойл»;;нет в словаре площадки;Запасные части к центробежному компрессору 4MSGP-14DG/10 по чертежу;НМЦ не установлена;2026-07-20;2026-07-31;Приём заявок;Запрос (Т)КП;rosnefttkp;РН60703981;28.13.32.120;https://www.tektorg.ru/rosneft/procedures/19454159;компрессор+центробежный;да;центробежный+газовая машина;
РН-ВАНКОР;2465142996;;Насос центробежный НВД-2Н 25/32 (6,0).10.700/0,6-D УХЛ1;5330717.09 ₽;2026-07-03;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ605051;;https://www.tektorg.ru/sale/procedures/18989171;центробежный;нет;;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САМОТЛОРНЕФТЕГАЗ""";8603089934;;Поставка МТР «Насос электроцентробежный (для откачки пластовой жидкости)»_3412;НМЦ не установлена;2026-07-08;2026-07-31;Приём заявок;Запрос (Т)КП;rosnefttkp;РН60702079;28.13.14;https://www.tektorg.ru/rosneft/procedures/19433225;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Реализация нового насоса центробежного самовсасывающего мембранного (ном. № 77973) и комплекта ЗИП (двойное торцевое уплотнение, ном. № 99401);НМЦ не установлена;2026-07-16;2026-07-31;Приём заявок;Запрос предложений;sale;ПИ607276;;https://www.tektorg.ru/sale/procedures/19449097;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Реализация новых насосов центробежных одноступенчатых консольных горизонтальных с магнитной муфтой 10КНмм 80-315СВ (ном. № 77695);НМЦ не установлена;2026-07-15;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ607271;;https://www.tektorg.ru/sale/procedures/19448209;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Реализация новых насосов центробежных одноступенчатых консольных горизонтальных с магнитной муфтой 10КНмм 80-315СВ (ном. № 77694);НМЦ не установлена;2026-07-15;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ607270;;https://www.tektorg.ru/sale/procedures/19448044;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Реализация новых насосов центробежных одноступенчатых консольных горизонтальных с магнитной муфтой 10КНмм 20-160 (ном. № 77681);НМЦ не установлена;2026-07-15;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ607269;;https://www.tektorg.ru/sale/procedures/19447895;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Реализация нового насоса центробежного одноступенчатого консольного горизонтального с магнитной муфтой 10КНмм 32-125 (ном. № 74147);НМЦ не установлена;2026-07-15;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ607264;;https://www.tektorg.ru/sale/procedures/19447587;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Реализация нового насоса центробежного одноступенчатого консольного горизонтального с магнитной муфтой 10КНмм 32-160 (ном. № 74146);НМЦ не установлена;2026-07-15;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ607263;;https://www.tektorg.ru/sale/procedures/19447288;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Насос центробежный одноступенчатый консольный горизонтальный 10КН 40-160 (ном. № 74142);НМЦ не установлена;2026-07-15;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ607260;;https://www.tektorg.ru/sale/procedures/19447285;центробежный;нет;;
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХИМПРОМ""";2124009521;;Насос центробежный одноступенчатый консольный горизонтальный с магнитной муфтой 10КНмм 25-160СВ (ном. № 78017, 78034);НМЦ не установлена;2026-07-16;2026-07-31;Приём заявок;Запрос предложений;sale/vitrine;ПИ607277;;https://www.tektorg.ru/sale/procedures/19449100;центробежный;нет;;
