inn;predpriyatie;company_id;procedure_id;nomer;predmet;vid;sekciya;summa;data;stadiya;ssylka
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;731662;297843;Поставка термостата низкотемпературного;закупка;Торговый портал;;2022-04-28;completed;https://etpgpb.ru/procedure/tender/price_request/297843-postavka-termostata-nizkotemperaturnogo/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;733662;32211361045;Выполнение строительно-монтажных работ по объекту «Академия настольного тенниса (спортинтернат для одаренных детей)» для нужд ООО «Газпром добыча Оренбург» (0001/22/1.5/0043543/ДОренбург/К/ГОС/Э/29.04.2022);закупка;Закупки ГК «Газпром»;569858338.8;2022-04-29;completed;https://etpgpb.ru/procedure/tender/gaz/181295-vypolnenie-stroitelno-montazhnyh-rabot-po-obektu-akademiya-nastolnogo-tennisa-sportinternat-dlya-odarennyh-detey-dlya-nuzhd-ooo-gaz
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;735600;300114;Поставка гербицида;закупка;Торговый портал;1197900.0;2022-05-06;completed;https://etpgpb.ru/procedure/tender/price_request/300114-postavka-gerbitsida/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;735603;302272;Поставка термостата низкотемпературного;закупка;Торговый портал;610355.74;2022-05-06;completed;https://etpgpb.ru/procedure/tender/price_request/302272-postavka-termostata-nizkotemperaturnogo/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;735604;302578;Поставка полиуретана (июнь);закупка;Торговый портал;1192729.2;2022-05-06;completed;https://etpgpb.ru/procedure/tender/price_request/302578-postavka-poliuretana-iyun/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;735644;32211369301;01450_Поставка инструмента, метизов, креплений;закупка;Закупки ГК «Газпром»;251419741.6;2022-05-06;completed;https://etpgpb.ru/procedure/tender/gaz/181583-01450-postavka-instrumenta-metizov-krepleniy/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;735732;32211369559;01503_Поставка металлопроката;закупка;Закупки ГК «Газпром»;112900000.0;2022-05-06;completed;https://etpgpb.ru/procedure/tender/gaz/181594-01503-postavka-metalloprokata/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;736259;32211371535;"Поставка экспресс-тестов на наличие 
антигена COVID-19 для нужд дочерних обществ ПАО «Газпром» (для субъектов малого и среднего предпринимательства) № 0001/22/СЗ/0000001460/ПР/ГОС/Э";закупка;Закупки ГК «Газпром»;25000000.0;2022-05-06;completed;https://etpgpb.ru/procedure/tender/gaz/181836-postavka-ekspress-testov-na-nalichie-antigena-covid-19-dlya-nuzhd-dochernih-obschestv-pao-gazprom-dlya-subektov-malogo-i-srednego-p
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;736298;32211371626;01532_Поставка строительных и лакокрасочных материалов;закупка;Закупки ГК «Газпром»;157540000.0;2022-05-06;completed;https://etpgpb.ru/procedure/tender/gaz/181827-01532-postavka-stroitelnyh-i-lakokrasochnyh-materialov/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;736443;32211372051;Разработка нормативного документа ООО «Газпром добыча Оренбург» и программного обеспечения, определяющих порядок планирования баланса добычи, покупки, приема углеводородного сырья, производства, транспортировки и поставки смесевой углеводородной продукции на перерабатывающие объекты ООО «Газпром пер;закупка;Закупки ГК «Газпром»;23036520.0;2022-05-06;completed;https://etpgpb.ru/procedure/tender/gaz/181867-razrabotka-normativnogo-dokumenta-ooo-gazprom-dobycha-orenburg-i-programmnogo-obespecheniya-opredelyayuschih-poryadok-planirovaniya
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;737705;32211376361;"Поставка металлопроката для нужд ООО ""Газпром добыча Оренбург"" 0026/22/4.2/0046034/ДОренбург/К/ГОС/Э/12.05.2022";закупка;Закупки ГК «Газпром»;4434500.06;2022-05-12;completed;https://etpgpb.ru/procedure/tender/gaz/181935-postavka-metalloprokata-dlya-nuzhd-ooo-gazprom-dobycha-orenburg-0026-22-4-2-0046034-dorenburg-k-gos-e-12-05-2022/
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";2;740132;32211386081;Оказание услуг по организационному обеспечению, по организации технического и декоративно-художественного оформления во время проведения Зонального тура корпоративного фестиваля «Факел» в г. Оренбург для нужд ООО «Газпром добыча Оренбург»(17406);закупка;Закупки ГК «Газпром»;13975081.81;2022-05-16;completed;https://etpgpb.ru/procedure/tender/gaz/182135-okazanie-uslug-po-organizatsionnomu-obespecheniyu-po-organizatsii-tehnicheskogo-i-dekorativno-hudozhestvennogo-oformleniya-vo-vremy
