nomer_stroki;model;strana;zakazchik_i_obekt;zakazchik;god_postavki;hvost_stroki;istochnik;data_sbora
1;Н-1100-22;Россия;Кузнецкий МК Кузнецкий МК;Кузнецкий МК;1947;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
2;Н-3500;Украина;МЗ им.Дзержинского МЗ им.Дзержинского;МЗ им.Дзержинского;1947;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
3;Н-2000-31;Украина;МЗ им.Ильича МЗ им.Ильича;МЗ им.Ильича;1947;;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
4;1800 1 0,24 0,10 Паровая турбина Металлургия воздух 4 Н-4000-42;Украина;Макеевский МЗ Макеевский МЗ;Макеевский МЗ;1947;13,7 4000 1 0,29 0,10 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
5;Н-100-11;Украина;Азовсталь Азовсталь;Азовсталь;1948;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
6;Н-1100-11;Украина;Азовсталь Азовсталь;Азовсталь;1948;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
7;Н-1100-11;Украина;Запорожсталь МЗ Запорожсталь МЗ;Запорожсталь МЗ;1948;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
8;Н-1100-13;Россия;Нижнетагильский МК Нижнетагильский МК;Нижнетагильский МК;1948;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
9;Н-3500;Украина;Макеевский МЗ Макеевский МЗ;Макеевский МЗ;1948;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
10;Н-2000-31;Украина;МЗ им.Ильича МЗ им.Ильича;МЗ им.Ильича;1948;4 1800 1 0,24 0,10 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
11;;;ОК-500-1 N 117;ОК-500-1 N 117;1948;0,1 500 1 0,10 0,10 Электродвигатель коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
12;Н-500-11;Украина;МЗ им. Петровского МЗ им. Петровского;МЗ им. Петровского;1949;0,1 500 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
13;Н-500-12;Россия;Новомосковский жестекат.завод Новомосковский жестекат.завод;Новомосковский жестекат.завод;1949;0,1 550 1 0,11 0,10 Электродвигатель Металлургия генераторный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
14;Н-3500;Россия;Иртышский полиметаллический комбинат Иртышский полиметаллический комбинат;Иртышский полиметаллический комбинат;1949;1,3 4000 1 0,09 0,09 Электродвигатель Металлургия агломерационный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
15;Н-920-31;Украина;Донецкий МК Донецкий МК;Донецкий МК;1949;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
16;Н-920-31;Украина;Енакиевский МЗ Енакиевский МЗ;Енакиевский МЗ;1949;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
17;Н-2000-32;Россия;Алмазянский МЗ Алмазянский МЗ;Алмазянский МЗ;1950;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
18;Н-2000-32;Россия;Свободный Сокол МЗ Свободный Сокол МЗ;Свободный Сокол МЗ;1950;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
19;Н-100-11;Украина;Запорожсталь МЗ Запорожсталь МЗ;Запорожсталь МЗ;1950;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
20;Н-500-12;Россия;Коминтерн МЗ Коминтерн МЗ;Коминтерн МЗ;1950;0,1 550 1 0,11 0,10 Электродвигатель Металлургия генераторный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
21;Н-1100-13;Россия;Московский коксо-газовый завод Московский коксо-газовый завод;Московский коксо-газовый завод;1950;0,15 1100 1 0,10 0,10 Электродвигатель Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
22;Н-920-31;Казахстан;Прибалхашский медеплав.завод Прибалхашский медеплав.завод;Прибалхашский медеплав.завод;1950;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
23;ОК-500-92;Россия;Норильский комбинат Норильский комбинат;Норильский комбинат;1950;3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
24;Н-3350-43;Украина;Запорожсталь МЗ Запорожсталь МЗ;Запорожсталь МЗ;1950;9 3000 1 0,29 0,27 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
25;Н-3350-43;Россия;Новолипецкий МК Новолипецкий МК;Новолипецкий МК;1950;9 3000 1 0,29 0,27 Паровая турбина Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
26;ОК-500-92;Узбекистан;Электрохимпром Электрохимпром;Электрохимпром;1950;3,5 500 1 0,88 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
27;Н-680;Казахстан;Балхашский ГМК Балхашский ГМК;Балхашский ГМК;1950;не менее 0.2 680 1 0,22 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
28;Н-1200-21;Россия;Баглейский коксо-химический завод Баглейский коксо-химический завод;Баглейский коксо-химический завод;1951;0,65 1200 1 0,13 0,09 Паровая турбина Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
29;Н-500-11;Россия;Газосланцевый завод Газосланцевый завод;Газосланцевый завод;1951;0,1 500 1 0,10 0,10 Электродвигатель Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
30;Н-1200-21;Россия;Челябинский МК Челябинский МК;Челябинский МК;1951;0,65 1200 1 0,13 0,09 Паровая турбина Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
31;Н-1200-23;Россия;Курьяновская станция аэрации Курьяновская станция аэрации;Курьяновская станция аэрации;1951;не менее 1.1 750 1 0,15 0,10 Электродвигатель Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
32;Н-270;Россия;Ленгаз Ленгаз;Ленгаз;1951;Газовая;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
33;Н-1200-21-1;Россия;Магнитогорский МК Магнитогорский МК;Магнитогорский МК;1951;0,65 1200 1 0,13 0,09 Паровая турбина Металлургия коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
34;Н-920-31;Украина;Енакиевский МЗ Енакиевский МЗ;Енакиевский МЗ;1951;2,5 800 1 0,31 0,10 Паровая турбина/ Электродвигатель Металлургия воздух РЕФЕРЕН;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
35;Н-670-23;Россия;Подземгаз Подземгаз;Подземгаз;1951;не менее 0.6 485 1 0,16 0,10 Электродвигатель Общего назначения энергетический г;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
36;ОК-500-92;Россия;Куйбышевуголь Куйбышевуголь;Куйбышевуголь;1951;3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
37;ОК-500-2;Румыния;2;2;1951;не менее 0.2 500 1 0,12 0,10 Электродвигатель сланцевый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
38;ОК-500-2;Россия;Саратовский крекинг завод Саратовский крекинг завод;Саратовский крекинг завод;1951;не менее 0.2 500 1 0,12 0,10 Электродвигатель сланцевый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
39;ОК-500-92;Узбекистан;Электрохимпром Электрохимпром;Электрохимпром;1951;3,5 500 1 0,88 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
40;Н-2700-31;Россия;Новолипецкий МК Новолипецкий МК;Новолипецкий МК;1951;6 2150 1 0,24 0,97 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
41;Н-1200-21;Россия;Баглейский коксо-химический завод Баглейский коксо-химический завод;Баглейский коксо-химический завод;1952;0,65 1200 1 0,13 0,09 Паровая турбина Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
42;Н-1200-21;Украина;Ясиновский коксо-химический завод Ясиновский коксо-химический завод;Ясиновский коксо-химический завод;1952;0,65 1200 1 0,13 0,09 Паровая турбина Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
43;Н-1200-23;Россия;Курьяновская станция аэрации Курьяновская станция аэрации;Курьяновская станция аэрации;1952;не менее 1.1 750 1 0,15 0,10 Электродвигатель Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
44;Н-2000-32;Венгрия;Меткомбинат Меткомбинат;Меткомбинат;1952;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
45;Н-205-21;Россия;Азот Азот;Азот;1952;не менее 0.3 205 1 0,16 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
46;Н-2700-31;Польша;Хута им.Сендземира Хута им.Сендземира;Хута им.Сендземира;1952;6 2150 1 0,24 0,97 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
47;Н-750-22;Румыния;Рутченковский коксо- химический завод Рутченковский коксо-химический завод;Рутченковский коксо- химический завод Рутченковский коксо-химический завод;1952;не менее 0.6 750 1 0,13 0,09 Электродвигатель Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
48;ОК-500-92;Украина;N 75 N 75;N 75;1952;3,5 500 1 0,88 0,10 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
49;Н-1200-23;Россия;Курьяновская станция аэрации Курьяновская станция аэрации;Курьяновская станция аэрации;1953;не менее 1.1 750 1 0,15 0,10 Электродвигатель Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
50;Н-920-33-1;Украина;Енакиевский МЗ Енакиевский МЗ;Енакиевский МЗ;1953;3,5 920 1 0,32 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
51;ОК-500-92;Россия;Норильский комбинат Норильский комбинат;Норильский комбинат;1953;3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
52;ОК-500-92;Россия;Томусшахтстрой Томусшахтстрой;Томусшахтстрой;1953;3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
53;Н-2700-31;Польша;Хута им.Сендземира Хута им.Сендземира;Хута им.Сендземира;1953;6 2150 1 0,24 0,97 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
54;Н-1200-25-3;Россия;Курьяновская станция аэрации Курьяновская станция аэрации;Курьяновская станция аэрации;1954;не менее 0.7 1050 1 0,12 0,09 Паровая турбина Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
55;Н-2000-32;Венгрия;Меткомбинат Меткомбинат;Меткомбинат;1954;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
56;Н-2000-32;Румыния;1;1;1954;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
57;Н-3600-11-1;Россия;Кузнецкий МК Кузнецкий МК;Кузнецкий МК;1954;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
58;Н-205-22-1;Россия;НИИ N1 МАП НИИ N1 МАП;НИИ N1 МАП;1954;1 260 1 0,22 0,09 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
59;Н-3600-11-2;Россия;Магнитогорский МК Магнитогорский МК;Магнитогорский МК;1954;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
60;Н-205-22-1;Россия;Пикалевский завод (цв.) Пикалевский завод (цв.);Пикалевский завод (цв.);1954;1 260 1 0,22 0,09 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
61;Н-6500-11-1;Россия;Череповецкий МК Череповецкий МК;Череповецкий МК;1954;1,6 6500 1 0,10 0,09 Электродвигатель Металлургия дымовой газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
62;Н-920-33-3;Россия;Чусовской МЗ Чусовской МЗ;Чусовской МЗ;1954;3,5 920 1 0,32 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
63;ОК-500-92;Украина;Сталиншахтстрой Сталиншахтстрой;Сталиншахтстрой;1954;3,5 500 1 0,88 0,10 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
64;Н-1700-41-1;Грузия;Закавказский МЗ Закавказский МЗ;Закавказский МЗ;1954;6 1700 1 0,35 0,10 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
65;Н-2700-31;Польша;Хута им.Сендземира Хута им.Сендземира;Хута им.Сендземира;1954;6 2150 1 0,24 0,97 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
66;Н-750-23-2;Украина;Луганский коксо-химический завод Луганский коксо-химический завод;Луганский коксо-химический завод;1954;не менее 0.5 680 1 0,12 0,09 Электродвигатель Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
67;Н-270-21;Украина;Криворожский ЮГОК Криворожский ЮГОК;Криворожский ЮГОК;1954;6 2150 1 0,24 0,97 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
68;Н-400-12;Украина;Константиновский ХЗ Константиновский ХЗ;Константиновский ХЗ;1954;не менее 0.2 370 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
69;К-250-61-1;Россия;"Трест ""Артемшахтстрой"" с/у 4 Трест ""Артемшахтстрой"" с/у 4";"Трест ""Артемшахтстрой"" с/у 4";1955;1,5 250 3 9,00 1,00 Электродвигатель Общего назначения воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
70;Н-1000-11-1;Россия;Кузнецкий цементный завод Кузнецкий цементный завод;Кузнецкий цементный завод;1955;5 9000 1 0,10 0,08 Электродвигатель Химическая конверторные газы;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
71;Н-1200-25-2;Россия;Челябинский МК Челябинский МК;Челябинский МК;1955;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
72;Н-3600-11-1;Россия;Кузнецкий МК Кузнецкий МК;Кузнецкий МК;1955;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
73;Н-3600-11-2;Россия;Магнитогорский МК Магнитогорский МК;Магнитогорский МК;1955;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
74;Н-750-23-2;Украина;МЗ им.Ильича МЗ им.Ильича;МЗ им.Ильича;1955;Металлургия;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
75;Н-101-11-2;Россия;Электроцинк Электроцинк;Электроцинк;1955;0,1 100 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
76;Н-1200-25-1;Украина;Ясиновский коксо-химический завод Ясиновский коксо-химический завод;Ясиновский коксо-химический завод;1955;не менее 0.7 1050 1 0,12 0,09 Паровая турбина Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
77;Н-101-11;Украина;Северский МЗ Северский МЗ;Северский МЗ;1955;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
78;Н-101-11-2;Украина;Енакиевский МЗ Енакиевский МЗ;Енакиевский МЗ;1955;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
79;Н-101-11-2;Украина;Макеевский МЗ Макеевский МЗ;Макеевский МЗ;1955;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
80;Н-101-11-2;Украина;МЗ им.Ворошилова МЗ им.Ворошилова;МЗ им.Ворошилова;1955;0,1 100 1 0,12 0,10 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
81;Н-500-12;Россия;Магнитогорский МК Магнитогорский МК;Магнитогорский МК;1955;0,1 550 1 0,11 0,10 Электродвигатель Металлургия генераторный газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
82;Н-205-22;Россия;Азот Азот;Азот;1955;1 260 1 0,22 0,09 Электродвигатель Химическая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
83;Н-205-22;Украина;Подземгаз Подземгаз;Подземгаз;1955;не менее 0.6 206 1 0,22 0,09 Электродвигатель Газовая воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
84;Н-325-11;Россия;Серп и Молот МЗ Серп и Молот МЗ;Серп и Молот МЗ;1955;0,5 325 1 0,12 0,10 Электродвигатель Металлургия полуводяной газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
85;Н-325-11;Россия;Челябинский цинковый завод Челябинский цинковый завод;Челябинский цинковый завод;1955;0,5 325 1 0,12 0,10 Электродвигатель Металлургия полуводяной газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
86;Н-325-11;Россия;Электроцинк Электроцинк;Электроцинк;1955;0,5 325 1 0,12 0,10 Электродвигатель Металлургия полуводяной газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
87;Н-205-22;Украина;Донецкий МК Донецкий МК;Донецкий МК;1955;1 260 1 0,22 0,09 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
88;Н-205-22;Россия;Пикалевский завод (цв.) Пикалевский завод (цв.);Пикалевский завод (цв.);1955;1 260 1 0,22 0,09 Электродвигатель Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
89;Н-1700-41-1;Грузия;Закавказский МЗ Закавказский МЗ;Закавказский МЗ;1955;6 1700 1 0,35 0,10 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
90;Н-1700-41-1;Украина;Криворожский МЗ Криворожский МЗ;Криворожский МЗ;1955;6 1700 1 0,35 0,10 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
91;Н-1700-41-1;Украина;МЗ им. Петровского МЗ им. Петровского;МЗ им. Петровского;1955;6 1700 1 0,35 0,10 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
92;Н-1700-41-1;Россия;Свободный Сокол МЗ Свободный Сокол МЗ;Свободный Сокол МЗ;1955;6 1700 1 0,35 0,10 Металлургия воздух;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
93;Н-400-12-2;Украина;Запорожский железорудный комбинат Запорожский железорудный комбинат;Запорожский железорудный комбинат;1955;не менее 0.2 370 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
94;Н-400-12-2;Украина;Сталинский КХЗ Сталинский КХЗ;Сталинский КХЗ;1955;не менее 0.2 370 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
95;Н-400-12-2;Казахстан;Усть-Каменогорский комбинат Усть-Каменогорский комбинат;Усть-Каменогорский комбинат;1955;не менее 0.2 370 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
96;Н-400-12-2;Украина;Запорожский завод огнеупоров Запорожский завод огнеупоров;Запорожский завод огнеупоров;1955;не менее 0.3 370 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
97;Н-700-11-1;Украина;Запорожсталь МЗ Запорожсталь МЗ;Запорожсталь МЗ;1955;не менее 0.3 700 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
98;Н-700-12-1;Россия;Новолипецкий МК Новолипецкий МК;Новолипецкий МК;1955;не менее 0.3 700 1 0,02 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
99;Н-700-13-1;Россия;Иртышский полиметаллический комбинат Иртышский полиметаллический комбинат;Иртышский полиметаллический комбинат;1955;не менее 0.3 700 1 0,03 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
100;Н-700-13-1;Украина;Макеевский МЗ Макеевский МЗ;Макеевский МЗ;1955;не менее 0.3 700 1 0,03 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
101;Н-700-13-1;Россия;Южуралникель Южуралникель;Южуралникель;1955;не менее 0.3 700 1 0,03 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
102;Н-750-23;Украина;Луганский коксо-химический завод Луганский коксо-химический завод;Луганский коксо-химический завод;1955;не менее 0.5 680 1 0,12 0,09 Электродвигатель Химическая коксовый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
103;Н-700-11;Россия;Электроцинк Электроцинк;Электроцинк;1955;не менее 0.3 700 1 0,11 0,09 Электродвигатель Металлургия сернистый газ;https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2026-07-29
