inn;zakazchik;mashin_vsego;mashin_istekaet;prioritet;istochnik_kartochki
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";247;40;327;https://monitor-pb.ru/customer/7202116628
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";216;46;308;https://monitor-pb.ru/customer/8622000931
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";173;29;231;https://monitor-pb.ru/customer/1102024468
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";218;4;226;https://monitor-pb.ru/customer/8904034777
8401005730;"ПАО ""ГМК ""НОРИЛЬСКИЙ НИКЕЛЬ""";171;14;199;https://monitor-pb.ru/customer/8401005730
4218000951;"АО ""ЕВРАЗ ЗСМК""";165;13;191;https://monitor-pb.ru/customer/4218000951
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";168;10;188;https://monitor-pb.ru/customer/0266048970
7116000066;"АО ""НАК ""АЗОТ""";167;7;181;https://monitor-pb.ru/customer/7116000066
6320004728;"АО ""ТОАЗ""";170;4;178;https://monitor-pb.ru/customer/6320004728
5920000593;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЧАЙКОВСКИЙ""";141;14;169;https://monitor-pb.ru/customer/5920000593
1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";131;16;163;https://monitor-pb.ru/customer/1102054991
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";134;14;162;https://monitor-pb.ru/customer/6320005915
0274051582;"ПАО АНК ""БАШНЕФТЬ""";154;3;160;https://monitor-pb.ru/customer/0274051582
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";126;17;160;https://monitor-pb.ru/customer/7017075536
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";132;6;144;https://monitor-pb.ru/customer/8608048498
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";136;2;140;https://monitor-pb.ru/customer/1651000010
2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";114;8;130;https://monitor-pb.ru/customer/2631015563
1651000041;"АО ""НИЖНЕКАМСКТЕХУГЛЕРОД""";79;25;129;https://monitor-pb.ru/customer/1651000041
4205000908;"КАО ""АЗОТ""";105;5;115;https://monitor-pb.ru/customer/4205000908
3801046700;"АО ""АЗП""";104;1;106;https://monitor-pb.ru/customer/3801046700
5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";85;9;103;https://monitor-pb.ru/customer/5501041254
7805018099;"ООО ""ГАЗПРОМ ТРАНСГАЗ САНКТ-ПЕТЕРБУРГ""";97;2;101;https://monitor-pb.ru/customer/7805018099
5191431170;"АО ""КОЛЬСКАЯ ГМК""";95;3;101;https://monitor-pb.ru/customer/5191431170
8617002073;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";76;11;98;https://monitor-pb.ru/customer/8617002073
0268008010;"АО ""БСК""";85;6;97;https://monitor-pb.ru/customer/0268008010
7703647595;"АО ""ОХК ""УРАЛХИМ""";81;5;91;https://monitor-pb.ru/customer/7703647595
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";88;1;90;https://monitor-pb.ru/customer/5905099475
1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";62;13;88;https://monitor-pb.ru/customer/1600000036
2434000335;"АО ""ПОЛЮС КРАСНОЯРСК""";52;12;76;https://monitor-pb.ru/customer/2434000335
2457061937;"ООО ""НОРИЛЬСКНИКЕЛЬРЕМОНТ""";66;3;72;https://monitor-pb.ru/customer/2457061937
6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";62;5;72;https://monitor-pb.ru/customer/6323049893
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";59;6;71;https://monitor-pb.ru/customer/0276053659
6227007322;"АО ""РНПК""";56;4;64;https://monitor-pb.ru/customer/6227007322
5260080007;"ООО ""ГАЗПРОМ ТРАНСГАЗ НИЖНИЙ НОВГОРОД""";59;2;63;https://monitor-pb.ru/customer/5260080007
0258005638;"АО ""ПОЛИЭФ""";60;1;62;https://monitor-pb.ru/customer/0258005638
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";59;1;61;https://monitor-pb.ru/customer/6608007434
2624022320;"ООО ""СТАВРОЛЕН""";59;1;61;https://monitor-pb.ru/customer/2624022320
0266008329;"ОАО ""Газпром нефтехим Салават""";60;0;60;https://monitor-pb.ru/customer/0266008329
7530000048;"ПАО ""ППГХО""";60;0;60;https://monitor-pb.ru/customer/7530000048
7118004789;"ОАО ""Щекиноазот""";49;5;59;https://monitor-pb.ru/customer/7118004789
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";52;3;58;https://monitor-pb.ru/customer/5249002485
3006006420;"ООО ""ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ""";46;6;58;https://monitor-pb.ru/customer/3006006420
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";57;0;57;https://monitor-pb.ru/customer/3445042160
6325004584;"АО ""СНПЗ""";49;3;55;https://monitor-pb.ru/customer/6325004584
8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";35;10;55;https://monitor-pb.ru/customer/8904034784
6330017980;"АО ""ННК""";50;2;54;https://monitor-pb.ru/customer/6330017980
