srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
active;центробежный компрессор;43-ТУ-45860-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Воздухоохладитель I секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-26В/1, зав.№90020;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45860-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;43-ТУ-45880-2025;11.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Воздухоохладитель II секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-26В/2, зав.№90020;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-45880-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;48-ТУ-488402-2025;24.11.2025;4823006703;"ПАО ""НЛМК""";Кислородный-центробежный воздушный компрессор К-1500-62-2 ст.№5, инв.№62837;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-488402-2025;https://monitor-pb.ru/customer/4823006703
active;центробежный компрессор;48-ТУ-351313-2025;10.10.2025;4823006703;"ПАО ""НЛМК""";Кислородный цех, Центробежный воздушный компрессор К-1500-62-2 ст.№1, инв.№87688;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-351313-2025;https://monitor-pb.ru/customer/4823006703
active;центробежный компрессор;48-ТУ-351343-2025;10.10.2025;4823006703;"ПАО ""НЛМК""";Кислородный цех, Центробежный воздушный компрессор К-1500-62-2 ст.№1, инв.№87690;ТУ;4823055443;"ООО ""ЦЕНТР ПРОЕКТИРОВАНИЯ И ИЗЫСКАНИЙ""";соответствует;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-351343-2025;https://monitor-pb.ru/customer/4823006703
active;центробежный компрессор;35-ТУ-01678-2022;25.02.2022;2631015563;"АО ""НЕВИННОМЫССКИЙ АЗОТ""";центробежный компрессор технологического воздуха, поз.101-J, эксплуатируемый в АО «Невинномысский Азот», цех № 1-В (ОПО II класса опасности);ТУ;7116025938;"ПАО ""НОРЭ""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-01678-2022;https://monitor-pb.ru/customer/2631015563
active;центробежный компрессор;43-ТУ-46025-2025;15.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Воздухоохладитель II секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-25А/2, зав.№97003 на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-46025-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;43-ТУ-46034-2025;15.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Воздухоохладитель II секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-25Б/2, зав.№71035 эксплуатируемого на ПАО «Казаньоргсинтез», Энергопроизводство, Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-46034-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;43-ТУ-46038-2025;15.04.2025;1658008723;"ПАО ""КАЗАНЬОРГСИНТЕЗ""";Воздухоохладитель I секции центробежного компрессора ЦК135/8 (М1), поз.№ВО-25Б/1, зав.№71035, эксплуатируемого на ПАО «Казаньоргсинтез», Энергопроизводтво, Производство технических газов;ТУ;1661021756;"ЗАО ""ДИНАМИКА""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-46038-2025;https://monitor-pb.ru/customer/1658008723
active;центробежный компрессор;53-ТУ-48480-2022;12.08.2022;6330000553;"АО ""НК НПЗ""";Центробежный компрессор марки ЦК-135/8, технологический индекс К-1, заводской № 78021, Цех Энергопроизводства, участок по эксплуатации объектов производства сжатого воздуха (ВКС-6);ТУ;6312031510;"ООО ПФ ""ЭДТОН""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-48480-2022;https://monitor-pb.ru/customer/6330000553
