inn;predpriyatie;nomer;predmet;zakazchik;summa;data;stadiya;ssylka
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615947246;Выполнение проектно-изыскательских и строительно-монтажных работ с прохождением негосударственной экспертизы сметной документации по реконструкции объекта: «Сети канализации по АТП-5, промзона 1», инвентарный номер 30 850.;;;;;https://www.roseltorg.ru/procedure/32615947246/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615947246;32615947246 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615947246/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615939944;Выполнение проектно-изыскательских и строительно-монтажных работ с прохождением негосударственной экспертизы сметной документации по реконструкции объекта: «Сети канализации по ул. Чехова №4/2», инвентарный номер 2 194;;;;;https://www.roseltorg.ru/procedure/32615939944/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615939944;32615939944 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615939944/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615935079;Оказание метрологических услуг по поверке и ремонту контрольно-измерительных устройств (газоанализаторов).;;;;;https://www.roseltorg.ru/procedure/32615935079/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615935079;32615935079 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615935079/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615928259;Оказание услуг по восстановлению работоспособности и синхронизации баз данных на платформе «1С:Предприятие».;;;;;https://www.roseltorg.ru/procedure/32615928259/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615928259;32615928259 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615928259/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615925041;Оказание услуг по поставке (приобретению) и продлению неисключительных прав на использование программного обеспечения «Гранд-Смета», а также техническому сопровождению и обновлению баз данных.;;;;;https://www.roseltorg.ru/procedure/32615925041/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615925041;32615925041 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615925041/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615923056;Поставка трубы стальной;;;;;https://www.roseltorg.ru/procedure/32615923056/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615923056;32615923056 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615923056/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615904999;Поставка уровнемеров ультразвуковых.;;;;;https://www.roseltorg.ru/procedure/32615904999/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615904999;32615904999 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615904999/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615904498;Поставка хозяйственно-бытовых товаров, чистящих и моющих средств;;;;;https://www.roseltorg.ru/procedure/32615904498/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615904498;32615904498 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615904498/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615904170;Выполнение проектно-изыскательских и строительно-монтажных работ с прохождением негосударственной экспертизы сметной документации по реконструкции объекта: «Хозяйственно-бытовая канализация ул. Югорская», инвентарный номер 31134.;;;;;https://www.roseltorg.ru/procedure/32615904170/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615904170;32615904170 (Лот 1);;;;;https://www.roseltorg.ru/procedure/32615904170/1
8602016725;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРВОДОКАНАЛ""";32615900247;Оказание услуг по осуществлению авторского надзора по реконструкции объекта: «Наружные канализационные сети от ЛИУ-17 до КНС», участок самотечного коллектора Ду-400мм по ул. Трубная», инвентарный номер 31 623.;;;;;https://www.roseltorg.ru/procedure/32615900247/1
