nomer;data_reg;data_konec;deklarant;izgotovitel;produkt;est_v_zerkale;istochnik;data_sbora
ЕАЭС N RU Д-RU.ИМ43.А.01229;24.05.2018;23.05.2019;Закрытое акционерное общество «Невский завод»;Закрытое акционерное общество «Невский завод»;Центробежный компрессор модель ЦБК295-2,75/34-5300/18СМП,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-IE.МО10.В.05093;02.02.2018;01.02.2023;"Общество с ограниченной ответственностью ""Ингерсолл-Рэнд Сервисис энд Трэйдинг""";Ingersoll-Rand International Ltd;Центробежный компрессор типа LMAC,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-IE.МО10.В.04975;30.01.2018;29.01.2023;"Общество с ограниченной ответственностью ""Ингерсолл-Рэнд Сервисис энд Трэйдинг""";Ingersoll-Rand International Ltd;Центробежный компрессор,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-IE.МО10.В.04934;29.01.2018;28.01.2023;"Общество с ограниченной ответственностью ""Ингерсолл-Рэнд Сервисис энд Трэйдинг""";Ingersoll-Rand International Ltd;Центробежный компрессор,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-US.АБ93.А.05762;16.10.2017;15.10.2018;Общество с ограниченной ответственностью «НИТЕСКО»;"""Turbocor Compressors Inc""";Оборудование компрессорное: центробежный компрессор, артикул 030101031M Compressor TURBOCOR TT400-H-1-ST-E-O-CE, серийный номер 151055190;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-CN.АЖ15.В.01806;31.07.2017;30.07.2018;"Товарищество с ограниченной ответственностью ""Казахстанско-китайская буровая компания ""Великая стена"" БИН: 991140004489";"""DANVERS AUTOMATIC CONTROL MANAGEMENT (SHANGHAI) CO., LTD.""";Оборудование нефтегазопромысловое, буровое геологоразведочное: Центробежный компрессор охлаждения,;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ЕАЭС N RU Д-RU.АЗ01.А.07132;28.06.2017;27.06.2023;Закрытое акционерное общество «Невский завод»;Закрытое акционерное общество «Невский завод»;Центробежный компрессор;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-US.АУ04.А.52756;19.08.2016;18.08.2017;"Общество с ограниченной ответственностью ""ХолодИнвестГрупп"". Учетный номер плательщика 591018848";"""Danfoss Turbocor Компрессоры Inc""";Оборудование компрессорное: Центробежный компрессор, модель TURBOCOR TT300 H6-1-ST-P-O-CE;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-US.АУ04.А.52753;19.08.2016;;"Общество с ограниченной ответственностью ""ХолодИнвестГрупп"". Учетный номер плательщика 591018848";"""Danfoss Turbocor Компрессоры Inc""";Оборудование компрессорное : Центробежный компрессор, модель TURBOCOR TT300 H6-1-ST-P-O-CE;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
ТС N RU Д-NL.АУ04.В.50095;19.07.2016;18.07.2017;Товарищество с ограниченной ответственностью «Дочерняя Организация Китайской нефтяной инженерно-строительной группы». Бизнес-идентификационный номер: 000240002706;"""SIEMIENS""";Оборудование компрессорное: Центробежный компрессорный агрегат с газотурбинным приводом;НЕТ;"pub.fsa.gov.ru/rds/declaration напрямую; инлайн-фильтр колонки «Общее наименование продукции» = точная подстрока «центробежный компрессор»; 100 записей на странице";2026-07-30
