inn;score;gruppa;ploshchadki
9102057281;1013.8;добыть контакт;"Росэлторг; Сбербанк-АСТ"
6320004728;1008.3;добыть контакт;ТЭК-Торг
5907001774;1008.3;добыть контакт;"Tender.pro; ЭТП ГПБ"
3304000103;1008.3;добыть контакт;Росэлторг
4205002327;1008.3;добыть контакт;ЭТП ГПБ
3849096450;1008.3;добыть контакт;"Tender.pro; Портал; Росэлторг; ТЭК-Торг; ЭТП ГПБ"
5048052077;1008.3;добыть контакт;"Портал; Сбербанк-АСТ"
2130225986;1008.3;добыть контакт;"Портал; Сбербанк-АСТ; ТЭК-Торг"
5052021890;1008.3;добыть контакт;Портал
5032004536;1008.3;добыть контакт;"Портал; ЭТП ГПБ"
3528000967;1005.5;добыть контакт;Сбербанк-АСТ
5248011350;1005.5;добыть контакт;Сбербанк-АСТ
5318009413;1005.5;добыть контакт;Сбербанк-АСТ
6234056779;1005.5;добыть контакт;Сбербанк-АСТ
8607100272;1005.5;добыть контакт;Сбербанк-АСТ
4317002773;1005.5;добыть контакт;Сбербанк-АСТ
7730052050;1005.5;добыть контакт;Сбербанк-АСТ
5411100875;1005.5;добыть контакт;Сбербанк-АСТ
5014009027;1005.5;добыть контакт;Сбербанк-АСТ
7404003070;1005.5;добыть контакт;Сбербанк-АСТ
7816723776;1005.5;добыть контакт;Росэлторг
5019028190;1005.5;добыть контакт;Сбербанк-АСТ
7727178374;1005.5;добыть контакт;Сбербанк-АСТ
3328007468;1005.5;добыть контакт;Росэлторг
5004028359;1005.5;добыть контакт;Сбербанк-АСТ
7820013539;1005.5;добыть контакт;Сбербанк-АСТ
2900000328;1005.5;добыть контакт;"Росэлторг; Сбербанк-АСТ"
5047163560;1005.5;добыть контакт;Сбербанк-АСТ
5190076325;1005.5;добыть контакт;Сбербанк-АСТ
8107008649;1005.5;добыть контакт;Сбербанк-АСТ
7817030855;1005.5;добыть контакт;Сбербанк-АСТ
7111504158;1005.5;добыть контакт;Сбербанк-АСТ
5078018210;1005.5;добыть контакт;Сбербанк-АСТ
5022088262;1005.5;добыть контакт;Сбербанк-АСТ
7010005385;1005.5;добыть контакт;Сбербанк-АСТ
5008046711;1005.5;добыть контакт;Сбербанк-АСТ
2334018032;1005.5;добыть контакт;Сбербанк-АСТ
5321047240;1005.5;добыть контакт;Сбербанк-АСТ
7703782266;1005.5;добыть контакт;Сбербанк-АСТ
5902056593;1005.5;добыть контакт;Сбербанк-АСТ
