tip;id;predmet;zakazchik;cena;url_kartochki;kontaktnoe_lico;istochnik;data_sbora
Закупка по потребностям;3773266;Компрессор;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАНЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ";6 913,28 ₽;https://zakupki.mos.ru/need/3773266;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;9954986;КОМПРЕССОРЫ;Государственное бюджетное учреждение города Москвы «Автомобильные дороги Зеленоградского административного округа» (ИНН: 7735580463);43 350,00 ₽;https://zakupki.mos.ru/auction/9954986;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
B2B-закупка;5212508;Компрессор;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";Не определена;https://zakupki.mos.ru/need/5212508;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;5020458;Компрессор;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СЕРГИЕВО-ПОСАДСКАЯ РАЙОННАЯ БОЛЬНИЦА""";242 000,00 ₽;https://zakupki.mos.ru/need/5020458;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
B2B-закупка;6053525;Компрессор;"АКЦИОНЕРНОЕ ОБЩЕСТВО ЦЕНТР СУДОРЕМОНТА ""ЗВЕЗДОЧКА""";Не определена;https://zakupki.mos.ru/need/6053525;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
B2B-закупка;5358419;Компрессор;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛ - ТРАНСКОМ""";Не определена;https://zakupki.mos.ru/need/5358419;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;5242112;Компрессор;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 68 ПРИМОРСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;16 410,00 ₽;https://zakupki.mos.ru/need/5242112;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Котировочная сессия;9735900;Компрессор;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКОЕ ОБЪЕДИНЕНИЕ УПРАВЛЕНИЯ ДЕЛАМИ ПРАВИТЕЛЬСТВА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";38 400,00 ₽;https://zakupki.mos.ru/auction/9735900;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;3750803;Компрессор;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКОЕ ОБЪЕДИНЕНИЕ УПРАВЛЕНИЯ ДЕЛАМИ ПРАВИТЕЛЬСТВА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";38 400,00 ₽;https://zakupki.mos.ru/need/3750803;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
Закупка по потребностям;4003917;Блок защиты компрессора INT69 для компрессоров HANBELL;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА ""ТЕМП""";120 006,00 ₽;https://zakupki.mos.ru/need/4003917;;"zakupki.mos.ru/purchase/list, filter={""nameLike"":{""contains"":true,""value"":""компрессор""}}, perPage=50, стр.1 из 3044 найденных";2026-07-30
