inn;predpriyatie;nazvaniy_v_sbere;lotov_obshchie;lotov_centro;centro_predmet;priznaki;kandidatov_min;rukovoditel;dolzhnost
3808229774;"ООО ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";1;25;59;да;центробежный;5;Причко Олег Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
6829012680;"АО ""РИР ЭНЕРГО""";3;27;8;да;центробежный;1;Сухотина Ксения Анатольевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
6315376946;"ПАО ""Т ПЛЮС""";3;6;6;;истекающий,центробежный;3;Сниккарс Павел Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
7817311895;"АО ""АЭМ-ТЕХНОЛОГИИ""";3;7;5;да;истекающий;1;;
7530000048;"ПАО ""ППГХО""";1;2;3;;центробежный;3;Киселев Иван Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
5042006211;"ФКП ""НИЦ РКП""";2;21;1;да;истекающий;1;Савчук Павел Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
5249002485;"ФКП ""ЗАВОД ИМЕНИ Я.М.СВЕРДЛОВА""";1;8;1;да;воздушный,центробежный;1;Гиниятов Наиль Халилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
6629022962;"АО ""УЭХК""";1;2;1;да;центробежный;2;Дудин Александр Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
2902059091;"АО ""ПО ""СЕВМАШ""";3;22;0;;истекающий;1;Будниченко Михаил Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
4216001565;"АО ""КФ""";1;7;0;;центробежный;5;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";
2315072242;"АО ""ЧЕРНОМОРТРАНСНЕФТЬ""";1;7;0;;воздушный,центробежный;5;Зленко Александр Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";1;5;0;;воздушный,истекающий,центробежный;1;Маганов Наиль Ульфатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
6623029538;"АО ""НПК ""Уралвагонзавод""";1;4;0;;воздушный,центробежный;1;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""УРАЛВАГОНЗАВОД""";
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";1;3;0;;центробежный;4;Быстров Андрей Владимирович;ВРИО  ГЕНЕРАЛЬНОГО ДИРЕКТОРА
2310040800;"АО ""КТК-Р""";1;2;0;;воздушный,истекающий,центробежный;2;Горбань Николай Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
7302040242;"АО ""ГНЦ НИИАР""";1;2;0;;истекающий;5;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ НАУКА""";
6147025090;"ФКП ""КОМБИНАТ ""КАМЕНСКИЙ""";1;2;0;;истекающий;1;Аташев Юлдаш Махамаджанович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
6666000100;"АО ""КУЛЗ""";1;2;0;;истекающий;1;Русаков Вячеслав Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
4205000908;"КАО ""АЗОТ""";1;1;0;;воздушный,истекающий,центробежный;3;Вишневский Андрей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
0266036534;"АО ""СХЗ"" (ИНН 0266036534)";1;1;0;;воздушный,центробежный;2;Усманов Анатолий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР
9102048801;"ГУП РК ""ЧЕРНОМОРНЕФТЕГАЗ""";1;1;0;;истекающий,центробежный;1;Ершов Владимир Евгеньевич;ВРЕМЕННО ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ГЕНЕРАЛЬНОГО ДИРЕКТОРА
