zapros;polezno;kategoria;mash_slovo;srok;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
ротор компрессора;да;машина;да;действует;41-ТУ-15105-2023;02.03.2023;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБН тип Н-370-18-1 зав. №6779 и ротор зав. № б/н ГПА ст. №37, инв. № 080941;ТУ;7813411480;"ООО ""НИИПГАЗА""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15105-2023;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;41-ТП-18059-2023;14.03.2023;0268004714;"АО ""СНХЗ""";«Установка датчиков осевого сдвига ротора компрессора № 2.1» шифр 19854;ТП;0266052409;"ООО ""БАШПРОМЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-18059-2023;https://monitor-pb.ru/customer/0268004714
ротор компрессора;да;машина;да;истёк;53-ТУ-07304-2018;15.06.2018;6320004630;"ПАО ""АЗОТРЕММАШ""";Ротор компрессора 103J, КВД 272ВR7/1, зав.№ G0472 4448. Заказчик: ОАО «Азотреммаш» г. Тольятти, Самарской области;ТУ;7733078410;"ФБУ ""Научно-технический центр ""Энергобезопасность""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07304-2018;https://monitor-pb.ru/customer/6320004630
ротор компрессора;да;машина;да;действует;41-ТУ-72800-2022;23.11.2022;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБН типа НЦ-16/56 зав. № 27, станц. № 135, инв. № 230346;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-72800-2022;https://monitor-pb.ru/customer/8904034784
ротор компрессора;да;машина;да;действует;41-ТУ-72804-2022;23.11.2022;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБН типа НЦ-16/76 зав. № 61, станц. № 123, инв. № 226272;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-72804-2022;https://monitor-pb.ru/customer/8904034784
ротор компрессора;да;машина;да;действует;41-ТУ-72807-2022;23.11.2022;8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБН типа НЦ-16/56 зав. № 18, станц. № 124, инв. № 226303;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-72807-2022;https://monitor-pb.ru/customer/8904034784
ротор компрессора;да;машина;да;не указан;41-ТУ-01274-2014;29.01.2014;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";ротор центробежного компрессора типа Н-370-18-1 зав. № 6772, ст. №27 установленный на КС-19 шаранского ЛПУМГ;ТУ;0276081462;"ООО НПК ""ДИАКОНТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01274-2014;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;22-ТУ-22420-2015;01.10.2015;5321029508;"ПАО ""АКРОН""";ротор осевого компрессора турбины низкого давления, зав. № 36 комплексного машинного агрегата КМА-4 № 1, установленный в цехе азотной кислоты (отделение 2);ТУ;7813012206;"ЗАО ""НПФ ""Невинтермаш""";соответствует;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-22420-2015;https://monitor-pb.ru/customer/5321029508
ротор компрессора;да;машина;да;не указан;41-ТУ-01275-2014;29.01.2014;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";центробежный компрессор типа Н-370-18-1 с ротором зав.№7085, ст.№35, установленный на КС-17А Полянского ЛПУМГ;ТУ;0276081462;"ООО НПК ""ДИАКОНТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01275-2014;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;41-ТУ-01279-2014;29.01.2014;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";центробежный компрессор типа Н-235-21-1 с ротором, заводской № 7046, станционный № 38, установленного на КС-19А Шаранского ЛПУМГ;ТУ;0276081462;"ООО НПК ""ДИАКОНТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01279-2014;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-01419-2020;20.01.2020;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБК типа Н-370-18-1 зав. № 6943, станц. № 22, инв. № 080850, КС-18;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01419-2020;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;не указан;41-ТУ-23165-2014;23.07.2014;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";центробежный компрессор типа Н-235-21-1 с ротором зав. №7020 ст. № 31, установленный на КС-18А Дюртюлинского ЛПУМГ ООО;ТУ;0276081462;"ООО НПК ""ДИАКОНТ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-23165-2014;https://monitor-pb.ru/customer/0276053659
ротор компрессора;да;машина;да;истёк;41-ТУ-64199-2019;25.12.2019;0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";Корпус и ротор центробежного нагнетателя (компрессора) ЦБК типа Н-370-18-1 зав. № 6943, станц. № 22, инв. № 080850, КС-18;ТУ;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-64199-2019;https://monitor-pb.ru/customer/0276053659
