inn;predpriyatie;na_chem_derzhitsya;priznak_chuzhoy_mashiny;marki;tip_mashiny;predmet;citata
0210027094;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО РАЙОНА БЕЛОКАТАЙСКИЙ РАЙОН РЕСП;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0245004926;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ С;слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0256006322;"АО ""БМК""";слово доказывает;да;EVL 250/37;вихревая или роторная воздуходувка, принцип не центробежный;;
0256006322;"АО ""БМК""";слово доказывает;да;EVL 250/37;вихревая или роторная воздуходувка, принцип не центробежный;;
0258005638;"АО ""ПОЛИЭФ""";слово доказывает;да;IRS-150L;вихревая или роторная воздуходувка, принцип не центробежный;;
0258005638;"АО ""ПОЛИЭФ""";слово доказывает;да;IRS-150L;вихревая или роторная воздуходувка, принцип не центробежный;;
0258005638;"АО ""ПОЛИЭФ""";слово доказывает;да;IRS-150L;вихревая или роторная воздуходувка, принцип не центробежный;;
0266004050;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САЛАВАТСТЕКЛО""";слово доказывает;да;DT 4,25 | КО-06;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;GL 13.6W;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;GL 13.6;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
0266048970;"ООО ""ГАЗПРОМ НЕФТЕХИМ САЛАВАТ""";слово доказывает;да;;вихревая или роторная воздуходувка, принцип не центробежный;;
