tip;nomer;produkt;izgotovitel;deklarant;status;strana;data;url;istochnik;data_sbora
Декларация;ЕАЭС N RU Д-RU.РА06.А.41161/26 ФСА ↗;"Установка компрессорная 1ЦКМ15-04, состоящая из трех центробежных электрокомпрессоров серии «ГАГЛИ-023» и одного турбодетандера серии «ГАГЛИ-023Д» TM: ООО ""Фирма НОЭМИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА НОЭМИ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА НОЭМИ""";Действует;Российская Федерация;24.07.2026;›;https://vaskov.pro/sertifikaty/declaration/21665349;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА06.В.05745/26 ФСА ↗;Оборудование компрессорное: Компрессор центробежный НЦ16М/120-06;"Публичное акционерное общество ""Научно-производственное объединение ""Искра""";"Публичное акционерное общество ""Научно-производственное объединение ""Искра""";Действует;Российская Федерация;16.07.2026;›;https://vaskov.pro/sertifikaty/declaration/21627142;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА05.В.37011/26 ФСА ↗;Центробежный воздушный компрессор,;FS-Elliott (Shanghai) Machinery Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТИЗА""";Действует;Китайская Народная Республика;24.06.2026;›;https://vaskov.pro/sertifikaty/declaration/21550553;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА05.В.36964/26 ФСА ↗;Центробежный воздушный компрессор,;FS-Elliott (Shanghai) Machinery Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТИЗА""";Действует;Китайская Народная Республика;24.06.2026;›;https://vaskov.pro/sertifikaty/declaration/21550491;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА04.В.81009/26 ФСА ↗;Центробежный компрессор;Turbo-Tech Compressor Wuxi Cо., Ltd;"Общество с ограниченной ответственностью ""Уралэнергомаш""";Действует;Китайская Народная Республика;08.06.2026;›;https://vaskov.pro/sertifikaty/declaration/21487739;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА04.В.69602/26 ФСА ↗;Оборудование комрессорное: Одноступенчатая воздуходувка, центробежный компрессор, модель: НКБ-75;Shandong Huadong Blower Co.,Ltd;"Общество с ограниченной ответственностью ""ВЕКТОР ТРЕЙД""";Действует;Китайская Народная Республика;01.06.2026;›;https://vaskov.pro/sertifikaty/declaration/21475066;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА04.В.67975/26 ФСА ↗;Многоступенчатый центробежный компрессор.;SHANDONG ZHANGQIU BLOWER CO., LTD.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДВД-ГРУПП""";Действует;Китайская Народная Республика;01.06.2026;›;https://vaskov.pro/sertifikaty/declaration/21473223;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Сертификат;ЕАЭС RU С-CN.МТ25.В.08812/26 ФСА ↗;Компоненты, поставляемые в качестве сменных (запасных) частей для послепродажного обслуживания транспортных средств марки SITRAK, HOWO типа ZZHS в соответствии с электронным каталогом EPC (Electronic …;China National Heavy Duty Truck Group Co., Ltd.;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИНОТРАК РУС""";Действует;—;27.05.2026;›;https://vaskov.pro/sertifikaty/certificate/3679008;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-CN.РА04.В.19450/26 ФСА ↗;Оборудование холодильное, с маркировкой «ICER» («АЙСЕР»):;«Suzhou Chilling and Heating Energy Technology Co., Ltd»;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВО-СЕРВИСНАЯ КОМПАНИЯ ""ЭНЕРГЕТИКА""";Действует;Китайская Народная Республика;14.05.2026;›;https://vaskov.pro/sertifikaty/declaration/21418586;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
Декларация;ЕАЭС N RU Д-RU.РА03.А.82367/26 ФСА ↗;Оборудование компрессорное;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ЗАВОД""";Действует;Российская Федерация;29.04.2026;›;https://vaskov.pro/sertifikaty/declaration/21376432;https://pub.fsa.gov.ru/rds/declaration (через зеркало vaskov.pro/sertifikaty, запрос product=центробежный компрессор);2026-07-29
