тир;блок;фасет;ключ;значение;товаров;шорт-лист
;пробел в фасете;Производительность, л/мин;perf;1540;15;
;пробел в фасете;Производительность, л/мин;perf;9300;15;
;пробел в фасете;Производительность, л/мин;perf;15800;15;
;пробел в фасете;Рабочее давление, бар;press;0,6;14;
;пробел в фасете;Мощность, кВт;power;294;14;
;пробел в фасете;Мощность, кВт;power;309;14;
;пробел в фасете;Производительность, л/мин;perf;13700;14;
;пробел в фасете;Производительность, л/мин;perf;14200;14;
;пробел в фасете;Производительность, л/мин;perf;12400;14;
;пробел в фасете;Производительность, л/мин;perf;22200;14;
;пробел в фасете;Производительность, л/мин;perf;7900;14;
;пробел в фасете;Производительность, л/мин;perf;11600;14;
;пробел в фасете;Производительность, л/мин;perf;26500;14;
;пробел в фасете;Производительность, л/мин;perf;12200;14;
;пробел в фасете;Производительность, л/мин;perf;1360;14;
;пробел в фасете;Производительность, л/мин;perf;1860;14;
;пробел в фасете;Производительность, л/мин;perf;920;14;
;пробел в фасете;Производительность, л/мин;perf;370;14;
;пробел в фасете;Производительность, л/мин;perf;2240;14;
;пробел в фасете;Производительность, л/мин;perf;630;14;
;пробел в фасете;Производительность, л/мин;perf;890;14;
;пробел в фасете;Производительность, л/мин;perf;1760;14;
;пробел в фасете;Производительность, л/мин;perf;27500;14;
;пробел в фасете;Производительность, л/мин;perf;30300;14;
;пробел в фасете;Производительность, л/мин;perf;16800;14;
;пробел в фасете;Производительность, л/мин;perf;290;14;
;пробел в фасете;Производительность, л/мин;perf;33800;14;
;пробел в фасете;Мощность, кВт;power;275;13;
;пробел в фасете;Мощность, кВт;power;243;13;
;пробел в фасете;Мощность, кВт;power;478;13;
;пробел в фасете;Производительность, л/мин;perf;13300;13;
;пробел в фасете;Производительность, л/мин;perf;14100;13;
;пробел в фасете;Производительность, л/мин;perf;19400;13;
;пробел в фасете;Производительность, л/мин;perf;29500;13;
;пробел в фасете;Производительность, л/мин;perf;28900;13;
;пробел в фасете;Производительность, л/мин;perf;11100;13;
;пробел в фасете;Производительность, л/мин;perf;3750;13;
;пробел в фасете;Производительность, л/мин;perf;1680;13;
;пробел в фасете;Производительность, л/мин;perf;3330;13;
;пробел в фасете;Производительность, л/мин;perf;2970;13;
;пробел в фасете;Производительность, л/мин;perf;2350;13;
;пробел в фасете;Производительность, л/мин;perf;2750;13;
;пробел в фасете;Производительность, л/мин;perf;17500;13;
;пробел в фасете;Производительность, л/мин;perf;22400;13;
;пробел в фасете;Производительность, л/мин;perf;18700;13;
;пробел в фасете;Производительность, л/мин;perf;1510;13;
;пробел в фасете;Рабочее давление, бар;press;7,25;12;
;пробел в фасете;Рабочее давление, бар;press;31;12;
;пробел в фасете;Мощность, кВт;power;1;12;
;пробел в фасете;Мощность, кВт;power;7,4;12;
;пробел в фасете;Производительность, л/мин;perf;23800;12;
;пробел в фасете;Производительность, л/мин;perf;11900;12;
;пробел в фасете;Производительность, л/мин;perf;17600;12;
;пробел в фасете;Производительность, л/мин;perf;19600;12;
;пробел в фасете;Производительность, л/мин;perf;18900;12;
;пробел в фасете;Производительность, л/мин;perf;15100;12;
;пробел в фасете;Производительность, л/мин;perf;15400;12;
;пробел в фасете;Производительность, л/мин;perf;18200;12;
;пробел в фасете;Производительность, л/мин;perf;29800;12;
;пробел в фасете;Производительность, л/мин;perf;6700;12;
;пробел в фасете;Производительность, л/мин;perf;30200;12;
;пробел в фасете;Производительность, л/мин;perf;1240;12;
;пробел в фасете;Производительность, л/мин;perf;2670;12;
;пробел в фасете;Производительность, л/мин;perf;3170;12;
;пробел в фасете;Производительность, л/мин;perf;570;12;
;пробел в фасете;Производительность, л/мин;perf;980;12;
;пробел в фасете;Производительность, л/мин;perf;840;12;
;пробел в фасете;Производительность, л/мин;perf;34500;12;
;пробел в фасете;Производительность, л/мин;perf;2360;12;
;пробел в фасете;Производительность, л/мин;perf;9700;12;
;пробел в фасете;Производительность, л/мин;perf;1030;12;
;пробел в фасете;Производительность, л/мин;perf;510;12;
;пробел в фасете;Производительность, л/мин;perf;790;12;
;пробел в фасете;Производительность, л/мин;perf;23900;12;
;пробел в фасете;Производительность, л/мин;perf;31900;12;
;пробел в фасете;Объём ресивера, л;recv;272;11;
