тир;блок;фасет;ключ;значение;товаров;шорт-лист
;пробел в фасете;Производительность, л/мин;perf;2300;141;
;пробел в фасете;Производительность, л/мин;perf;2200;133;
;пробел в фасете;Производительность, л/мин;perf;1600;132;
;пробел в фасете;Производительность, л/мин;perf;1900;128;
;пробел в фасете;Рабочее давление, бар;press;8,6;125;
;пробел в фасете;Производительность, л/мин;perf;2600;124;
;новый фасет;Уровень шума, дБ;noise;72;116;
;новый фасет;Уровень шума, дБ;noise;63;113;
;пробел в фасете;Производительность, л/мин;perf;2800;113;
;пробел в фасете;Производительность, л/мин;perf;1400;108;
;новый фасет;Уровень шума, дБ;noise;74;103;
;пробел в фасете;Производительность, л/мин;perf;3800;102;
;новый фасет;Уровень шума, дБ;noise;64;99;
;пробел в фасете;Производительность, л/мин;perf;1800;97;
;пробел в фасете;Производительность, л/мин;perf;2700;97;
;пробел в фасете;Производительность, л/мин;perf;2400;96;
;пробел в фасете;Производительность, л/мин;perf;6200;93;
;новый фасет;Уровень шума, дБ;noise;76;92;
;пробел в фасете;Производительность, л/мин;perf;550;88;
;новый фасет;Уровень шума, дБ;noise;67;87;
;пробел в фасете;Производительность, л/мин;perf;5600;86;
;новый фасет;Уровень шума, дБ;noise;78;84;
;пробел в фасете;Производительность, л/мин;perf;4800;79;
;пробел в фасете;Производительность, л/мин;perf;5200;74;
;пробел в фасете;Производительность, л/мин;perf;4500;72;
;пробел в фасете;Производительность, л/мин;perf;650;72;
;пробел в фасете;Производительность, л/мин;perf;1300;72;
;пробел в фасете;Производительность, л/мин;perf;8500;69;
;пробел в фасете;Производительность, л/мин;perf;7600;69;
;пробел в фасете;Производительность, л/мин;perf;750;69;
;новый фасет;Уровень шума, дБ;noise;71;67;
;пробел в фасете;Производительность, л/мин;perf;780;66;
;новый фасет;Уровень шума, дБ;noise;69;65;
;пробел в фасете;Производительность, л/мин;perf;6500;65;
;новый фасет;Серия;series;Стандартная комплектация;64;
;пробел в фасете;Производительность, л/мин;perf;5800;61;
;новый фасет;Уровень шума, дБ;noise;75;59;
;пробел в фасете;Рабочее давление, бар;press;10,4;58;
