istochnik_fayl;stroka
MRSK_Centre_TP_01082026.xlsx;Форма 12 | Отчетный период август 2026 года | 39
MRSK_Centre_TP_01082026.xlsx;
MRSK_Centre_TP_01082026.xlsx;Информация о поданных заявках на технологическое присоединение к электрическим сетям, заключенных договорах об осуществлении технологического присоединения к электрическим сетям ПАО «Россети Центр» , выполненных присоединениях и присоединенной мощности в разрезе субъектов Российской Федерации
MRSK_Centre_TP_01082026.xlsx;
MRSK_Centre_TP_01082026.xlsx;Наименование Общества | Наименование филиала | Субъект РФ (край, область, республика) | Количество поданных заявок | 4 | 5 | 6
MRSK_Centre_TP_01082026.xlsx;7 | МВт | шт | МВт | шт | МВт | шт | МВт
MRSK_Centre_TP_01082026.xlsx;1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 558 | 32.765109999999986 | 490 | 8.5635700000000039 | 465 | 6.3759580000000016 | 139 | 6.9813410000000005
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Брянскэнерго | Брянская область | 160 | 4.0908800000000003 | 134 | 3.1554000000000002 | 117 | 4.2362000000000002 | 57 | 2.2319
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Воронежэнерго | Воронежская область | 717 | 78.186909999999997 | 625 | 15.4975 | 457 | 12.999000000000001 | 100 | 25.85746
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Костромаэнерго | Костромская область | 264 | 9.0801999999999996 | 199 | 3.7330000000000001 | 321 | 5.9819500000000003 | 51 | 1.3011600000000001
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Курскэнерго | Курская область | 393 | 21.063140000000001 | 390 | 7.6505000000000001 | 278 | 4.79 | 92 | 5.7420499999999999
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Липецкэнерго | Липецкая область | 438 | 14.077830000000025 | 312 | 4.9706999999999981 | 267 | 5.2964999999999982 | 79 | 3.6425999999999994
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Орелэнерго | Орловская область | 136 | 3.0830000000000002 | 109 | 2.5225 | 78 | 2.6920000000000002 | 28 | 1.403
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Смоленскэнерго | Смоленская область | 330 | 10.955932000000001 | 274 | 6.1953490000000002 | 279 | 7.3597700000000001 | 100 | 6.0027300000000006
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Тамбовэнерго | Тамбовская область | 141 | 3.0445000000000002 | 138 | 7.7482499999999996 | 75 | 1.1738 | 32 | 0.76949999999999996
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Тверьэнерго | Тверская область | 555 | 60.938830000000003 | 314 | 6.2175000000000002 | 205 | 4.8044000000000002 | 212 | 7.3111499999999996
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Ярэнерго | Ярославская область | 484 | 10.754799999999999 | 398 | 23.324929999999998 | 396 | 53.687779999999997 | 212 | 17.457975000000001
MRSK_Centre_TP_01082026.xlsx;"Информация  о заключенных договорах об осуществлении технологического присоединения к электрическим сетям ПАО «Россети Центр» ,
содержащая сведения об объеме присоединяемой мощности, сроках и плате по каждому договору"
MRSK_Centre_TP_01082026.xlsx;
MRSK_Centre_TP_01082026.xlsx;Наименование Общества | Наименование филиала | Субъект РФ (край, область, республика) | №п/п | Номер договора ТП | Дата заключения договора ТП | Дата исполнения обязательств по договору ТП | Запрашиваемая максимальная мощность (без учета ранее присоединенной), кВт | Стоимость ТП по договору ТП без НДС, руб. | Наименование центра питания (ПС с напряжением 35 кВ и выше)
MRSK_Centre_TP_01082026.xlsx;1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 1 | 42752876 | 46239 | 46604 | 90 | 2204394.4900000002 | 35/10 Всесвятка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 2 | 42764514 | 46265 | 46446 | 5 | 79995 | 110/35/10 Верхняя Покровка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 3 | 42764515 | 46265 | 46446 | 2 | 79995 | 110/35/10 Верхняя Покровка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 4 | 42764517 | 46265 | 46446 | 3 | 79995 | 110/35/10 Верхняя Покровка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 5 | 42772444 | 46238 | 46603 | 40 | 552783.63 | 110/10/10 Северная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 6 | 42775540 | 46248 | 46613 | 170 | 3425896.47 | 110/10/10 Майская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 7 | 42778988 | 46247 | 46612 | 469.3 | 15151308.48 | 110/35/10 Новый Оскол
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 8 | 42783426 | 46252 | 46294 | 10 | 60040.25 | 35/10 Камышеватое
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 9 | 42784343 | 46238 | 46422 | 5 | 36868.199999999997 | 35/10 Афанасьевка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 10 | 42784842 | 46261 | 46445 | 15 | 213253.87 | 35/10 Слоновка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 11 | 42786590 | 46245 | 46367 | 15 | 60772.7 | 35/10 Колосково
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 12 | 42786693 | 46240 | 46282 | 10 | 45947.53 | 35/6 Федосеевка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 13 | 42786710 | 46239 | 46281 | 10 | 45947.53 | 35/6 Федосеевка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 14 | 42786720 | 46239 | 46281 | 10 | 45947.53 | 35/6 Федосеевка
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 15 | 42786750 | 46237 | 46279 | 15 | 60040.25 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 16 | 42787297 | 46241 | 46425 | 15 | 15793.77 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 17 | 42787952 | 46261 | 46445 | 8 | 60040.25 | 330/110/35/10 Валуйки
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 18 | 42788075 | 46265 | 46307 | 0.3 | 13655.99 | 35/10 Беловское
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 19 | 42788091 | 46265 | 46307 | 0.3 | 13655.99 | 35/10 Беловское
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 20 | 42788131 | 46246 | 46430 | 5 | 82264.83 | 110/10 Крапивенская
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 21 | 42788627 | 46240 | 46282 | 6 | 45947.53 | 110/10/10 Пушкарная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 22 | 42789805 | 46240 | 46424 | 15 | 60040.25 | 110/35/10 Стрелецкая
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 23 | 42789931 | 46259 | 46280 | 15 | 14388.44 | 110/6 Авторемзавод
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 24 | 42789948 | 46247 | 46289 | 14 | 45947.53 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 25 | 42790185 | 46242 | 46283 | 5 | 45947.53 | 110/10/10 Центральная
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 26 | 42790236 | 46238 | 46259 | 15 | 60772.7 | 110/35/6 Журавлики
MRSK_Centre_TP_01082026.xlsx;ПАО «Россети Центр»  | Белгородэнерго | Белгородская область | 27 | 42790288 | 46238 | 46422 | 5 | 79995 | 110/35/10 Красногвардейское
