"№ колонки";"колонка CSV";"свойство";"код";"тип";"множеств.";"в фильтре"
"1";"﻿IE_XML_ID";"";"";"системное";"";""
"2";"IE_NAME";"название товара";"";"системное";"";""
"3";"IE_ID";"ID";"";"системное";"";""
"4";"IE_ACTIVE";"активность";"";"системное";"";""
"5";"IE_ACTIVE_FROM";"";"";"системное";"";""
"6";"IE_ACTIVE_TO";"";"";"системное";"";""
"7";"IE_PREVIEW_PICTURE";"фото анонса";"";"системное";"";""
"8";"IE_PREVIEW_TEXT";"текст анонса";"";"системное";"";""
"9";"IE_PREVIEW_TEXT_TYPE";"";"";"системное";"";""
"10";"IE_DETAIL_PICTURE";"детальное фото";"";"системное";"";""
"11";"IE_DETAIL_TEXT";"детальный текст";"";"системное";"";""
"12";"IE_DETAIL_TEXT_TYPE";"";"";"системное";"";""
"13";"IE_CODE";"символьный код (URL)";"";"системное";"";""
"14";"IE_SORT";"сортировка";"";"системное";"";""
"15";"IE_TAGS";"теги";"";"системное";"";""
"16";"IP_PROP22705";"Максимальная цена";"MAXIMUM_PRICE";"строка";"";""
"17";"IP_PROP22562";"Мощность, кВт";"MOSHCHNOST_KVT";"число";"";""
"18";"IP_PROP22571";"Производительность, л/мин";"PROIZVODITELNOST_L_MIN";"число";"";""
"19";"IP_PROP22572";"Пропускная способность, л/мин";"PROPUSKNAYA_SPOSOBNOST_L_MIN";"список";"";""
"20";"IP_PROP22670";"Винтовой блок";"VINTOVOI_BLOK";"строка";"";""
"21";"IP_PROP22573";"Рабочее давление, Бар";"RABOCHEE_DAVLENIE_BAR";"число";"";""
"22";"IP_PROP22704";"Минимальная цена";"MINIMUM_PRICE";"строка";"";""
"23";"IP_PROP22580";"Тип компрессора";"TIP_KOMPRESSORA";"список";"";""
"24";"IP_PROP22601";"Тип привода";"TIP_PRIVODA";"список";"";""
"25";"IP_PROP22586";"Частотный преобразователь";"CHASTOTNYY_PREOBRAZOVATEL";"список";"";""
"26";"IP_PROP22565";"Осушитель";"OSUSHITEL";"список";"";""
"27";"IP_PROP22574";"Ресивер";"RESIVER";"список";"";""
"28";"IP_PROP22564";"Объем ресивера, л";"OBEM_RESIVERA_L";"число";"";""
"29";"IP_PROP22566";"Передвижной";"PEREDVIZHNOY";"список";"";""
"30";"IP_PROP22563";"Напряжение питания";"NAPRYAZHENIE_PITANIYA";"список";"";""
"31";"IP_PROP22812";"Температурный режим";"TEMPERATURNYY_REZHIM_DLYA_SAYTA";"список";"";""
"32";"IP_PROP22553";"Производитель";"CML2_MANUFACTURER";"список";"";""
"33";"IP_PROP22671";"Страна происхождения";"COUNTRY";"строка";"";""
"34";"IP_PROP22583";"Тип смазки";"TIP_SMAZKI_1";"список";"";""
"35";"IP_PROP22811";"Яндекс.Маркет: Категория и Качество";"";"строка (ym_category)";"";""
"36";"IP_PROP22803";"d отверстия (мм)";"D_OTVERSTIYA_MM";"число";"";""
"37";"IP_PROP22674";"IP электродвигателя";"IP";"строка";"";""
"38";"IP_PROP22587";"АналогКод";"ANALOGKOD";"строка";"";""
"39";"IP_PROP22554";"Бренд";"BREND";"список";"";""
"40";"IP_PROP22672";"Гарантия";"GARANTIYA";"строка";"";""
"41";"IP_PROP22597";"Напряжение, В";"NAPRYAZHENIE_V";"список";"";""
"42";"IP_PROP22585";"Точка росы, °C";"TOCHKA_ROSY_C";"список";"";""
"43";"IP_PROP22668";"Уровень шума, дБ";"SHUM_DB";"строка";"";""
"44";"IP_PROP22669";"Тип охлаждения";"TIP_OKHLAZHDENIYA";"строка";"";""
"45";"IP_PROP22588";"Артикул номенклатуры для Битрикс24";"ARTIKUL_NOMENKLATURY_DLYA_BITRIKS24";"строка";"";""
"46";"IP_PROP22555";"Вес, кг";"VES_KG";"число";"";""
"47";"IP_PROP23168";"Винтовой блок";"VINTOVOY_BLOK";"список";"";""
"48";"IP_PROP22966";"Выводить в отчет по мощности";"VYVODIT_V_OTCHET_PO_MOSHCHNOSTI";"список";"";""
