"колонка";"свойство";"заполнено (все товары)";"% всех";"заполнено (компрессоры)";"% компрессоров";"уникальных значений";"топ-5 значений"
"IP_PROP22803";"d отверстия (мм)";"317";"1.2";"0";"0.0";"52";"20 (37); 40 (25); 25 (24); 75 (20); 35 (19)"
"IP_PROP22674";"IP электродвигателя";"823";"3.0";"823";"4.1";"7";"IP54 (389); IP55 (207); IP 54 (107); IP 23 (82); IP 55 (16)"
"IP_PROP22587";"АналогКод";"1322";"4.8";"817";"4.1";"553";"HB-15BFR-400 13 (52); УТ000085096,УТ000073569, (33); BS-5,5BFR-250 8 (31); HC-7,5BFR-250 8 (15); HC-7,5BFR-250 10 (12)"
"IP_PROP22554";"Бренд";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22672";"Гарантия";"15273";"55.6";"15096";"75.3";"7";"1 год (7786); 2 года (5815); 3 года (1624); 2 (23); 2 (5,10) (20)"
"IP_PROP22597";"Напряжение, В";"1355";"4.9";"1355";"6.8";"5";"380 (889); 400 (329); 380 - 400 (113); 230 (12); 380 (400) (12)"
"IP_PROP22585";"Точка росы, °C";"3064";"11.2";"617";"3.1";"11";"+3 (1152); -40 (933); -20 (288); +2 - +10 (247); -70 (157)"
"IP_PROP22668";"Уровень шума, дБ";"1854";"6.7";"1854";"9.2";"50";"70 (194); 63 (113); 68 (108); 74 (97); 67 (87)"
"IP_PROP22669";"Тип охлаждения";"1325";"4.8";"1325";"6.6";"3";"воздушное (1233); водяное (80); воздушный (12)"
"IP_PROP22588";"Артикул номенклатуры для Битрикс24";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22555";"Вес, кг";"22702";"82.6";"18526";"92.4";"1634";"550 (169); 600 (154); 290 (150); 800 (145); 350 (138)"
"IP_PROP23168";"Винтовой блок";"3";"0.0";"3";"0.0";"2";"GHH Rand (Германия) (2); BAOSI (1)"
"IP_PROP22966";"Выводить в отчет по мощности";"23861";"86.8";"16669";"83.1";"2";"Нет (23592); Да (269)"
"IP_PROP22678";"Максимальное рабочее давление, бар";"2";"0.0";"2";"0.0";"1";"2.5 (2)"
"IP_PROP22679";"Минимальное рабочее давление, бар";"12";"0.0";"12";"0.1";"1";"36 (12)"
"IP_PROP22955";"НеОбрезатьНулиSSCC";"23893";"87.0";"16701";"83.3";"1";"Нет (23893)"
"IP_PROP22686";"Рабочая температура, °C";"205";"0.7";"205";"1.0";"1";"0 … +40 (205)"
"IP_PROP22556";"Габариты, мм";"22388";"81.5";"17896";"89.2";"3000+";"1380х850х1160 (198); 1800х1250х1670 (187); 1080x750x1000 (181); 1500x1000x1330 (175); 3600x2100x2280 (148)"
"IP_PROP23149";"Значок на веб-витрине mag1c";"0";"0.0";"0";"0.0";"0";""
"IP_PROP23000";"Марка двигателя";"155";"0.6";"155";"0.8";"4";"YUCHAI (79); CUMMINS (67); XICHAI (8); Kubota (1)"
"IP_PROP23188";"Гарантия";"2";"0.0";"2";"0.0";"1";"1 (5,10) (2)"
"IP_PROP22557";"Давление max, Бар";"559";"2.0";"13";"0.1";"9";"16 (264); 10 (111); 14 (68); 40 (64); 9 (17)"
"IP_PROP23150";"Исключить из публикации на веб-витрине mag1c";"442";"1.6";"49";"0.2";"1";"Нет (442)"
