"колонка";"свойство";"заполнено (все товары)";"% всех";"заполнено (компрессоры)";"% компрессоров";"уникальных значений";"топ-5 значений"
"IP_PROP22681";"Малошумный";"527";"1.9";"527";"2.6";"2";"Нет (424); да (103)"
"IP_PROP22683";"Манометр";"597";"2.2";"597";"3.0";"2";"Да (424); есть (173)"
"IP_PROP22675";"Нправление вращения";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22663";"Объем масла, л";"3";"0.0";"3";"0.0";"3";"12 (1); 30 (1); 26 (1)"
"IP_PROP22662";"Объем топливного бака, л";"9";"0.0";"9";"0.0";"6";"120 (2); 240 (2); 430 (2); 180 (1); 70 (1)"
"IP_PROP23091";"Ответственный менеджер за распродажу";"138";"0.5";"0";"0.0";"4";"Радзивил Дмитрий Владимирович (81); Рохлев Владимир Владимирович (25); Лакотин Андрей Григорьевич (18); Хохлов Александр Александрович (14)"
"IP_PROP22684";"Пуск двигателя";"62";"0.2";"62";"0.3";"1";"звезда/треугольник (62)"
"IP_PROP22677";"Расход топлива, л/ч";"1";"0.0";"1";"0.0";"1";"5 (1)"
"IP_PROP22676";"Среда сжатия";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22680";"Тип ресивера";"7";"0.0";"7";"0.0";"2";"с порошковым покрытием (6); оцинкованный (1)"
"IP_PROP22673";"Частота вращения, об/мин";"2";"0.0";"2";"0.0";"2";"700 - 1300 (1); 1500 (1)"
"IP_PROP22660";"Число оборотов максимум, об/мин";"8";"0.0";"8";"0.0";"4";"2200 (3); 2300 (3); 2080 (1); 3000 (1)"
"IP_PROP22661";"Число оборотов минимум, об/мин";"8";"0.0";"8";"0.0";"3";"1400 (5); 1430 (2); 1850 (1)"
"IP_PROP22760";"Магистральные фильтры в комплекте";"356";"1.3";"356";"1.8";"2";"4 (319); 5 (37)"
"IP_PROP22805";"Диаметр фланца";"67";"0.2";"0";"0.0";"27";"140 (10); 355 (7); 170 (7); 200 (6); 100 (6)"
"IP_PROP23035";"Пропускная способность, л/мин";"4958";"18.0";"1";"0.0";"634";"1500 (103); 3800 (97); 45000 (96); 18000 (78); 3000 (75)"
"IP_PROP22591";"НаименованиеEN1";"5938";"21.6";"4120";"20.5";"3000+";"Adsorption dryer ENGER ADHB-950LHRBZW (3); Adsorption dryer ENGER ADHB-320LHRBE (3); Adsorption dryer ENGER ADHB-320LHRBZA (3); Screw compressors oil-free ENGER OFS-160 W 10 PM VSD (3); Adsorption dryer ENGER ADH-015LHHHX 16 (2)"
"IP_PROP22567";"ПолноеНаименование";"24579";"89.5";"17250";"86.0";"3000+";"KIT SERVICE ""Atlas Copco"" 3001500904 (оригинал) (2); Адсорбционный осушитель ENGER ADHB-950LHRBZW (95000 л/мин, 10 бар, -40°C) (2); Адсорбционный осушитель KraftMachine КМ-АДСГ-150 (150000 л/мин, 50.1 кВт, -20°C) (2); Адсорбционный осушитель Pneumatech PB 210 HE (6000 л/мин, 4-14,5 бар, R 1 1/2, 3 (2); Адсорбционный осушитель Pneumatech PB 320 HE (9000 л/мин,    4-14,5 бар, R 1 1/2 (2)"
"IP_PROP22592";"НаименованиеEN2";"5574";"20.3";"4122";"20.6";"3000+";"21500 l/min, 10 bar, -40°C (8); 13500 l/min, 10 bar, -40°C (7); 17000 l/min, 10 bar, -40°C (7); 25000 l/min, 10 bar, -40°C (7); 37000 l/min, 10 bar, -40°C (7)"
"IP_PROP22593";"НаименованиеКитай";"5942";"21.6";"4121";"20.5";"3000+";"Адсорбционный осушитель ENGER ADHB-950LHRBZW (3); Адсорбционный осушитель ENGER ADHB-320LHRBE (3); Адсорбционный осушитель ENGER ADHB-320LHRBZA (3); Винтовой безмасляный компрессор ENGER OFS-160 W 10 PM VSD (3); Адсорбционный осушитель ENGER ADH-015LHHHX 16 (2)"
"IP_PROP22569";"Производитель двигателя";"759";"2.8";"759";"3.8";"25";"Cummins (287); YUCHAI (163); Isuzu (66); Kubota (51); Caterpillar (35)"
"IP_PROP22594";"НаименованиеКитай1";"5578";"20.3";"4120";"20.5";"3000+";"25000 л/мин, 10 бар, -40°C (10); 21500 л/мин, 10 бар, -40°C (8); 3800 л/мин, 10 бар, -40°C (7); 13500 л/мин, 10 бар, -40°C (7); 17000 л/мин, 10 бар, -40°C (7)"
"IP_PROP22570";"Производитель для инвойс";"75";"0.3";"0";"0.0";"2";"Guangdong EPSEA Industrial Co., Ltd (58); Zhongshan Lingyu Machinery Co., Ltd (17)"
"IP_PROP23153";"Производительность MAX";"0";"0.0";"0";"0.0";"0";""
"IP_PROP23040";"Тип двигателя";"9368";"34.1";"9360";"46.7";"3";"Электрический (9256); Дизельный (110); Бензиновый (2)"
"IP_PROP22595";"НаименованиеПоставщика";"5486";"20.0";"4066";"20.3";"2493";"HDC-22 (105); HDC-15 (98); HDC-18D5 (90); HDC-11 (82); HD-37 (62)"
"IP_PROP23154";"Производительность MIN";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22596";"НаименованиеПоставщика1";"2";"0.0";"1";"0.0";"2";"KPD110-16 (1); LYAF-D550 AO 16 (1)"
"IP_PROP22687";"Tемпература нагнетания";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22690";"Макс. избыточное давление (нагнетание), мбар";"24";"0.1";"24";"0.1";"3";"1000 (15); 700 (8); 900 (1)"
"IP_PROP22689";"Мощность (вакуум), кВт";"22";"0.1";"22";"0.1";"14";"75 (3); 45 (3); 200 (2); 11 (2); 18.5 (2)"
"IP_PROP22688";"Мощность (нагнетание), кВт";"24";"0.1";"24";"0.1";"16";"90 (3); 132 (2); 200 (2); 315 (2); 11 (2)"
"IP_PROP22691";"Предельно-остаточное давление (вакуум), мбар";"22";"0.1";"22";"0.1";"2";"500 (21); 450 (1)"
"IP_PROP22693";"Производительность (вакуум), м3/ч";"13";"0.0";"13";"0.1";"13";"7200 (1); 235 (1); 10200 (1); 14430 (1); 16440 (1)"
"IP_PROP22692";"Производительность (нагнетание), м3/ч";"24";"0.1";"24";"0.1";"23";"5190 (2); 3370 (1); 4710 (1); 4025 (1); 5400 (1)"
"IP_PROP22695";"Уровень шума (вакуум), дБ";"22";"0.1";"22";"0.1";"13";"76 (3); 73 (3); 78 (2); 79 (2); до 70 (2)"
"IP_PROP22694";"Уровень шума (нагнетание), дБ";"24";"0.1";"24";"0.1";"10";"78 (7); 77 (5); 76 (4); 85 (2); до 70 (1)"
"IP_PROP22575";"Серия";"1632";"5.9";"719";"3.6";"80";"LENTO (75); Серия P (66); Серия KHDp (66); Серия KC (60); Серия S (57)"
"IP_PROP22598";"Описание (неогр.)";"23675";"86.2";"17151";"85.5";"2325";"<p>Винтовые компрессоры ENGER серии HB - современные высокотехнологичные масляны (802); <p>
Винтовые компрессоры BERG предназначены для непрерывной работы в самых тяже (578); <p>Экономия электроэнергии при использовании винтового двухступенчатого компресс (498); <p> Винтовые компрессоры ARIACOM соответствуют всем стандартам и требованиям. Эт (487); <p><b>Преимущества компрессорной станции ET SL:</b></p>
<ul><li><b>Долговечност (463)"
"IP_PROP22576";"Серия";"5475";"19.9";"4566";"22.8";"150";"TIDY (298); ВК (273); VEGA (249); SPINN (227); FLEX (160)"
"IP_PROP22577";"Соединение";"7743";"28.2";"3219";"16.1";"238";"DN100 (400); DN125 (359); 3/4 (323); 1 1/2 (321); DN80 (292)"
"IP_PROP22718";"Производитель";"23988";"87.3";"17225";"85.9";"71";"Enger (5582); DALGAKIRAN (1744); KRAFTMANN (951); BERG (926); ET Compressors (910)"
"IP_PROP23191";"Страна происхождения";"2";"0.0";"2";"0.0";"1";"Турция (2)"
"IP_PROP22599";"Производитель (стр)";"2";"0.0";"2";"0.0";"2";"BERG (1); ENGER (1)"
"IP_PROP22581";"Тип позиции";"870";"3.2";"302";"1.5";"7";"Складская позиция (424); Неликвид (давно не продавался) (207); Временно не возим (88); Складская позиция, НОВАЯ (76); Под клиента (66)"
"IP_PROP22584";"Тип хладагента";"1022";"3.7";"0";"0.0";"22";"R134a (155); Активированный оксид алюминия (142); R407c (96); R410a (74); Силикагель (64)"
"IP_PROP22808";"Снят с производства";"24046";"87.5";"16727";"83.4";"2";"Нет (23850); Да (196)"
"IP_PROP22959";"Степень защиты двигателя";"15026";"54.7";"15023";"74.9";"6";"IP55 (9790); IP54 (3356); IP23 (1662); IP65 (181); IP66 (34)"
"IP_PROP22724";"Тип адсорбционного осушителя";"399";"1.5";"0";"0.0";"2";"Колонный (364); Модульный (35)"
"IP_PROP23084";"Тип смазки";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22602";"Товарная группа";"16835";"61.3";"11773";"58.7";"37";"Компрессоры масляные 1 ст (7-15 бар) (6323); Адсорбционные осушители (1619); Компрессоры безмаслянные винтовые (1478); Фильтры магистральные (до 16 бар) (1270); Рефрижераторные осушители до 16 бар (1040)"
"IP_PROP22750";"Чистота азота, %";"203";"0.7";"203";"1.0";"6";"99,99 (38); 98,00 (35); 99,50 (35); 99,90 (34); 99,00 (34)"
"IP_PROP22751";"Чистота кислорода, %";"12";"0.0";"0";"0.0";"1";"93±3 (12)"
"IP_PROP22606";"Наши предложения";"6";"0.0";"6";"0.0";"4";"Советуем (4); Хит (4); Акция (4); Новинка (1)"
"IP_PROP22607";"Похожие товары по фильтру";"16002";"58.2";"15984";"79.7";"3";"{""CLASS_ID"":""CondGroup"",""DATA"":{""All"":""AND"",""True"":""True""},""CHILDREN"":{""0"":{""CLA (14970); {""CLASS_ID"":""CondGroup"",""DATA"":{""All"":""AND"",""True"":""True""},""CHILDREN"":[{""CLASS_I (967); [] (65)"
"IP_PROP22608";"Файлы (документы, паспорт)";"1";"0.0";"0";"0.0";"1";"/upload/iblock/d76/z1yn7yvl4mfd1nzinxfyldpcbvvmakf5.bmp (1)"
"IP_PROP22609";"Видео из файла";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22610";"Текст с акцией";"3";"0.0";"3";"0.0";"2";"В НАЛИЧИИ (2); Выбор клиентов №1 (1)"
"IP_PROP22611";"Услуги";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22627";"Бренд";"21481";"78.2";"18420";"91.9";"61";"251046 (4154); 251064 (1659); 251062 (827); 251059 (738); 251051 (730)"
"IP_PROP22706";"В наличии";"1780";"6.5";"1780";"8.9";"1";"Y (1780)"
"IP_PROP22707";"Акции";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22708";"Аксессуары по фильтру";"229";"0.8";"211";"1.1";"4";"[] (217); {""CLASS_ID"":""CondGroup"",""DATA"":{""All"":""AND"",""True"":""True""},""CHILDREN"":[]} (10); {""CLASS_ID"":""CondGroup"",""DATA"":{""All"":""AND"",""True"":""True""},""CHILDREN"":[{""CLASS_I (1); {""CLASS_ID"":""CondGroup"",""DATA"":{""All"":""AND"",""True"":""True""},""CHILDREN"":{""2"":{""CLA (1)"
"IP_PROP22709";"Комплект";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22710";"Товары комплекта";"229";"0.8";"211";"1.1";"2";"[] (217); {""CLASS_ID"":""CondGroup"",""DATA"":{""All"":""AND"",""True"":""True""},""CHILDREN"":[]} (12)"
"IP_PROP22711";"Группировать товары комплекта";"0";"0.0";"0";"0.0";"0";""
"IP_PROP22712";"Подпись к товару";"1";"0.0";"1";"0.0";"1";"В НАЛИЧИИ (1)"
