list;god_ishodno;zakazchik;obekt;oborudovanie;god;strana;stroka
1_referentsii_repkh_eksport_po_stranam.pdf;2007;;;;;;Ангола ГЭС Капанда ГЭС Капанда 1 к-т 2007 ЗИП Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2007;;;;;;Ангола ГЭС Капанда ГЭС Капанда 1 к-т 2007 НКУ, НВА Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2015;;;;;;"Беларусь"" КС ""Слонимская"" 1 2015 16 351 1 8,34 6,09 ДГ-90Л2 Газовая природный газ"
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"Вьетнам ТЭС ""Уонг Би"" ТЭС ""Уонг Би"" 1 к-т 2005 ШЭ, ЯЭ Энергетика"
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"Вьетнам ГЭС ""Се Сан3"" ГЭС ""Се Сан3"" 1 к-т 2005 ШСН, ШЗВ, ШЗН Энергетика"
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"Вьетнам ТЭС ""Уонг Би"" ТЭС ""Уонг Би"" 1 к-т 2005"
1_referentsii_repkh_eksport_po_stranam.pdf;2007;;;;;;Вьетнам ТЭС Уонг Би ТЭС Уонг Би 1 к-т 2007 Модули питания Энергетика
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"1 Полномасштабный тренажер Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т 2005 ПМТ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"Индия ГЭС ""Балимела"" ГЭС ""Балимела"" 1 к-т 2005 КРУ Энергетика"
1_referentsii_repkh_eksport_po_stranam.pdf;2007;;;;;;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т 2007 СКУ ЭЧ, ЗИП Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2007;;;;;;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т 2007 МЩУ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2011;;;;;;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т 2011 МЩУ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2011;;;;;;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т 2011 МЩУ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2011;;;;;;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т 2011 МЩУ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2011;;;;;;"Индия ЗАО ""Атомстройэкспорт"" АЭС Куданкулам 1 к-т 2011 МЩУ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2011;;;;;;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т 2011 МЩУ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2012;;;;;;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т 2012 НКУ (пульты, ШУ) Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2014;;;;;;"Индия ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т 2014"
1_referentsii_repkh_eksport_po_stranam.pdf;2017;;;;;;"Индия, Тамилнад ЗАО ""Атомстройэкспорт"" Куданкулам АЭС 1 к-т 2017 ЗИП Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2018;;;;;;Индия АО ИК АСЭ АЭС Куданкулам 8 2018 Шкафы питания и
1_referentsii_repkh_eksport_po_stranam.pdf;2019;;;;;;Индия АО ИК АСЭ АЭС Куданкулам 1170 ед 2019 ЗИП Атомная
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"Иран ЗАО ""Атомстройэкспорт"" Бушер АЭС 1 к-т 2005 ЯТП, ЯВЗ, Я, ШР, ЯК,"
1_referentsii_repkh_eksport_po_stranam.pdf;2015;;;;;;"Иран ЗАО ""Атомстройэкспорт"" Бушер АЭС 1 к-т 2015 Комплект ЗИП Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2016;;;;;;"Иранушер ЗАО ""Атомстройэкспорт"" Бушер АЭС 1 к-т 2016 Комплект ЗИП Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2016;;;;;;"Иран ЗАО ""Атомстройэкспорт"" Бушер АЭС 2 шк 2016 ИПУ САОЗ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"Ирак ТЭС ""Юсифия"" ТЭС ""Юсифия"" 1 к-т 2005 ПС Энергетика"
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;"Китай АО ""СНИИП"" Тяньваньская АЭС 1 к-т 2005 ЯЭ, КЗ, БЭЗ, ПС, ШО Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2007;;;;;;"Китай АО ""СНИИП"" Тяньваньская АЭС 1 к-т 2007 ЗИП Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2016;;;;;;"Китай АО ""СНИИП"" Тяньваньская АЭС 1 к-т 2016 КЗ и кнопочные"
1_referentsii_repkh_eksport_po_stranam.pdf;2017;;;;;;"Китай, с. Тяньвань АО ""СНИИП"" Тяньваньская АЭС 1 к-т 2017 КЗ Атомная"
1_referentsii_repkh_eksport_po_stranam.pdf;2014;;;;;;"41 К-5500-44-1 Румыния ""Arcelor Mittal Galati"" ""Arcelor Mittal Galati"" 2 2014 18-20.52 3950-4151 2 0,51 0,10 Паровая турбина Металлургия воздух"
1_referentsii_repkh_eksport_po_stranam.pdf;2015;;;;;;LTD ENTER Engineering PTE. LTD 2 к-та 2015 2БКТП-1000/6/0,4 кВ
1_referentsii_repkh_eksport_po_stranam.pdf;2017;;;;;;2 к-т 2017 2БКТП-2500/10/0,4
1_referentsii_repkh_eksport_po_stranam.pdf;2005;;;;;;95 Паровая турбина К-19-35-2 Украина Алчевский МК Алчевский МК 1 2005 18 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;2006;;;;;;96 Паровая турбина К-19-35-2 Украина Азовсталь Азовсталь 1 2006 18 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;2008;;;;;;97 Паровая турбина К-19-35-2 Украина МЗ им.Ильича МЗ им.Ильича 1 2008 18 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;2013;;;;;;98 Паровая турбина К-25-3,0 Украина Азовсталь Азовсталь 1 2013 25 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;2006;;;;;;"МК"" 1 2006 25 5645 2 0,51 0,098 паровая турбина Металлургия воздух"
1_referentsii_repkh_eksport_po_stranam.pdf;2013;;;;;;ПАО 1 2013 25 5645 2 0,51 0,098 паровая турбина Металлургия воздух
1_referentsii_repkh_gazovaya_otrasl.pdf;2019;;;;;;Оборудование для газовой отрасли 1965-2019 гг.
1_referentsii_repkh_gazovaya_otrasl.pdf;2009;;"КС ""Грязовец""";;2009;;"КС ""Грязовец"" 1 2009 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;"КС ""Вавожская""";Газовая турбина Т32 (MS5002E);2010;Россия;"288 Газовая турбина Т32 (MS5002E) Россия Реконструкция КС ""Вавожская"" 1 2010 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2010;;"КС-8 ""Чикшинская"" КЦ-1";;2010;;"КС-8 ""Чикшинская"" КЦ-1 1 2010 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2011;;Ямбург-Тула-1;;2011;;Ямбург-Тула-1 1 2011 32
1_referentsii_repkh_gazovaya_otrasl.pdf;2011;;"КС-8 ""Чикшинская"" КЦ-1";;2011;;"КС-8 ""Чикшинская"" КЦ-1 3 2011 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2011;;"КС-9 ""Малоперанская"" КЦ-1";;2011;;"КС-9 ""Малоперанская"" КЦ-1 4 2011 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2011;;"КС-6 ""Интинская"" КЦ-1";;2011;;"КС-6 ""Интинская"" КЦ-1 2 2011 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2012;;"КС-6 ""Интинская"" КЦ-1";;2012;;"КС-6 ""Интинская"" КЦ-1 2 2012 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2012;;"КС-7 ""Сынинская"" КЦ-1";;2012;;"КС-7 ""Сынинская"" КЦ-1 4 2012 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2013;;"КС-6 ""Интинская"" КЦ-2";;2013;;"КС-6 ""Интинская"" КЦ-2 3 2013 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2013;;"МГ ""Южный поток""";;2013;;"МГ ""Южный поток"" 5 2013 32"
1_referentsii_repkh_gazovaya_otrasl.pdf;2014;;"КС-7 ""Сынинская"" КЦ-2";;2014;;"КС-7 ""Сынинская"" КЦ-2 3 2014 32"
