list;stranica;zakazchik;god_min;god_max;hvost
1_referentsii_repkh_eksport_po_stranam.pdf;2;5 Паровая турбина АТ-6 Белоруссия Азот Азот 1;1957;1957;1957 6 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;3;"6 Паровая турбина К-15-41-1 Белоруссия Гродненское ПО ""Азот"" Гродненское ПО ""Азот"" 1";1983;1983;1983 15 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;3;"7 Паровая турбина К-15-41-1 Белоруссия Гродненский ПО ""Азот"" Гродненский ПО ""Азот"" 1";1988;1988;1988 15 Химическая
1_referentsii_repkh_eksport_po_stranam.pdf;3;1 К-480-42-1 Белоруссия Азот Азот 1;1963;1963;1963 1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;2 К-480-42-1 Белоруссия Азот Азот 2;1963;1963;1963 1,6 480 1 0,392266 0,090711513 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;3 К-480-42-1 Белоруссия Азот Азот 10;1964;1964;1964 1,6 480 1 0,39 0,09 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;4 Н-200-11-1 Белоруссия Гомель Гомельский суперф. завод 1;1964;1964;1964 0,1 200 1 0,10684384 0,09414384 Электродвигатель Химическая сернистый газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;5 Н-360-22-1 Белоруссия Минская ст.аэрации Минская ст.аэрации 6;1964;1964;1964 не менее 0.7 280 1 0,24 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;6 Н-200-11-1 Белоруссия Гомель Центролит 2;1965;1965;1965 0,1 200 1 0,10684384 0,09414384 Электродвигатель Металлургия сернистый газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;7 Н-360-21-1 Белоруссия Гомель Гомельский суперф. завод 2;1965;1965;1965 0,35 375 1 0,13 0,09 Электродвигатель Химическая полуводяной или
1_referentsii_repkh_eksport_po_stranam.pdf;3;8 К-480-42-1 Белоруссия Азот Азот 1;1966;1966;1966 1,6 480 1 0,392266 0,090711513 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;9 К-905-61-1 Белоруссия Азот Азот 1;1967;1967;1967 6 915 3 0,74 0,10 Электродвигатель Химическая Воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;10 К-210-61-1 Белоруссия Полоцкий ХК Полоцкий ХК 1;1972;1972;1972 6 222 3 1,715 0,144 Электродвигатель Химическая пропилен
1_referentsii_repkh_eksport_po_stranam.pdf;3;11 К-405-121-1 Белоруссия Полоцкий ХК Полоцкий ХК 1;1972;1972;1972 6 450 4 4,12 0,13 Электродвигатель Химическая газы пиролиза
1_referentsii_repkh_eksport_po_stranam.pdf;3;12 К-405-121-1 Белоруссия Азот Азот 1;1975;1975;1975 6 450 4 4,116 0,1274 Электродвигатель Химическая газы пиролиза
1_referentsii_repkh_eksport_po_stranam.pdf;3;13 К-1290-121-1 Белоруссия Азот Азот 1;1983;1983;1983 15 1210 4 3,53 0,09 Паровая турбина Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;14 К-420-91-1 Белоруссия Химволокно Химволокно 2;1990;1990;1990 3,15 396 4 1,6 0,098 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;Дрогичинский био-хим. завод 2;1990;1990;1990 4 1025 1 0,33 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;завод 1;1991;1991;1991 3,15 525 3 0,88 0,098 Электродвигатель Металлургия Воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;Дрогичинский био-хим. завод 1;1991;1991;1991 4 1025 1 0,33 0,10 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;БВК Новополоцкий завод БВК 3;1992;1992;1992 3,15 925 1 0,284 0,098 Электродвигатель Химическая воздух
1_referentsii_repkh_eksport_po_stranam.pdf;3;19 Н-540-41-1 Белоруссия Азот Азот 1;1993;1993;1993 1,6 540 1 0,41 0,10 Электродвигатель Химическая нитрозный газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;"Беларусь"" КС ""Слонимская"" 1";2015;2015;2015 16 351 1 8,34 6,09 ДГ-90Л2 Газовая природный газ
1_referentsii_repkh_eksport_po_stranam.pdf;3;1 Паровая турбина АП-4 Болгария Кремиковцы МК Кремиковцы МК 2;1953;1953;1953 4 Металлургия
1_referentsii_repkh_eksport_po_stranam.pdf;3;2 Паровая турбина АКВ-12-4 Болгария Кремиковцы МК Кремиковцы МК 3;1961;1961;1961 12 Металлургия
