nazvanie;inn;nazvanie_v_baze;region;pochemu
Публичное акционерное общество «Магнитогорский металлургический комбинат»;;;;в названии нет ни одного сильного слова
Публичное акционерное общество «Новолипецкий металлургический комбинат»;;;;кандидатов с равным весом 3 — наугад не выдаём
Публичное акционерное общество «Горно-металлургическая компания «Норильский никель»;8401005730;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""";Красноярский;совпало: горно-металлургическая,никель
Акционерное общество «ЕВРАЗ Западно-Сибирский металлургический комбинат»;;;;кандидатов с равным весом 5 — наугад не выдаём
Акционерное общество «Нижнетагильский металлургический комбинат»;;;;кандидатов с равным весом 3 — наугад не выдаём
Публичное акционерное общество «Мечел», Челябинский металлургический комбинат;;;;в названии нет ни одного сильного слова
Публичное акционерное общество «Северсталь», Череповецкий металлургический комбинат;;;;кандидатов с равным весом 5 — наугад не выдаём
Акционерное общество «ЕВРАЗ Западно-Сибирский металлургический комбинат»;;;;кандидатов с равным весом 5 — наугад не выдаём
Акционерное общество «Южуралникель»;;;;сильных слов нет в базе
Акционерное общество «Ангарская нефтехимическая компания»;;;;кандидатов с равным весом 2 — наугад не выдаём
Акционерное общество «Куйбышевазот»;;;;сильных слов нет в базе
ООО «Газпром нефтехим Салават»;;;;кандидатов с равным весом 9 — наугад не выдаём
ООО «Газпром трансгас Сургут»;;;;кандидатов с равным весом 4 — наугад не выдаём
АО «Тулачермет»;;;;сильных слов нет в базе
ПАО «Уральская сталь»;;;;кандидатов с равным весом 28 — наугад не выдаём
ПАО «Татнефть» — Миннибаевский газоперерабатывающий завод;5003055920;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ ГАЗОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";;совпало: газоперерабатывающий
ООО «БашХим»;;;;сильных слов нет в базе
АО «Кольская ГМК» (комбинат «Североникель»);;;;сильных слов нет в базе
АО «Волгоградский металлургический завод «Красный Октябрь»;;;;кандидатов с равным весом 2 — наугад не выдаём
ПАО «Нижнекамскнефтехим»;1651000010;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖНЕКАМСКНЕФТЕХИМ""";Татарстан;совпало: нижнекамскнефтехим
АО «Качканарский горно-обогатительный комбинат «Ванадий»;6615001962;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕВРАЗ КАЧКАНАРСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";Свердловская;совпало: горно-обогатительный,качканарский
АО «Газпромнефть-ОНПЗ»;5501069556;"ЧУЗ ""ПОЛИКЛИНИКА АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";;совпало: газпромнефть-онпз
Нижневартовский газоперерабатывающий завод;5003055920;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ ГАЗОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";;совпало: газоперерабатывающий
АО «Серовский металлургический завод»;;;;сильных слов нет в базе
АО «Омский каучук»;;;;сильных слов нет в базе
АО «РУСАЛ Ачинск» (Ачинский глиноземный завод);;;;кандидатов с равным весом 4 — наугад не выдаём
ПАО «ГМК «Норильский никель» (Заполярный филиал);;;;кандидатов с равным весом 3 — наугад не выдаём
АО «Кирово-Чепецкий химический комбинат»;;;;сильных слов нет в базе
НПО Энергомаш имени академика В.П. Глушко;5047008220;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НПО ЭНЕРГОМАШ ИМЕНИ АКАДЕМИКА В.П.ГЛУШКО""";Московская;совпало: академика,глушко,энергомаш
АО Чусовской металлургический завод;;;;сильных слов нет в базе
АО Красный треугольник;;;;кандидатов с равным весом 32 — наугад не выдаём
АО Средне-Уральский медеплавильный завод;;;;сильных слов нет в базе
АО ФосАгро-Череповец;;;;сильных слов нет в базе
Красноярский алюминиевый завод ОК РУСАЛ;;;;кандидатов с равным весом 2 — наугад не выдаём
Саянский алюминиевый завод ОК РУСАЛ;;;;кандидатов с равным весом 4 — наугад не выдаём
вошел в состав Новолипецкого металлургического комбината;7751211618;"ООО ""ЧИСТЫЙ СОСТАВ""";;совпало: состав
ПАО Горно-металлургическая компания Норильский никель;8401005730;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""";Красноярский;совпало: горно-металлургическая,никель
Курьяновские очистные сооружения;;;;кандидатов с равным весом 12 — наугад не выдаём
ОАО «Электроцинк»;;;;сильных слов нет в базе
ПАО «Тольяттиазот»;;;;сильных слов нет в базе
АО «РУСАЛ Братск», входит в UC RUSAL;;;;кандидатов с равным весом 2 — наугад не выдаём
вошёл в состав «Кольской ГМК» (ПАО «ГМК «Норильский никель»);;;;кандидатов с равным весом 3 — наугад не выдаём
вошла в состав Новокузнецкого металлургического комбината;7751211618;"ООО ""ЧИСТЫЙ СОСТАВ""";;совпало: состав
ПАО Косогорский металлургический завод;;;;сильных слов нет в базе
вошел в состав Новокуйбышевского нефтехимического комбината;;;;кандидатов с равным весом 2 — наугад не выдаём
ПАО Минеральные удобрения;;;;кандидатов с равным весом 27 — наугад не выдаём
ООО Стерлитамакский завод синтетического каучука;;;;кандидатов с равным весом 2 — наугад не выдаём
производственные мощности разделены между несколькими компаниями;;;;кандидатов с равным весом 9 — наугад не выдаём
ООО Воронежский шинный завод;;;;сильных слов нет в базе
Тобольск-Нефтехим (входит в СИБУР);;;;сильных слов нет в базе
Губкинский газоперерабатывающий завод (входит в Газпром переработка);;;;кандидатов с равным весом 14 — наугад не выдаём
Красноленинский газоперерабатывающий завод (входит в Газпром переработка);;;;кандидатов с равным весом 14 — наугад не выдаём
не знаю;;;;в названии нет ни одного сильного слова
ООО «Газпром добыча Ноябрьск»;8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""";Ямало-Ненецкий;совпало: добыча,ноябрьск
Пикалевский глиноземный завод (БазэлЦемент-Пикалево);4701008478;"ООО ""ПИКАЛЕВСКИЙ ЦБДД""";;совпало: пикалевский
Златоустовский металлургический завод;;;;кандидатов с равным весом 2 — наугад не выдаём
Медногорский медно-серный комбинат (входит в УГМК);5611057722;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДНОГОРСКИЙ ЩЕБЕНЬ""";Оренбургская область;совпало: медногорский
Калужский турбинный завод;;;;кандидатов с равным весом 3 — наугад не выдаём
Стерлитамакский завод синтетических каучуков;;;;кандидатов с равным весом 2 — наугад не выдаём
Карабашский медеплавильный завод;;;;сильных слов нет в базе
Заполярный филиал ПАО ГМК Норильский никель;;;;кандидатов с равным весом 3 — наугад не выдаём
Белоярская атомная электростанция;;;;кандидатов с равным весом 3 — наугад не выдаём
Челябинский металлургический комбинат;;;;в названии нет ни одного сильного слова
Карабашский медеплавильный завод;;;;сильных слов нет в базе
Воронежский завод синтетического каучука;;;;сильных слов нет в базе
Киришский нефтеперерабатывающий завод;;;;кандидатов с равным весом 2 — наугад не выдаём
АО Дорогобуж;;;;сильных слов нет в базе
ПАО Невинномысский Азот;;;;сильных слов нет в базе
Красноуральский медеплавильный завод;;;;сильных слов нет в базе
Чебаркульский металлургический завод;;;;сильных слов нет в базе
Сибирский химический комбинат;;;;в названии нет ни одного сильного слова
Белоярская атомная электростанция;;;;кандидатов с равным весом 3 — наугад не выдаём
Саткинский чугунолитейный завод;7402007760;"ООО ""КАСЛИНСКИЙ ЧУГУНОЛИТЕЙНЫЙ ДЕМИДОВСКИЙ ЗАВОД""";;совпало: чугунолитейный
Мосметрострой;;;;сильных слов нет в базе
Усинский газоперерабатывающий завод;5003055920;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ ГАЗОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";;совпало: газоперерабатывающий
Повховская компрессорная станция;;;;сильных слов нет в базе
Волжский трубный завод;;;;кандидатов с равным весом 31 — наугад не выдаём
Синарский трубный завод;;;;кандидатов с равным весом 7 — наугад не выдаём
Когалымская компрессорная станция;8608040266;"БУ ""КОГАЛЫМСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""";;совпало: когалымская
Новосибирская ТЭЦ-5;;;;кандидатов с равным весом 4 — наугад не выдаём
Карельский окатыш;;;;кандидатов с равным весом 13 — наугад не выдаём
Варьеганская компрессорная станция;;;;сильных слов нет в базе
ООО «Газпром добыча Надым» Ямсовейское нефтегазоконденсатное месторождение;;;;кандидатов с равным весом 23 — наугад не выдаём
ООО «Газпром добыча Надым» Бованенковское нефтегазоконденсатное месторождение;;;;кандидатов с равным весом 23 — наугад не выдаём
АО «Газпром газораспределение Ленинградская область»;4700000109;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ЛЕНИНГРАДСКАЯ ОБЛАСТЬ""";Аннинское;совпало: газораспределение,ленинградская,область
ООО «Саратовский НПЗ»;;;;в названии нет ни одного сильного слова
АО «Кузнецкий цементный завод»;;;;сильных слов нет в базе
ПАО «Северский трубный завод»;;;;кандидатов с равным весом 12 — наугад не выдаём
АО «Серп и Молот»;;;;в названии нет ни одного сильного слова
АО «Челябинский цинковый завод»;;;;сильных слов нет в базе
ОАО Биохимик;6330099461;"ООО ""БИОХИМИК""";;совпало: биохимик
вошёл в состав АО Брянский машиностроительный завод;;;;кандидатов с равным весом 6 — наугад не выдаём
ООО Газпром трансгаз Самара;;;;кандидатов с равным весом 36 — наугад не выдаём
ВНИХИ имени академика В.С.Мартыновского;;;;кандидатов с равным весом 16 — наугад не выдаём
МП Самараводоканал;;;;сильных слов нет в базе
Алапаевский металлургический завод;6677018490;"ООО ""АЛАПАЕВСКИЙ ЗЕРНОВОЙ ТЕРМИНАЛ""";;совпало: алапаевский
Невинномысский Азот;;;;сильных слов нет в базе
Акционерное общество «Научно-производственное объединение по исследованию и проектированию энергетического оборудования имени И. И. Ползунова» (АО «НПО ЦКТИ»), Московское отделение;;;;кандидатов с равным весом 5 — наугад не выдаём
АО «Бурибаевский горно-обогатительный комбинат»;;;;кандидатов с равным весом 3 — наугад не выдаём
Институт физических проблем имени П. Л. Капицы Российской академии наук;7705619040;"ООО ""ИНСТИТУТ ПРОБЛЕМ ЭНЕРГЕТИКИ""";;совпало: институт,проблем
АО «Бийский химический комбинат»;;;;кандидатов с равным весом 3 — наугад не выдаём
АО «Среднеуральский медеплавильный завод»;;;;сильных слов нет в базе
АО «Мосводоканал»;;;;сильных слов нет в базе
АО «Архангельский целлюлозно-бумажный комбинат»;;;;кандидатов с равным весом 3 — наугад не выдаём
АО «Башкирская содовая компания»;0268008010;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";Стерлитамак;совпало: башкирская,содовая
ООО «Метрострой»;;;;сильных слов нет в базе
ПАО «Славнефть-ЯНОС»;;;;сильных слов нет в базе
Карабашский медеплавильный завод;;;;сильных слов нет в базе
ПАО «Челябинский кузнечно-прессовый завод»;7449006184;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧЕЛЯБИНСКИЙ КУЗНЕЧНО-ПРЕССОВЫЙ ЗАВОД""";Челябинская;совпало: кузнечно-прессовый
ПАО «ГМК «Норильский никель»;;;;кандидатов с равным весом 2 — наугад не выдаём
Сургутский газоперерабатывающий завод (ООО «Газпром переработка»);;;;кандидатов с равным весом 13 — наугад не выдаём
АО «Самотлорнефтегаз» (входит в ТНК-BP, затем «Роснефть»);8603089934;"АО ""САМОТЛОРНЕФТЕГАЗ""";Ханты-Мансийский Автономный округ - Югра;совпало: самотлорнефтегаз
ПАО «Химпром» (Чебоксары);;;;кандидатов с равным весом 8 — наугад не выдаём
ПАО «Сургутнефтегаз»;;;;сильных слов нет в базе
Холмогорское нефтегазовое месторождение (ХМАО, разработка «Газпромнефть-Хантос»);;;;кандидатов с равным весом 24 — наугад не выдаём
Белозерский газоперерабатывающий завод (Тюменская область, «Сибур Тобольск»);;;;кандидатов с равным весом 12 — наугад не выдаём
ООО «Минудобрения» (Россошь, Воронежская область);;;;кандидатов с равным весом 13 — наугад не выдаём
АО «Димитровградхиммаш» (Димитровград, Ульяновская область);;;;кандидатов с равным весом 8 — наугад не выдаём
ПАО «Таганрогский металлургический завод»;;;;кандидатов с равным весом 3 — наугад не выдаём
ЕВРАЗ Западно-Сибирский металлургический комбинат (Новокузнецк);;;;кандидатов с равным весом 6 — наугад не выдаём
АО «Криогенмаш» (Балашиха, Московская область);;;;кандидатов с равным весом 20 — наугад не выдаём
Новороссийский цементный завод (входит в холдинг «Новоросцемент»);;;;кандидатов с равным весом 4 — наугад не выдаём
Нижневартовская база производственно-технического обеспечения и комплектации;;;;кандидатов с равным весом 11 — наугад не выдаём
Сургутская база производственно-технического обеспечения и комплектации;;;;кандидатов с равным весом 13 — наугад не выдаём
Металлургический завод «Серп и Молот»;;;;в названии нет ни одного сильного слова
Волготрансгаз (филиал ПАО «Газпром»);5260175876;"ООО ""ММЦ ""ВОЛГОТРАНСГАЗ""";;совпало: волготрансгаз
Оскольский электрометаллургический комбинат (ОЭМК);3128005752;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОСКОЛЬСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ ИМЕНИ АЛЕКСЕЯ АЛЕКСЕЕВИЧА УГАРОВА""";Белгородская;совпало: оскольский,электрометаллургический
Уфимский нефтеперерабатывающий завод (входит в состав АО «Башнефть»);;;;кандидатов с равным весом 3 — наугад не выдаём
Мелеузовский химический завод (входит в состав ООО «МХЗ»);;;;кандидатов с равным весом 2 — наугад не выдаём
Спасский цементный завод «Спасскцемент»;;;;кандидатов с равным весом 3 — наугад не выдаём
ООО «Газпром трансгаз Саратов»;;;;кандидатов с равным весом 14 — наугад не выдаём
Нижнетагильский металлургический комбинат (ЕВРАЗ НТМК);;;;кандидатов с равным весом 3 — наугад не выдаём
Богословский алюминиевый завод (РУСАЛ БАЗ);;;;кандидатов с равным весом 3 — наугад не выдаём
ПАО «Ижсталь»;;;;сильных слов нет в базе
АО «Апатит» (ФосАгро);;;;сильных слов нет в базе
Тарасовский газоперерабатывающий завод (в составе «Газпром переработка»);;;;кандидатов с равным весом 15 — наугад не выдаём
ООО «Газпром трансгаз Волгоград»;;;;кандидатов с равным весом 21 — наугад не выдаём
Компрессорная станция «Изборская» (ООО «Газпром трансгаз Санкт-Петербург»);;;;кандидатов с равным весом 18 — наугад не выдаём
Компрессорная станция «Грязовец» (ООО «Газпром трансгаз Ухта»);;;;кандидатов с равным весом 8 — наугад не выдаём
Компрессорная станция «Изборская» (ООО «Газпром трансгаз Санкт-Петербург»);;;;кандидатов с равным весом 18 — наугад не выдаём
ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Торжок»;;;;кандидатов с равным весом 18 — наугад не выдаём
ООО «Газпром трансгаз Ухта», компрессорная станция «Грязовец»;;;;кандидатов с равным весом 8 — наугад не выдаём
Публичное акционерное общество «Новолипецкий металлургический комбинат»;;;;кандидатов с равным весом 3 — наугад не выдаём
ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Мышкин»;;;;кандидатов с равным весом 18 — наугад не выдаём
ООО «ЛУКОЙЛ-Западная Сибирь» (бывшее территориально-производственное предприятие «Урайнефтегаз»);;;;кандидатов с равным весом 157 — наугад не выдаём
ООО «Газпром добыча Уренгой»;;;;кандидатов с равным весом 15 — наугад не выдаём
ООО «Газпром добыча Надым»;;;;кандидатов с равным весом 12 — наугад не выдаём
ООО «Газпром трансгаз Краснодар», компрессорная станция «Майкопская»;;;;кандидатов с равным весом 24 — наугад не выдаём
ООО «Газпром добыча Уренгой»;;;;кандидатов с равным весом 15 — наугад не выдаём
ООО «Газпром трансгаз Саратов», компрессорная станция «Петровск»;;;;кандидатов с равным весом 16 — наугад не выдаём
ООО «Газпром добыча Ноябрьск»;8905026850;"ООО ""ГАЗПРОМ ДОБЫЧА НОЯБРЬСК""";Ямало-Ненецкий;совпало: добыча,ноябрьск
ООО «Газпром добыча Ямбург»;;;;кандидатов с равным весом 12 — наугад не выдаём
ООО «Газпром добыча Надым»;;;;кандидатов с равным весом 12 — наугад не выдаём
ООО «Газпром комплектация»;;;;кандидатов с равным весом 4 — наугад не выдаём
ООО «Газпром комплектация»;;;;кандидатов с равным весом 4 — наугад не выдаём
ООО «Газпром комплектация»;;;;кандидатов с равным весом 4 — наугад не выдаём
ООО «Газпром трансгаз Ухта», компрессорная станция «Грязовец»;;;;кандидатов с равным весом 8 — наугад не выдаём
ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Славянская»;;;;кандидатов с равным весом 22 — наугад не выдаём
ООО «Газпром добыча Надым»;;;;кандидатов с равным весом 12 — наугад не выдаём
ООО «ЛУКОЙЛ-Западная Сибирь»;;;;кандидатов с равным весом 157 — наугад не выдаём
Акционерное общество «Арктикгаз»;;;;сильных слов нет в базе
