srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
any;электрокомпрессор;80-ТУ-01422-2020;08.09.2020;9102048801;"ГУП РК ""ЧЕРНОМОРНЕФТЕГАЗ""";Электрокомпрессор поршневой, воздушный ВК-25Э А, зав. № 08815146;ТУ;7708700066;"ООО ""ДИАТЭК"" (ИНН 7708700066)";соответствует;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-01422-2020;https://monitor-pb.ru/customer/9102048801
any;электрокомпрессор;16-ТУ-15761-2015;02.10.2015;3706008060;"ОАО ХБК ""Шуйские ситцы""";ресивер электрокомпрессора GM-TR-VX, зав. № 20016782, рег. №2-Г;ТУ;3731026539;"ООО ""КОНСУЛЬТАНТ""";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-15761-2015;https://monitor-pb.ru/customer/3706008060
any;электрокомпрессор;68-ТУ-10043-2016;26.05.2016;4218000951;"АО ""ЕВРАЗ ЗСМК""";техническое устройство: электрокомпрессор станционный № 12, АО «ЕВРАЗ ЗСМК», ПВС, II класс опасности;ТУ;4220024710;"ООО ""ЭНЕРГОПРОМ-М""";соответствует;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-10043-2016;https://monitor-pb.ru/customer/4218000951
any;электрокомпрессор;30-ТУ-13621-2015;14.12.2015;2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";электрокомпрессор КР-2 зав. № 1288013, ГУ Синявского м-я, ГП-2, Каневского ГПУ;ТУ;8606004424;"ООО ""ЮТАР""";соответствует;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-13621-2015;https://monitor-pb.ru/customer/2308065678
any;электрокомпрессор;68-ТУ-07862-2017;19.04.2017;4218000951;"АО ""ЕВРАЗ ЗСМК""";техническое устройство: электрокомпрессор К-1500-62-2 станционный № 9, заводской № 3762, эксплуатируемое на АО «ЕВРАЗ ЗСМК»;ТУ;4220024710;"ООО ""ЭНЕРГОПРОМ-М""";не в полной мере;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-07862-2017;https://monitor-pb.ru/customer/4218000951
any;электрокомпрессор;68-ТУ-34691-2020;22.12.2020;4218000951;"АО ""ЕВРАЗ ЗСМК""";воздухопровод от электрокомпрессора станционный № 11 до коллекторов кислородного дутья, регистрационный № 17 АЭ.20.02701.001;ТУ;4220024710;"ООО ""ЭНЕРГОПРОМ-М""";соответствует;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-34691-2020;https://monitor-pb.ru/customer/4218000951
any;электрокомпрессор;80-ТУ-01609-2023;25.08.2023;9102048801;"ГУП РК ""ЧЕРНОМОРНЕФТЕГАЗ""";электрокомпрессор поршневой, воздушный ВК-25Э А, зав. № 08815146, на ОПО: Подземное хранилище газа, рег. № А79-00024-0038, I класс опасности;ТУ;7839119049;"ООО ""РСК""";соответствует;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-01609-2023;https://monitor-pb.ru/customer/9102048801
any;электрокомпрессор;49-ТУ-49486-2019;01.11.2019;5610218014;"ООО ""ГАЗПРОМНЕФТЬ-ОРЕНБУРГ""";электрокомпрессор К2-150, техн. № В-1, зав. № 0501011, участок № 1, СППК, ЦРО НПО, Восточного участка ОНГКМ, ООО «Газпромнефть-Оренбург»;ТУ;3328465940;"ООО ""КОМПЛЕКСНЫЕ ИНЖЕНЕРНЫЕ СИСТЕМЫ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-49486-2019;https://monitor-pb.ru/customer/5610218014
any;электрокомпрессор;68-ТУ-26379-2017;16.11.2017;4218000951;"АО ""ЕВРАЗ ЗСМК""";техническое устройство: воздухопровод от электрокомпрессора ст. № 9 до коллекторов кислородного дутья, принадлежащий АО «ЕВРАЗ ЗСМК», ПВС, турбинный цех, эксплуатируемый на ОПО № А68-00341-0015, «Котельная», III класс опасности;ТУ;4220024710;"ООО ""ЭНЕРГОПРОМ-М""";не в полной мере;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-26379-2017;https://monitor-pb.ru/customer/4218000951
any;электрокомпрессор;68-ТУ-26386-2017;16.11.2017;4218000951;"АО ""ЕВРАЗ ЗСМК""";техническое устройство: воздухопровод от электрокомпрессора ст. № 11 до коллекторов кислородного дутья, принадлежащий АО «ЕВРАЗ ЗСМК», ПВС, турбинный цех, эксплуатируемый на ОПО № А68-00341-0015, «Котельная», III класс опасности;ТУ;4220024710;"ООО ""ЭНЕРГОПРОМ-М""";соответствует;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-26386-2017;https://monitor-pb.ru/customer/4218000951
