slug;url;h1;category;brand;знаков;файл_без_разметки;файл_с_разметкой
adsorbtsionnye__enger_2__goryachey-regeneratsii-s-vozdukhoduvkoy;https://prokompressor.ru/catalog/osushiteli/adsorbtsionnye/enger_2/goryachey-regeneratsii-s-vozdukhoduvkoy/;Адсорбционные осушители горячей регенерации, с воздуходувкой;ads_dryer;goryachey_regeneratsii_s_vozdukhoduvkoy;4701;plain/adsorbtsionnye__enger_2__goryachey-regeneratsii-s-vozdukhoduvkoy.html;schema/adsorbtsionnye__enger_2__goryachey-regeneratsii-s-vozdukhoduvkoy.html
adsorbtsionnye__enger_2__goryachey-regeneratsii;https://prokompressor.ru/catalog/osushiteli/adsorbtsionnye/enger_2/goryachey-regeneratsii/;Адсорбционные осушители горячей регенерации ENGER;ads_dryer;goryachey_regeneratsii;4157;plain/adsorbtsionnye__enger_2__goryachey-regeneratsii.html;schema/adsorbtsionnye__enger_2__goryachey-regeneratsii.html
adsorbtsionnye__enger_2__kholodnoy-regeneratsii;https://prokompressor.ru/catalog/osushiteli/adsorbtsionnye/enger_2/kholodnoy-regeneratsii/;Адсорбционные осушители ENGER холодной регенерации;ads_dryer;kholodnoy_regeneratsii;4900;plain/adsorbtsionnye__enger_2__kholodnoy-regeneratsii.html;schema/adsorbtsionnye__enger_2__kholodnoy-regeneratsii.html
bezmaslyanye_1__porshnevye__atlas-copco;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/porshnevye/atlas-copco/;Поршневые безмасляные компрессоры Atlas Copco;compressor;atlas_copco;4781;plain/bezmaslyanye_1__porshnevye__atlas-copco.html;schema/bezmaslyanye_1__porshnevye__atlas-copco.html
bezmaslyanye_1__porshnevye__ekomak;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/porshnevye/ekomak/;Поршневые безмасляные компрессоры Ekomak;compressor;ekomak;4308;plain/bezmaslyanye_1__porshnevye__ekomak.html;schema/bezmaslyanye_1__porshnevye__ekomak.html
bezmaslyanye_1__porshnevye__fiac;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/porshnevye/fiac/;Поршневые безмасляные компрессоры FIAC;compressor;fiac;4458;plain/bezmaslyanye_1__porshnevye__fiac.html;schema/bezmaslyanye_1__porshnevye__fiac.html
bezmaslyanye_1__porshnevye__remeza;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/porshnevye/remeza/;Поршневые безмасляные компрессоры Remeza;compressor;remeza;4661;plain/bezmaslyanye_1__porshnevye__remeza.html;schema/bezmaslyanye_1__porshnevye__remeza.html
bezmaslyanye_1__spiralnye_1__airpol;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/airpol/;Спиральные безмасляные компрессоры Airpol;compressor;airpol;4955;plain/bezmaslyanye_1__spiralnye_1__airpol.html;schema/bezmaslyanye_1__spiralnye_1__airpol.html
bezmaslyanye_1__spiralnye_1__atlas-copco;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/atlas-copco/;Спиральные безмасляные компрессоры Atlas Copco SF;compressor;atlas_copco;4545;plain/bezmaslyanye_1__spiralnye_1__atlas-copco.html;schema/bezmaslyanye_1__spiralnye_1__atlas-copco.html
bezmaslyanye_1__spiralnye_1__dalgakiran;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/dalgakiran/;Спиральные безмасляные компрессоры DALGAKIRAN;compressor;dalgakiran;4807;plain/bezmaslyanye_1__spiralnye_1__dalgakiran.html;schema/bezmaslyanye_1__spiralnye_1__dalgakiran.html
bezmaslyanye_1__spiralnye_1__das;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/das/;Спиральные безмасляные компрессоры DAS;compressor;das;4488;plain/bezmaslyanye_1__spiralnye_1__das.html;schema/bezmaslyanye_1__spiralnye_1__das.html
bezmaslyanye_1__spiralnye_1__ekomak;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/ekomak/;Спиральные безмасляные компрессоры Ekomak;compressor;ekomak;4804;plain/bezmaslyanye_1__spiralnye_1__ekomak.html;schema/bezmaslyanye_1__spiralnye_1__ekomak.html
bezmaslyanye_1__spiralnye_1__enger;https://prokompressor.ru/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/enger/;Спиральные безмасляные компрессоры Enger;compressor;enger;4854;plain/bezmaslyanye_1__spiralnye_1__enger.html;schema/bezmaslyanye_1__spiralnye_1__enger.html
