klyuch;tender_id;predmet;sozdan;do;company_id;company
центробежный;712889;Закупка центробежного насоса типа ЦГ модель ЦГ 12,5/50К-4-2 для ООО «Перкарбонат» (id712889);30.12.2022;12.01.2023 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;701136;Закупка насоса центробежного химического Munsch NP 100-65-200 в 2022г. (id691798) (2-й этап торгов) (id701136);29.11.2022;01.12.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;691798;Закупка насоса центробежного химического Munsch NP 100-65-200 в 2022г. (id691798);03.11.2022;17.11.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;683250;Закупка агрегата насосного центробежного в сборе АХ100-65 в 2022г. (id681117) (2-й этап торгов) (id683250);11.10.2022;12.10.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;681117;Закупка агрегата насосного центробежного в сборе АХ100-65 в 2022г. (id681117);05.10.2022;10.10.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;676228;Закупка насоса горизонтального центробежного 200Д90 в 2022г. (id675078) (2-й этап торгов) (id676228);21.09.2022;22.09.2022 в 16:00;51053;Химпром (Новочебоксарск)
центробежный;675078;Закупка насоса горизонтального центробежного 200Д90 в 2022г. (id675078);19.09.2022;21.09.2022 в 16:10;51053;Химпром (Новочебоксарск)
центробежный;642453;Закупка насоса горизонтального центробежного 200Д-90 в 2022 г. (id638423) (2-й этап торгов) (id642453);20.06.2022;21.06.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;638970;Закупка насоса горизонтального центробежного в 2022 году (id616505) (4-й этап торгов) (id638970);08.06.2022;09.06.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;638423;Закупка насоса горизонтального центробежного 200Д-90 в 2022 г. (id638423);07.06.2022;10.06.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;636837;Закупка насоса горизонтального центробежного в 2022 году (id616505) (3-й этап торгов) (id636837);03.06.2022;08.06.2022 в 12:00;51053;Химпром (Новочебоксарск)
центробежный;629685;Закупка насоса горизонтального центробежного в 2022 году (id616505) (2-й этап торгов) (id629685);17.05.2022;19.05.2022 в 15:00;51053;Химпром (Новочебоксарск)
центробежный;620563;Закупка насоса центробежного конденсатного 1КС 80-100 в 2021 - 2022 году (id589997) (3-й этап торгов) (id620563);18.04.2022;20.04.2022 в 14:00;51053;Химпром (Новочебоксарск)
центробежный;618494;Закупка насоса горизонтального центробежного НКУ-140Ма (id615206) (2-й этап торгов) (id618494);12.04.2022;13.04.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;616505;Закупка насоса горизонтального центробежного в 2022 году (id616505);07.04.2022;12.04.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;616329;Закупка насоса горизонтального центробежного химического, Н19/3, 4 в 2022 году (id603935) (2-й этап торгов) (id616329);06.04.2022;08.04.2022 в 16:00;51053;Химпром (Новочебоксарск)
центробежный;615206;Закупка насоса горизонтального центробежного НКУ-140Ма (id615206);04.04.2022;07.04.2022 в 16:00;51053;Химпром (Новочебоксарск)
центробежный;614407;Закупка насосного агрегата горизонтального центробежного в 2022 году. (id614407);01.04.2022;06.04.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;603935;Закупка насоса горизонтального центробежного химического, Н19/3, 4 в 2022 году (id603935);04.03.2022;10.03.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;592728;Закупка насоса центробежного конденсатного 1КС 80-100 в 2021 - 2022 году (id589997) (2-й этап торгов) (id592728);02.02.2022;04.02.2022 в 16:00;51053;Химпром (Новочебоксарск)
центробежный;589997;Закупка насоса центробежного конденсатного 1КС 80-100 в 2021 - 2022 году (id589997);26.01.2022;31.01.2022 в 17:00;51053;Химпром (Новочебоксарск)
центробежный;329169;Закупка центробежных насосных агрегатов в 2018 году;23.07.2018;25.07.2018 в 10:00;51053;Химпром (Новочебоксарск)
центробежный;281905;Аукцион закупка насосов центробежных;26.07.2017;28.07.2017 в 12:10;51053;Химпром (Новочебоксарск)
центробежный;280960;Закупка насосов центробежных в 2017 году;19.07.2017;21.07.2017 в 13:00;51053;Химпром (Новочебоксарск)
центробежный;267664;Закупка центробежных насосов поз.Н6/1, H6/2;06.03.2017;09.03.2017 в 18:00;51053;Химпром (Новочебоксарск)
центробежный;212495;Закупка центробежного дымососа одностороннего всасывания типа ДН-8;20.07.2015;30.07.2015;51053;Химпром (Новочебоксарск)
воздуходувка;968865;Проведение ЭПБ проектной документации № 27040-843а «Демонтаж воздуходувок и линии приема воздуха из магистрального трубопровода» в 2024 году (id968865);15.11.2024;25.11.2024 в 17:00;51053;Химпром (Новочебоксарск)
воздуходувка;836086;Закупка воздуходувки ROBOX в 2024 году (id831238) (2-й этап торгов) (id836086);11.12.2023;14.12.2023 в 15:00;51053;Химпром (Новочебоксарск)
воздуходувка;831238;Закупка воздуходувки ROBOX в 2024 году (id831238);28.11.2023;10.12.2023 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;963753;Запрос предложений на выполнение работ по монтажу турбокомпрессора ТГ-80-1,8М1-01.УЗ в корпусе 843А цеха № 114 ПАО «Химпром» в 2024г. (id963753);02.11.2024;12.11.2024 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;815407;Закупка хлорного турбокомпрессора в 2023г. (id753844) (4-й этап торгов) (id815407);17.10.2023;18.10.2023 в 14:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;781834;Закупка хлорного турбокомпрессора в 2023г. (id753844) (3-й этап торгов) (id781834);10.07.2023;14.07.2023 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;758227;Закупка хлорного турбокомпрессора в 2023г. (id753844) (2-й этап торгов) (id758227);02.05.2023;11.05.2023 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;753844;Закупка хлорного турбокомпрессора в 2023г. (id753844);19.04.2023;26.04.2023 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;745865;Закупка хлорного турбокомпрессора (id743294) (2-й этап торгов) (id745865);30.03.2023;04.04.2023 в 14:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;743294;Закупка хлорного турбокомпрессора (id743294);24.03.2023;29.03.2023 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;734453;Закупка хлорного турбокомпрессора в 2023 году (id734453);02.03.2023;14.03.2023 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;539920;Закупка турбокомпрессора ТК18Н-02 в 2021 году. (id539920);10.08.2021;13.08.2021 в 17:00;51053;Химпром (Новочебоксарск)
турбокомпрессор;155312;Закупка запчастей к Турбокомпрессору КТК 12.5/35;26.08.2013;30.08.2013;51053;Химпром (Новочебоксарск)
газодувка;1218575;Выполнение работ по восстановлению работоспособного состояния (капитальный ремонт) газодувки SH-61-1 в ПАО «Химпром». (id1218575);16.07.2026;24.07.2026 в 16:00;51053;Химпром (Новочебоксарск)
газодувка;423782;Закупка рабочего колеса газодувки 2ТГ 80-1,8 в 2020 году (id423782);13.02.2020;19.02.2020 в 11:00;51053;Химпром (Новочебоксарск)
газодувка;333719;Закупка запасных частей газодувки 2ТГ80-1,8 1993 г.в. в 2018 году;23.08.2018;28.08.2018 в 17:00;51053;Химпром (Новочебоксарск)
