сайт;показов в топ-15;доля показов сайта %;кликов в топ-15;ср. позиция Яндекс;ср. позиция Google;запросов из 15 есть у других сайтов;сколько сайтов пересекаются
prokompressor.ru;41002;7.5;514;23.7;9.4;14;14
enger-air.ru;24802;10.0;200;12.7;9.4;15;15
berg-compressor.com;25667;26.4;5214;9.8;6.4;14;4
berg-kompressor.ru;13437;27.3;116;15.3;7.3;13;2
remeza-kompressor.ru;8157;17.8;28;10.3;15.8;15;8
meyer-corp.ru;9592;28.4;119;7.0;;6;2
ac-kompressor.ru;6928;21.7;56;9.4;16.2;14;5
zif-kompressor.ru;12936;42.9;113;12.2;5.1;15;7
abac-kompressor.ru;8847;29.6;36;9.4;9.3;12;3
dali-kompressor.ru;10491;39.8;188;8.1;3.7;15;3
ekomak-kompressor.com;8935;50.9;118;8.0;6.2;15;2
crossair-compressor.ru;6428;37.9;217;7.7;11.2;15;4
comaro-kompressor.ru;8534;53.3;46;9.9;6.5;13;5
fini-compressor.com;2517;22.7;13;8.4;9.4;9;1
ironmac-compressor.com;4103;58.0;42;7.6;21.1;13;1
kraftmann-kompressor.com;3406;53.8;19;11.4;13.8;15;3
usort.ru;1481;23.7;9;10.6;;14;2
cmprg.ru;3300;57.6;16;7.8;7.1;13;2
vsefotoseparatory.ru;1531;48.4;27;9.3;;15;2
oil-free.ru;981;42.1;0;8.0;23.9;12;8
dizel-compressor.ru;574;25.2;2;7.6;64.5;15;14
ekomak-compressor.com;1196;66.9;46;6.4;40.5;15;3
nsk.prokompressor.ru;564;34.3;0;;9.9;15;6
barnaul.prokompressor.ru;543;35.9;12;5.3;6.8;14;11
vladivostok.prokompressor.ru;527;38.4;0;;8.3;14;10
voronezh.prokompressor.ru;180;85.7;1;6.5;8.2;12;11
po22.ru;100;80.0;1;;25.9;3;9
