inn;predpriyatie;nazvanie_egrul;adres;sayt;rukovoditel;dolzhnost_rukovoditelya;status_egrul;vyruchka;vyruchka_god;okved_osnovnoy;okvedov;okved_kody;ssylka_checko;ssylka_okved
0274053773;"ОАО """"Уралтранснефтепродукт";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛЬСКОЕ ОБЪЕДИНЕНИЕ ТРУБОПРОВОДНОГО ТРАНСПОРТА НЕФТЕПРОДУКТОВ""";г Уфа, ул Цюрупы, д 8;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - УРАЛ""";;LIQUIDATED;;;;7;60.30.12 40.10.41 45.21.1 45.21.3 51.12.1 51.14.2 63.12.21;https://checko.ru/company/uraltransnefteprodukt-1020202554162;https://checko.ru/company/1020202554162/activity
6625006078;"АО """"Первоуральскгаз";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРВОУРАЛЬСКГАЗ""";623104, СВЕРДЛОВСКАЯ ОБЛАСТЬ, М.О. ПЕРВОУРАЛЬСК, Г. ПЕРВОУРАЛЬСК, УЛ. ТОРГОВАЯ, СТР. 12;pgaz.ru;Артюх Артем Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;15,7 млн;2025;;2;46.71.5 46.71.52;https://checko.ru/company/pervouralskgaz-1026601503510;https://checko.ru/company/1026601503510/activity
1841017491;"ООО """"ВОСТОЧНЫЙ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОЧНЫЙ""";Удмуртская Респ, Завьяловский р-н, село Италмас, д 15;vostoc.ru;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМОС ГРУПП""";;ACTIVE;5,9 млрд;2025;;52;01.46.11 10.11.1 10.11.3 10.11.5 10.11.6 20.15.8 33.19 36.00.2 37.00 49.39.39 52.10.9 52.21.29 56.29.2 68.20.1 68.20.29 69.20.2 77.12 77.39.11 01.1 01.11 01.11.1 01.11.2 01.19.1 01.2 01.41 01.46 01.61 10.1 10.11 10.11.2 10.13.1 10.13.2 10.13.3 10.13.4 10.13.5 10.13.6 10.13.7 10.91.1 35.30 46.23 46.24 46.32 46.32.1 46.32.2 46.32.3 46.90 47.11 47.22 47.22.1 47.22.2 47.22.3 68.20;https://checko.ru/company/vostochny-1111841002943;https://checko.ru/company/1111841002943/activity
0265025836;"ООО """"Октябрьское УТТ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКТЯБРЬСКОЕ УПРАВЛЕНИЕ ТЕХНОЛОГИЧЕСКОГО ТРАНСПОРТА""";Респ Башкортостан, г Октябрьский, ул Северная, зд 8;;Калашников Сергей Дмитриевич;ДИРЕКТОР;LIQUIDATED;;;;13;11.20.4 50.20.1 50.20.2 50.20.3 50.30.2 50.50 60.23 60.24.1 60.24.2 63.12.21 63.12.4 63.21.2 93.01;https://checko.ru/company/oktyabrskoe-utt-1040203320068;https://checko.ru/company/1040203320068/activity
0541000382;"ОАО """"Махачкалинский мясокомбинат";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ МЯСОКОМБИНАТ""";г Махачкала, ул Лаптиева, влд 3;oaommk05.ru;Омаров Ахмед Магомедович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;292,5 млн;2025;;10;10.11.1 10.11.2 10.11.3 46.32 46.32.1 46.32.2 46.32.3 47.22 47.22.2 47.22.3;https://checko.ru/company/mahachkalinsky-myasokombinat-1020502528815;https://checko.ru/company/1020502528815/activity
4710002063;"ОАО """"ЛЗ """"Белкозин";"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛУЖСКИЙ ЗАВОД ""БЕЛКОЗИН""";188230, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, Р-Н ЛУЖСКИЙ, Г. ЛУГА, Ш. ЛЕНИНГРАДСКОЕ, Д.137 КМ;;Куранов Алексей Игоревич;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;LIQUIDATED;;;;16;10.13.1 10.13.2 10.13.3 10.13.4 10.13.5 10.13.6 10.13.7 21.10 21.20.1 46.46.1 46.90 55.90 56.29 68.20 77.39.1 93.11;https://checko.ru/company/luzhsky-zavod-belkozin-1034701557923;https://checko.ru/company/1034701557923/activity
1911000014;"АО """"КОММУНАРОВСКИЙ РУДНИК";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОММУНАРОВСКИЙ РУДНИК""";Респ Хакасия, Ширинский р-н, село Коммунар, ул Советская, д 15;aokr.ru;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ЮГК""";;ACTIVE;14,9 млрд;2025;;14;07.29.41 47.99 56.29.2 35.12 36.00 37.00 38.11 38.21 38.21.22 41.20 46.3 46.69.9 64.9 71.12.3;https://checko.ru/company/kommunarovsky-rudnik-1021900881936;https://checko.ru/company/1021900881936/activity
0260002024;Дюртюлинский комбинат молочных продуктов;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДЮРТЮЛИНСКИЙ КОМБИНАТ МОЛОЧНЫХ ПРОДУКТОВ""";Респ Башкортостан, Уфимский р-н, деревня Вавилово, ул Трактовая, зд 5/4, офис 8;;Боин Екатерина Анатольевна;Конкурсный управляющий;BANKRUPT;0;2021;;1;10.51;https://checko.ru/company/dyurtyulinsky-kombinat-molochnyh-produktov-1020201757256;https://checko.ru/company/1020201757256/activity
3528081483;"ООО """"УПРАВЛЕНИЕ СЕВЕРГАЗ";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ СЕВЕРГАЗ""";г Вологда, тер 6 км Ленинградского шоссе;;Андриановский Александр Константинович;ДИРЕКТОР;LIQUIDATED;75,2 млн;2024;;20;46.71 33.12 35.30 43.22 43.29 45.20 45.20.1 46.75.2 47.19 47.30 47.78.6 47.78.9 49.4 52.10.22 68.31.12 68.31.22 68.31.32 68.31.42 77.11 77.39.1;https://checko.ru/company/upravlenie-severgaz-1023501239860;https://checko.ru/company/1023501239860/activity
7802849641;"ООО """"ПК """"БАЛТИКА";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";г Санкт-Петербург, 6-й Верхний пер, д 3 литера а;baltika.ru;Визир Дмитрий Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;ACTIVE;145,9 млрд;2025;;51;11.05 11.07.12 11.07.2 35.11.1 35.30.2 36.00.2 46.39 56.29.2 68.20.29 70.22 01.11.1 01.11.2 01.61 10.89 11.01.1 11.02 11.03 11.04 11.06 11.07.1 35.11 35.11.4 35.13 35.30 35.30.13 36.00 36.00.1 41.20 46.21 46.34.1 46.34.2 46.34.21 46.34.23 46.38.29 47.11.2 47.19 47.25.1 47.25.11 47.25.12 47.25.2 47.78.3 47.78.4 47.9 49.41 52.10.3 56.21 56.29 72.19 73.11 73.20.1 79.90.2;https://checko.ru/company/pivovarennaya-kompaniya-baltika-1147847032838;https://checko.ru/company/1147847032838/activity
