inn;predpriyatie;sayt;mesto
5838013374;"АО ""ФНПЦ ""ПО ""СТАРТ"" ИМ. М.В. ПРОЦЕНКО""";https://startatom.ru;72
6820018800;"ООО ""АГРОСОЮЗ""";https://agrosoyuznsk.ru;121
5406109142;"АО ""ГЛАВНОВОСИБИРСКСТРОЙ""";https://www.ao-gns.ru;122
0270011660;"ООО ""ЗАВОД НИКОЛЬ-ПАК""";https://nicol-pack.ru;123
7707375416;"ООО ""КИРОВПЕЙПЕР""";https://kirovpaper.com;124
6674153011;"ООО ""УМЗ"", ООО ""УРАЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ ЗАВОД""";http://www.uralmz.ru;129
7204001630;"АО ""ТЮМЕНСКИЙ АККУМУЛЯТОРНЫЙ ЗАВОД""";https://tyumen-battery.ru;131
6229047842;"ООО ""ЭЛЛАДА""";https://xn-----6kccajysqclvh3a6c5h.xn--p1ai;132
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";https://kuazot.ru;134
4205064482;"ООО ПО ""ТОКЕМ""";https://www.tokem.ru;136
4906000960;"АО ""ПОЛЮС МАГАДАН""";https://polyus.com;139
5606000223;"АО ""МЭЗ ""УРАЛЭЛЕКТРО""";https://uralelectro.ru;142
7536129954;"ООО ""РИГ СЕРВИС""";https://rigservice.ru;145
4501010984;"АО ""КЗЭМИ""";https://emi-kurgan.ru;146
4501044849;"ООО "" ПУЛЬСАТОР """;https://pulsator-45.ru;147
4318004484;"ООО  ""МУРАШИНСКИЙ ФАНЕРНЫЙ ЗАВОД""";https://mfzavod.com;148
5246020905;"ООО ""ПОСУДА""";https://www.posuda.ru;150
6623105958;"ООО ""НСМЗ""";https://nsmz.pro;151
2464010490;"ПАО ""КРАСФАРМА""";https://kraspharma.ru;152
3802008546;"АО ""ПОЛЮС ВЕРНИНСКОЕ""";https://polyus.com;155
5040059680;"АО ""МАПЕИ""";https://aomapei.ru;156
5404271661;"ООО ""ПРОМТЕХСЕРВИС""";https://prom-ts.com;157
2223624670;"ООО ""БЛАГО-БАРНАУЛ""";https://gcblago.ru;158
7805368914;"ООО ""ТД ПОЛИМЕТАЛЛ""";https://www.polymetal.ru;161
7802732442;"ООО ""НТЦ ТПТ""";https://old.tf-tc.ru;162
1327000226;"ООО ""ВКМ - СТАЛЬ""";https://rmrail.ru;163
7459004027;"ООО ""ОРАНЖСТИЛ""";https://osteel.ru;165
3128011788;"АО ""СТОЙЛЕНСКИЙ ГОК""";https://sgok.nlmk.com;170
6664013880;"АО ""УРАЛХИММАШ""";https://uralhimmash.ru;171
5918216877;"ООО ""ММК-ЛМЗ""";https://lysvamk.ru;172
5030041780;"ООО ""АУР НАРО-ФОМИНСК""";https://cans.ru;173
6025019903;"ООО ""ЗАВОД РЕОСТАТ""";https://reostat.ru;174
8608053875;"ООО ""КОГАЛЫМ НПО-СЕРВИС""";https://knpos.ru;176
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";https://sumz.umn.ru;178
6652011944;"АО ""АЗПТ""";https://azpt.ru;179
4720022460;"ООО ""ММПОФ ПЭКЭДЖИНГ""";https://mm-pof.ru;181
7014038550;"АО ""ТГОК ""ИЛЬМЕНИТ""";https://www.ilmenite.ru;183
5904199692;"ООО ""ИНКАБ""";https://incab.ru;189
6315376946;"ПАО ""Т ПЛЮС""";https://www.tplusgroup.ru;191
7420005460;"АО ""ЧЕБАРКУЛЬСКОЕ МОЛОКО""";https://milk74.ru;194
6658084667;"ООО ""ВИЗ-СТАЛЬ""";https://viz-steel.nlmk.com;196
5410039642;"АО ""НМЗ ""ИСКРА""";https://nmz-iskra.ru;197
