seriya;princip;vid;vstrech;innov;ssylok;ssylki;citata
Ц-6;центробежный;нагнетатель;28;7;12;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-90879-2025 | https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-90915-2025 | https://monitor-pb.ru/conclusion/53-%D0%97%D0%A1-33760-2022;5 заключение ЭПБ № 2-ЗС-90858-2025 ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на сооружение Турбинные агрегаты ГПА-Ц-6.3 КС-6 Изобильный (надземные трубопроводы нагнетателей Г
К-1500-61-2;центробежный;компрессор;28;3;7;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-38230-2016 | https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-14365-2016 | https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-15777-2017;15074 5607014437 есть К-1500-61-2 центробежная воздух 27.07.2026 заключение ЭПБ № 56-ТУ-948416-2026 Заключение экспертизы промышленной безопасности: возд
К-354-101-1;центробежный;компрессор;28;3;9;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-80222-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-60570-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15848-2025;15512 5905099475 есть В-103 | К-354-101-1 центробежная по серии среда не названа 14.12.2022 заключение ЭПБ № 48-ТУ-80222-2022 Заключение экспертизы промышленной 
ТВ-80-1,8;центробежный;компрессор;27;5;14;https://zakupki.mos.ru/need/5650047 | https://zakupki.mos.ru/need/5650049 | https://zakupki.mos.ru/need/5566757;3567 1434031363 покупает ТВ-80-1,8 центробежная воздух 24.02.2026 06:00 процедура RH18022600061 Турбокомпрессор воздушный многоступенчатый ТВ-80-1,8 (или 
К500;центробежный;компрессор;27;4;13;https://monitor-pb.ru/conclusion/47-%D0%A2%D0%9F-68240-2021 | https://www.tender.pro/api/tender/712433/view_public | https://www.tender.pro/api/tender/719507/view_public;16154 5906042295 планировал К 500 центробежная 02.2024 план 2230713890 позиция 16, сумма 2 000 000,00 ₽ Капитальный ремонт компрессора (Поставка и монтаж
ЦК135/8М1;центробежный;компрессор;26;4;9;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01651-2016 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-09182-2019 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-11259-2023;10191 3801009466 есть ЦК 135/8М1 центробежная среда не названа 20.06.2019 заключение ЭПБ № 67-ТУ-09182-2019 техническое устройство Компрессор центробежн
ТВ-50-1,6;центробежный;воздуходувка;26;3;13;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-31814-2019 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-05866-2017 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-21455-2024;10389 3801046700 есть А67-00348, | ТВ-50-1,6 | ТВ-10 не применимо воздух 17.12.2024 заключение ЭПБ № 67-ТУ-21455-2024 техническое устройство, применяемое на опасном
ЦК-3;центробежный;компрессор;26;2;13;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-12890-2015 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-23249-2018 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06965-2024;еда не названа 02.04.2024 заключение ЭПБ № 53-ТУ-06967-2024 Концевой газоохладитель центробежного компрессора ЦК-135/8 (ЦК-3), инв. №022524, цех №17, ЦВК https://monitor-pb.ru/conc
К-890-122-1;центробежный;компрессор;26;2;9;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%9F-27640-2014 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-02929-2018 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-24349-2014;21979 7202116628 есть К-890-122-1, | КЦ 201/1 центробежная среда не названа 18.11.2014 заключение ЭПБ № 59-ТУ-26920-2014 центробежный компрессор К-890-12
ЦК-201;центробежный;компрессор;24;10;18;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-05466-2024 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-23233-2020 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-18920-2015;339 0266008329 есть ЦКО-160/15 | ЦК-201 центробежная среда не названа 24.06.2015 заключение ЭПБ № 41-ТУ-18920-2015 Центробежный компрессор 43 ЦКО-160/15 поз. Ц
К-350-61-2;центробежный;компрессор;24;2;6;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-16593-2015 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-02905-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-51090-2014;1042 0268008010 есть К-350-61-2, центробежная среда не названа 23.12.2014 заключение ЭПБ № 41-ТУ-51090-2014 Центробежный компрессор типа К-350-61-2, по
ВК9020;центробежный;воздуходувка;24;1;6;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-04990-2019 | https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-04993-2019 | https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-04999-2019;6244 2365004375 есть ВК9020 центробежная воздух 16.04.2019 заключение ЭПБ № 30-ТУ-04993-2019 Воздуходувка ВК9020, зав. № 1179020040, поз. 659-VD001
ВК9030;центробежный;воздуходувка;24;1;6;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-05008-2019 | https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-05012-2019 | https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-05006-2019;6249 2365004375 есть ВК9030 центробежная воздух 16.04.2019 заключение ЭПБ № 30-ТУ-05004-2019 Воздуходувка ВК9030, зав. № 1179030022, поз. 659-VD002
К1290-121-1;центробежный;компрессор;23;4;6;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-09087-2016 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-01842-2015 | https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-00337-2024;340 0266008329 есть К1290-121-1, центробежная среда не названа 16.03.2016 заключение ЭПБ № 41-ТУ-09087-2016 Компрессор центробежный К1290-121-1, поз. 4
К-3000;центробежный;компрессор;23;2;11;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-07470-2025 | https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-55853-2025 | https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-07529-2025;16978 6227007322 есть К-3000 центробежная среда не названа 01.03.2022 заключение ЭПБ № 03-ТУ-03513-2022 Центробежный компрессор D16R4S, поз. К-3000,
ЦК-135;центробежный;компрессор;23;3;17;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-23990-2024 | https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-23994-2024 | https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-22829-2018;24602 7704655662 есть ЦК-135 центробежная среда не названа 10.04.2026 заключение ЭПБ № 24-ТУ-783319-2026 ЗАКЛЮЧЕНИЕ № ЦК/АНИ-ЭТУ/24-25/79-2026-03 ЭК
ТВ-200;центробежный;компрессор;22;7;11;https://www.tender.pro/api/tender/176711/view_public | https://www.tender.pro/api/tender/287022/view_public | https://fabrikant.ru/trades/atom/PriceMonitoring/?action=view&id=950575;3388 1316105019 есть ТВ-200 центробежная воздух 07.02.2019 заключение ЭПБ № 45-ТУ-00628-2019 Турбовоздуходувки ТВ-200 поз. №№ 701, 702, 703, примен
К-380-102-2;центробежный;компрессор;22;2;6;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-12754-2017 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-80253-2022 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-07748-2014;3803 1644003838 есть К-380-102-2, центробежная среда не названа 25.10.2017 заключение ЭПБ № 43-ТУ-12754-2017 компрессорное оборудование: компрессор цент
К2-150;центробежный;компрессор;21;2;6;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-51795-2022 | https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-52470-2025 | https://www.tektorg.ru/market/procedures/3363645;15199 5610218014 есть К2-150, центробежная по серии среда не названа 01.11.2019 заключение ЭПБ № 49-ТУ-49486-2019 электрокомпрессор К2-150, техн. № 
К-210-62-1;центробежный;компрессор;20;1;5;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-03780-2020 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-13730-2015 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-318917-2023;4704 1658008723 есть К-210-62-1, | В-402А | В-402Б центробежная среда не названа 02.04.2020 заключение ЭПБ № 43-ТУ-03780-2020 на технические устройства
ТВ-200-1,4-01.УЗ;центробежный;компрессор;20;2;5;https://monitor-pb.ru/conclusion/29-%D0%A2%D0%A3-16865-2017 | https://monitor-pb.ru/conclusion/24-%D0%A2%D0%A3-871669-2026 | https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-10985-2024;6267 2426005202 есть ТВ-200-1,4-01.УЗ, центробежная среда не названа 11.06.2026 заключение ЭПБ № 24-ТУ-871609-2026 ЗАКЛЮЧЕНИЕ № СМХ-02-0104-2026 экспертизы п
ТВ-42-1,4;центробежный;воздуходувка;20;3;7;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-07149-2014 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-01462-2021 | https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-55264-2025;10399 3801046700 есть А67-00348, | ТВ-42-1,4 не применимо воздух 14.07.2025 заключение ЭПБ № 67-ТУ-55264-2025 Заключение экспертизы промышленной безопасности на тех
ТВ50/1,6;центробежный;воздуходувка;20;1;5;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-18401-2015 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-11825-2017 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-11826-2017;11336 4214000608 есть ТВ 50/1,6 центробежная воздух 12.10.2015 заключение ЭПБ № 68-ТУ-18401-2015 воздуходувку ТВ 50/1,6 поз. 513 Б-II (ФС 10187), ЦОФ «
К-1500-62-5;центробежный;компрессор;20;1;5;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-22119-2023 | https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-29414-2015 | https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-22038-2023;13870 5191431170 есть К-1500-62-5, центробежная среда не названа 14.12.2015 заключение ЭПБ № 26-ТУ-29414-2015 Центробежный компрессор К-1500-62-5, ст.№2,
ЦК-4;центробежный;компрессор;20;2;10;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-64245-2025 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-09470-2020 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06972-2024;ежная среда не названа 02.04.2024 заключение ЭПБ № 53-ТУ-06980-2024 Влагоотделитель центробежного компрессора ЦК-135/8 (ЦК-4), инв. № 000857, цех №17, ЦВК https://monitor-pb.ru/con
ГПА11;не установлен;ГПА;20;1;10;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-08192-2015 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-08224-2015 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-08202-2015;33398 8905026850 есть ВА 100 | ГПА 11 тип не установлен газ 04.03.2015 заключение ЭПБ № 59-ТУ-08224-2015 взрывозащищенный электродвигатель ВА 100 А4У2 (зав. 
ТВ-200-1,12-01.УЗ;центробежный;воздуходувка;20;1;5;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-25077-2024 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-25289-2024 | https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-873973-2026;37286 6335007320 есть ТВ-200-1,12-01.УЗ центробежная, вид по слову воздух 15.06.2026 заключение ЭПБ № 63-ТУ-873973-2026 Техническое устройство, применяемое на 
ТВ-1;центробежный;воздуходувка;19;4;15;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-18573-2016 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-20982-2015 | https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-14948-2015;347 0266008329 есть центробежная воздух 31.05.2016 заключение ЭПБ № 41-ТУ-18573-2016 Турбовоздуходувка марки ТВ-1 поз. В-2 зав. № 29160 уст. КК-1 цех № 10 НПЗ https://monitor-pb.ru
ЦК-100-61;центробежный;компрессор;19;4;13;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-15277-2018 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31956-2016 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-31957-2016;893 0266048970 есть ЦК-100-61 центробежная среда не названа 12.04.2018 заключение ЭПБ № 41-ТУ-15277-2018 Центробежный турбокомпрессор типа ЦК-100-61 
ТВ100-1,12;центробежный;воздуходувка;19;3;8;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-51900-2023 | https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-547883-2025 | https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-23736-2014;1469 0268008010 есть ТВ100-1,12, | В-304/2, центробежная среда не названа 18.07.2023 заключение ЭПБ № 41-ТУ-51900-2023 Турбокомпрессор ТВ100-1,12, поз.
К-105-61-1;центробежный;компрессор;19;3;5;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-38441-2021 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-06836-2018 | https://nzl.ru/fileadmin/f/nzl/production/references/type/5_referentsii_kompressory_1947_2019.pdf;2293 0277014204 есть К-105-61-1, центробежная среда не названа 19.02.2018 заключение ЭПБ № 41-ТУ-08439-2018 центробежный компрессор К-105-61-1, тех.№29
АК-0;не установлен;генератор азота/кислорода;19;5;10;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-25076-2024 | https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-13383-2014 | https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-18516-2018;4998 1901067718 есть АК-0,6 | ТГК-13 не применимо воздух 04.02.2016 заключение ЭПБ № 66-ТУ-00971-2016 сосуды и аппараты воздухоразделительной уст
ТВ-360;центробежный;нагнетатель;18;1;5;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=ae9c81e8-1818-4dce-b64b-63ddb411c7f3_28faa800-8b58-4e93-e063-07548d0a32d6&infoGuid=ae9c81e8-1818-4dce-b64b-63ddb411c7f3 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=cffbf89f-cb7e-481c-ae53-d5af5284bf81_aaef636b-0946-49c2-9b1c-75dd809d8b94&infoGuid=cffbf89f-cb7e-481c-ae53-d5af5284bf81 | https://etpgpb.ru/procedures/etp/1244847-marketingovoe-issledovanie-v-elektronnoy-forme-na-elektronnoy-torgovoy-ploschadke-na-pravo-zaklyucheniya-dogovora-na-vypolnenie-stroitelno-montazhnyh-rabot-po-;27300 7726671234 планировал ТВ-360 центробежная 10.2024 план 2240784927 позиция 77, сумма 9 005 555,10 ₽ Маркетинговое исследование на выполнение СМР по к
К-12;центробежный;компрессор;17;7;8;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-33619-2014 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-47236-2018 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-54671-2015;3345 1117000011 покупает К-12 центробежная по серии 18.06.2026 тендер 1207301 Конкурсный отбор поставщика компрессорного масла К-12 по заявке №1234 д
К905-61-1;центробежный;компрессор;17;4;5;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%9F-04139-2014 | https://etpgpb.ru/procedure/tender/etp/154940-otkrytyy-zapros-predlozheniy-v-elektronnoy-forme-na-pravo-izgotovleniya-diafragmy-v-stupeni-1381-04-sp3-kompressora-k905-61-1/ | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-17564-2019;4781 1658008723 есть КН-2440-24 | К905-61-1 центробежная воздух 06.02.2025 заключение ЭПБ № 43-ТУ-41498-2025 Заключение № КН-2440-24 экспертизы промышленной безопа
К-104;центробежный;компрессор;16;4;12;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-17107-2018 | https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-24784-2020 | https://monitor-pb.ru/conclusion/61-%D0%97%D0%A1-24818-2020;1818 0274051582 есть К-104 | Л-35-11/1000 не установлен среда не названа 27.04.2018 заключение ЭПБ № 41-ТУ-17107-2018 Десорбер подтоварной воды, п
ГПА-1;не установлен;нагнетатель;16;5;12;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-37131-2016 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-37121-2016 | https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-49427-2018;ЗЭ-ТПО-ТПА-2026 Объект экспертизы: Надземные технологические трубопроводы и трубопроводная арматура обвязки нагнетателя ГПА-1, инв. № 9000379829 https://monitor-pb.ru/conclusion/2-
ВП-50/8М;винтовой;компрессор;16;1;8;https://www.tender.pro/api/tender/331807/view_public | https://www.tender.pro/api/tender/787222/view_public | https://www.tender.pro/api/tender/328779/view_public;3955 1650032058 покупает ВП-50/8М поршневая или винтовая 31.08.2023 тендер 799567 Компрессор ВП-50/8М- 2 ед. инв.№№006637, инв.№004534- Имущество ПАО "ОС
АК-1;не установлен;генератор азота/кислорода;16;4;8;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-04525-2021 | https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-10975-2022 | https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-08762-2022;5938 2204001528 есть АК-1,5 не применимо газ или иная среда 14.07.2016 заключение ЭПБ № 63-ТУ-13183-2016 техническое устройство - азотно-кислород
ТВ-80/1.4;центробежный;воздуходувка;16;1;7;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-28026-2018 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-15712-2016 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-17631-2024;11347 4214000608 есть ФС9620 | С415М | ТВ-80/1.4 центробежная воздух 13.06.2024 заключение ЭПБ № 68-ТУ-17631-2024 компрессоры Зиф-ШВ-5М инвентарный № ФС9620, С415М инве
К-131;центробежный;воздуходувка;16;3;6;https://monitor-pb.ru/conclusion/76-%D0%A2%D0%9F-823315-2026 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-31269-2014 | https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-24021-2015;14315 5250051800 есть К-131 центробежная воздух 03.09.2025 заключение ЭПБ № 52-ТУ-42212-2025 Заключение экспертизы промышленной безопасности на тех
К-350-61-1;центробежный;компрессор;16;1;4;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-19945-2023 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-17474-2019 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-19944-2023;21854 7118004789 есть К-350-61-1 центробежная газ или иная среда 23.12.2019 заключение ЭПБ № 11-ТУ-17474-2019 воздушный турбокомпрессор мод. К-350-61-1 
К350-61-1;центробежный;компрессор;16;1;4;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-15690-2023 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-17562-2019 | https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-17544-2019;21904 7118004789 есть К350-61-1, центробежная газ или иная среда 20.10.2023 заключение ЭПБ № 11-ТУ-15690-2023 воздухоохладитель турбокомпрессора К350-6
ГПА12;не установлен;ГПА;16;1;8;https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-08270-2015 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-08272-2015 | https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-08268-2015;33619 8905026850 есть ГПА 12 тип не установлен газ 04.03.2015 заключение ЭПБ № 59-ТУ-08245-2015 взрывозащищенный электродвигатель АИМР160S8У2,5 (зав
ТВ-50-1,9;центробежный;воздуходувка;16;1;4;https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-715471-2026 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-10380-2018 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-10384-2018;34408 0266048970 есть ТВ-50-1,9, | В-2269/1, центробежная, вид по слову воздух 01.03.2018 заключение ЭПБ № 41-ТУ-10380-2018 воздуходувка марки ТВ-50-1,
ТВ200-1,25;центробежный;воздуходувка;16;1;4;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-01233-2018 | https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02127-2018 | https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-00891-2014;35410 2631015563 есть ТВ 200-1,25, центробежная, вид по слову воздух 30.03.2014 заключение ЭПБ № 35-ТУ-00891-2014 техническое устройство - воздуходувку т
ТВ80-1;центробежный;воздуходувка;16;1;4;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-09072-2024 | https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-09231-2024 | https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-09079-2024;35435 2631015563 есть ТВ 80-1, центробежная, вид по слову воздух 19.03.2024 заключение ЭПБ № 01-ТУ-09072-2024 Воздуходувка типа ТВ 80-1, 2, поз. 506/
ТГ150-1,12;центробежный;компрессор;16;1;16;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04417-2019 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04415-2019 | https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-04421-2019;ММАШ ТЕСТ" (ИНН 5029124262), вывод: соответствует центробежность: названа в тексте заключения «Турбокомпрессор газовый ТГ 150-1,12, позиция № 132 (2 тех/поток)», применяемое на опа
ТВ100-1.12;центробежный;воздуходувка;16;1;8;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-10101-2023 | https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-701227-2026 | https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-09942-2023;42143 5249002485 в работе (заключение ЭПБ действует) ТВ 100-1.12 турбовоздуходувка (центробежная) 17.02.2026 заключение ЭПБ 52-ТУ-701227-2026 от 17.02.2026, АО "НЦ ВОСТНИИ", вывод:
ТВ-80/1,4;центробежный;компрессор;15;2;6;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-51967-2022 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-53926-2022 | https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-06153-2019;2525 0277014204 есть ТВ-80/1,4, центробежная воздух 29.08.2022 заключение ЭПБ № 41-ТУ-51967-2022 Турбовоздуходувка марки ТВ-80/1,4, техн. № 49/1, зав.
ГПА-6;центробежный;ГПА;15;6;8;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=73a804bf-8e75-44ce-ac08-839bfc998c41_cf11e005-eac1-4578-9cef-81776240c37c&infoGuid=73a804bf-8e75-44ce-ac08-839bfc998c41 | https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=cca2c981-91a9-4bed-92e5-ea4ab3b238c6_3a242d94-9151-4d15-a584-a2fa5cc835f8&infoGuid=cca2c981-91a9-4bed-92e5-ea4ab3b238c6 | https://etpgpb.ru/procedures/etp/1108860-prodazha-mtr-po-lotam-107-agregat-gazoperekachivayuschiy-gpa-10r-rm-03-108-agregat-gazoperekachivayuschiy-gpa-10r-rm-03-109-agregat-gazoperekachivayuschiy-gpa-;ь упомянута газ 07.11.2016 заключение ЭПБ № 43-ТУ-10548-2016 надземные технологические трубопроводы обвязки нагнетателя ГПА-6, КЦ №2, г/п Уренгой-Центр 1, ГКС-21-1, КС «Арская», ин
ТВ80-1,4;центробежный;воздуходувка;15;3;5;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-22983-2014 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-25437-2016 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-56292-2015;11406 4218000253 есть ТВ200-1,4 | ТВ80-1,4 центробежная воздух 22.12.2016 заключение ЭПБ № 68-ТУ-25437-2016 техническое устройство: турбокомпрессоры воздушные ТВ2
ГПА-25;центробежный;ГПА;15;5;7;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-10462-2018 | https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-10466-2018 | https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-10610-2018;16311 5907001774 покупает ГПА-25 тип не установлен газ 29.04.2015 тендер 206009 Изготовление и поставка Покупателю на своей территории, на условиях фран
К-500/525;не установлен;компрессор;15;1;1;https://ссылки;тановлен ТЭК-Торг: организация в выгрузке по нашему предмету 170662. Выполнение работ по ремонту и наладке компрессоров К-500/525 треста «Норильскшахтсервис» ООО «Норильскникельрем
К-301;центробежный;компрессор;14;5;8;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-12275-2021 | https://monitor-pb.ru/conclusion/2-%D0%A2%D0%A3-763580-2026 | https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-35847-2014;2020 0274051582 есть 2ГЦ 2-40/51-60, | К-301 центробежная среда не названа 28.03.2026 заключение ЭПБ № 2-ТУ-763580-2026 Центробежный компрессор марки 2ГЦ 2-40/51-60
ЦК-301;центробежный;компрессор;14;5;7;https://monitor-pb.ru/conclusion/66-%D0%97%D0%A1-01887-2020 | https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-14202-2019 | https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-25815-2021;2070 0274051582 есть ЦК-301-1, | ЦК-301-2, | ЦК-301 | Е-309 объект — трубопровод или сооружение, машина лишь упомянута среда не названа 01.04.2015 заключение ЭПБ № 41-ТУ-1
К-500-61-2;центробежный;компрессор;14;1;4;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-04028-2020 | https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02655-2016 | https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02438-2015;7076 2631015563 есть К-500-61-2, центробежная среда не названа 25.03.2015 заключение ЭПБ № 35-ТУ-02438-2015 Центробежный компрессор К-500-61-2, поз. ВК
ТВ-200-1,4-1;центробежный;компрессор;14;1;4;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-28223-2019 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-22686-2016 | https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-22688-2016;11231 4205037640 есть ТВ-200-1,4-1 центробежная среда не названа 30.11.2016 заключение ЭПБ № 68-ТУ-22686-2016 техническое устройство: турбокомпрессор ТВ-2
