marka;klyuch;napisaniya;forma;forma_hodovaya;vstrech;innov;tip;chem_dobyta;primer;ssylka
КОВЕ SRM;КОВЕSRM;КОВЕ SRM;К Л;нет;1;1;компрессор;провайдер;техническое устройство: Винтовой компрессор КОВЕ SRM, техн.№С-401, зав.№70-15257, эксплуатируемое в цехе № 1320, завода БК, ПАО «Нижнекамскнефтехим», г. Нижнекамск, Республика Татарстан;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-72436-2021
Нева-П;НЕВАП;Нева-П;К-К;да;1;1;компрессор;провайдер;на техническое устройство, применяемое на опасном производственном объекте № п/п Наименование Позиция Зав. № 1. Компрессор «Нева-П» 900 2805442 цех №1309, завод БК, ПАО «Нижнекамскнефтехим»;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-09500-2019
Нева-Э;НЕВАЭ;Нева-Э;К-К;да;1;1;компрессор;провайдер;на техническое устройство, применяемое на опасном производственном объекте № п/п Наименование Позиция Зав. № 1. Компрессор «Нева-Э» 917 2805423 цех №1309, завод БК, ПАО «Нижнекамскнефтехим»;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-09508-2019
302ГП 5/70;302ГП5/70;302ГП 5/70 | 302ГП-5/70 | 302ГП5/70;ЦК Ц/Ц;да;1;1;компрессор;провайдер;«Компрессор 302ГП 5/70 поз. №М-591, зав. №113588», расположенное в цехе №2505, завода СПС, применяемое на опасном производственном объекте «Площадка производства стирола и полиэфирных смол» (7) I клас;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-21760-2019
2УМ;2УМ;2УМ;ЦК;да;1;1;компрессор;провайдер;техническое устройство: компрессор поршневой марки 2УМ, техн.№С-740, зав.№271 эксплуатируемое в цехе №6704, завод ОиГ, ПАО «Нижнекамскнефтехим», г. Нижнекамск, Республика Татарстан применяемое на опас;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-280660-2022
Густа-Е;ГУСТАЕ;Густа-Е;К-К;да;1;1;компрессор;провайдер;ЗАКЛЮЧЕНИЕ № 4296/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство Компрессор Густа-Е, поз. 317/3, зав. № 805517 применяемое на опасном производственном объекте «Площадка производс;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-02859-2024
418 RAM-J;418RAMJ;418 RAM-J;Ц Л-Л;нет;1;1;воздуходувка;провайдер;ЗАКЛЮЧЕНИЕ № 3906/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «воздуходувка марки 418 RAM-J (зав. №0701941938, техн.№ В-1029В), применяемое на опасном производственном объекте;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-12287-2024
ТВ-175-1.6;ТВ1751.6;ТВ 175-1,6 | ТВ-175-1,6 | ТВ-175-1.6;К-Ц-Ц.Ц;да;1;1;воздуходувка;провайдер;"Заключение экспертизы промышленной безопасности №1009-21 На технические устройства: компрессоры, принадлежащие ПАО «Казаньоргсинтез», цех НиОПСВ 1.Воздуходувка ТВ-175-1.6 техн.№3Б зав.№586; 2.Воздуход";https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-08750-2022
1SKn 160-1p;1SKN1601P;1SKn 160-1P | 1SKn 160-1p;ЦЛ Ц-ЦЛ;нет;1;1;компрессор;провайдер;Компрессор 1SKn 160-1p, поз. C- 7201, зав. №10- 1790;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-02226-2020
1SKn 160-1P;1SKN1601P;1SKn 160-1P | 1SKn 160-1p;ЦЛ Ц-ЦЛ;нет;1;1;компрессор;провайдер;техническое устройство «Компрессор поршневой 1SKn 160-1P, зав. №10-1790, тех. поз. №С-7201», применяемое на опасном производственном объекте ООО «Ставролен» Наименование ОПО: «Площадка цеха №2 «Раздел;https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-28969-2024
CONTINENTAL 600А.05;CONTINENTAL600А.05;CONTINENTAL 600А.05;Л ЦК.Ц;нет;1;1;компрессор;провайдер;Компрессор CONTINENTAL 600А.05, инв.№000025743, поз.49-3;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-14529-2020
NK серии 43.2.2.1.01.10.23;NKСЕРИИ43.2.2.1.01.10.23;NK серии 43.2.2.1.01.10.23;Л К Ц.Ц.Ц.Ц.Ц.Ц.Ц;нет;1;1;компрессор;провайдер;"на технические устройства «Двухступенчатый компрессор с воздушным охлаждением NK серии 43.2.2.1.01.10.23», зав.№250/07, поз.№120; зав.№249/07, поз.№120, применяемые на опасном производственном объекте";https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-02718-2025
433ГЦ2-143/25-321;433ГЦ2143/25321;433ГЦ2-143/25-321;ЦКЦ-Ц/Ц-Ц;да;1;1;компрессор;провайдер;компрессор центробежный типа 433ГЦ2-143/25-321 ПМЗ, поз. № 401;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-10009-2020
СТД-1250-2;СТД12502;СТД-1250-2;К-Ц-Ц;да;1;1;не машина;провайдер;техническое устройство, применяемое на опасном производственном объекте Электродвигатель СТД-1250-2 зав. № 19276 УВКиОСВ, цех 52/152, объект 1351/23, поз. Нагнетатель №8;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-08652-2015
2а-1400-7-3;2А140073;2А-1400-7-3 | 2А1400-7-3 | 2а-1400-7-3;ЦК-Ц-Ц-Ц;да;1;1;компрессор;провайдер;компрессор 2а-1400-7-3 тех. № 18/4, инв. № 393168;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-17829-2019
Эсслинген;ЭССЛИНГЕН;Эсслинген;К;да;1;1;компрессор;провайдер;Поршневой компрессор марки ф. Эсслинген, поз. 4(5), зав. № 8078, ПНХ, цех 86/57, установка 57/133, объект 916;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-710129-2026
Borsig;BORSIG;Borsig;Л;да;1;1;компрессор;провайдер;Поршневой компрессор марки ф. Borsig, поз. 1/6, зав. № б/н, ПНХ, цех 19/47, установка 47, объект 52;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-818660-2026
Borsig (РНД) / Demag (РВД;BORSIG(РНД)/DEMAG(РВД;Borsig (РНД) / Demag (РВД;Л (К) / Л (К;нет;1;1;компрессор;провайдер;Поршневой компрессор марки ф. Borsig (РНД) ф. Demag (РВД), поз. 1/8, зав. № б/н, ПНХ, цех 19/47, установка 47, объект 52;https://monitor-pb.ru/conclusion/38-%D0%A2%D0%A3-829062-2026
433ГЦ-2-143-25-321;433ГЦ214325321;433ГЦ-2-143-25-321;ЦК-Ц-Ц-Ц-Ц;нет;1;1;компрессор;провайдер;ЗЭПБ №1031/ЭПБ-2023 на техническое устройство, применяемое на опасном производственном объекте компрессор центробежный синтез-газа 433ГЦ-2-143-25-321 ПМЗ с приводом турбины П 32/15-101/41,5 поз.№ 401,;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-00185-2024
1150-42-1;1150421;1150-42-1;Ц-Ц-Ц;да;1;1;компрессор;провайдер;нитрозный нагнетатель 1150-42-1, зав. № ГТ-227, входящий в состав комплексного машинного агрегата типа КМА-2, поз. № М-10, инв. № 20305. Цех АК-72;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-00459-2016
DAUER;DAUER;DAUER;Л;да;1;1;компрессор;провайдер;"№ 21-ТУ-0358-13 на техническое устройство: поршневой компрессор DAUER поз.3, установленный в объекте 438, участок ремонта запорной арматуры ремонтного предприятия ОАО ""АНХК"" г. Ангарск, Иркутской обла";https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-00419-2014
Д20х2;Д20Х2;Д20х2;КЦКЦ;да;1;1;компрессор;провайдер;техническое устройство Компрессор центробежный Д20х2 поз. 28/3, зав. № 2481, применяемое АО «АНХК» на опасном производственном объекте «Площадка участка основного производства» (рег. № А67-00371-0001);https://monitor-pb.ru/conclusion/62-%D0%A2%D0%A3-21354-2020
402ВПЧ4/220;402ВПЧ4/220;402ВПЧ4/220;ЦКЦ/Ц;да;1;1;компрессор;провайдер;технического устройства: компрессора 402ВПЧ4/220 зав.№ 91303, принадлежащие ОАО «Кузбассэнерго» ТУ ГРЭС;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-02362-2016
202ВП 10/8;202ВП10/8;202ВП 10/8 | 202ВП-10/8 | 202ВП10/8;ЦК Ц/Ц;да;1;1;компрессор;провайдер;"техническое устройство:компрессоры 202ВП 10/8 поз. № 1, № 2, № 3, ПАО ""ЦОФ ""Березовская""";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-20389-2015
HALBERG 2Еs 1,6-1/166;HALBERG2ЕS1.61/166;HALBERG 2Еs 1,6-1/166;Л ЦКЛ Ц,Ц-Ц/Ц;нет;1;1;компрессор;провайдер;техническое устройство: поршневой компрессор «HALBERG» 2Еs 1,6-1/166 поз. 402В, применяемое на опасном производственном объекте I класса опасности – «Площадки производства капролактама» рег. № А68-000;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-29826-2020
XLE L7 NL;XLEL7NL;XLE L7 NL;Л ЛЦ Л;нет;1;1;компрессор;провайдер;"На техническое устройство «Поршневой компрессор XLE L7 NL», зав.№V1.AFTNL.644, поз. №Р701А, инв. № 48904, включая элементы маслосистемы, , применяемое на опасном производственном объекте ""Площадка про";https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-724480-2026
