inn;predpriyatie;nomer;predmet;zakazchik;vid;summa;data;data_konca;stadiya;region;vid_kartochki;need_id;tender_id;auction_id;ssylka;ssylka_vneshnyaya
5103070023;"АО ""АПАТИТ""";5378986;на выполнение работ по ремонту внутренних помещений в здании «Гаража санитарно-уборочных машин»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;13.03.2025;27.03.2025;Прием предложений завершен;;потребность;5378986;;;https://zakupki.mos.ru/need/5378986;https://business.roseltorg.ru/lk/orders/all/48625?ppauth=1
5103070023;"АО ""АПАТИТ""";5377515;Выполнения работ по ремонту/переделке роликов фильтроткани и поддерживающих роликов диаметры: 406-408-418-426;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.03.2025;19.03.2025;Прием предложений завершен;;потребность;5377515;;;https://zakupki.mos.ru/need/5377515;https://business.roseltorg.ru/lk/orders/all/48388?ppauth=1
5103070023;"АО ""АПАТИТ""";5377513;Выполнения работ по ремонту/переделке роликов фильтроткани и поддерживающих роликов диаметры: 159 -168;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.03.2025;19.03.2025;Прием предложений завершен;;потребность;5377513;;;https://zakupki.mos.ru/need/5377513;https://business.roseltorg.ru/lk/orders/all/48388?ppauth=1
5103070023;"АО ""АПАТИТ""";5377462;Общая твердая стоимость выполнения работ с учетом ТМЦ по в/д №АП.Ч-160-01-28-537ТСГВС;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.03.2025;21.03.2025;Отменена;;потребность;5377462;;;https://zakupki.mos.ru/need/5377462;https://business.roseltorg.ru/lk/orders/all/48380?ppauth=1
5103070023;"АО ""АПАТИТ""";5377463;Общая твердая стоимость выполнения работ с учетом ТМЦ по в/д №АП.Ч-160-01-28-537КЖ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.03.2025;21.03.2025;Отменена;;потребность;5377463;;;https://zakupki.mos.ru/need/5377463;https://business.roseltorg.ru/lk/orders/all/48380?ppauth=1
5103070023;"АО ""АПАТИТ""";5377466;Общая твердая стоимость выполнения работ с учетом ТМЦ по в/д №АП.Ч-160-01-28-537ТСГВС;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.03.2025;21.03.2025;Прием предложений завершен;;потребность;5377466;;;https://zakupki.mos.ru/need/5377466;https://business.roseltorg.ru/lk/orders/all/48380?ppauth=1
5103070023;"АО ""АПАТИТ""";5377468;Общая твердая стоимость выполнения работ с учетом ТМЦ по в/д №АП.Ч-160-01-28-537КЖ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.03.2025;21.03.2025;Прием предложений завершен;;потребность;5377468;;;https://zakupki.mos.ru/need/5377468;https://business.roseltorg.ru/lk/orders/all/48380?ppauth=1
5103070023;"АО ""АПАТИТ""";5376699;На выполнение комплекса работ (монтаж трубопроводов с антикоррозионной защитой, металлоконструкций и оборудования) по строительству эстакады слива жидкой серы для;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;12.03.2025;26.03.2025;Прием предложений завершен;;потребность;5376699;;;https://zakupki.mos.ru/need/5376699;https://business.roseltorg.ru/lk/orders/all/48275?ppauth=1
5103070023;"АО ""АПАТИТ""";5372237;Модернизации предзаводской площадки БФ АО «Апатит» с изменением ландшафтного дизайна»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;10.03.2025;20.03.2025;Отменена;;потребность;5372237;;;https://zakupki.mos.ru/need/5372237;https://business.roseltorg.ru/lk/orders/all/47690?ppauth=1
5103070023;"АО ""АПАТИТ""";5388942;Модернизации предзаводской площадки БФ АО «Апатит» с изменением ландшафтного дизайна»;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;10.03.2025;27.03.2025;Прием предложений завершен;;потребность;5388942;;;https://zakupki.mos.ru/need/5388942;https://business.roseltorg.ru/lk/orders/all/47690?ppauth=1
5103070023;"АО ""АПАТИТ""";5371492;Межплощадочные инженерные коммуникации ППФ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;07.03.2025;14.03.2025;Прием предложений завершен;;потребность;5371492;;;https://zakupki.mos.ru/need/5371492;https://business.roseltorg.ru/lk/orders/all/47567?ppauth=1
5103070023;"АО ""АПАТИТ""";5371114;Выполнение СМР и ПНР - «Тех.перевооружение ВОС СКП;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;07.03.2025;20.03.2025;Прием предложений завершен;;потребность;5371114;;;https://zakupki.mos.ru/need/5371114;https://business.roseltorg.ru/lk/orders/all/47517?ppauth=1
5103070023;"АО ""АПАТИТ""";5370726;Предельная стоимость выполнения работ;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;06.03.2025;14.03.2025;Прием предложений завершен;;потребность;5370726;;;https://zakupki.mos.ru/need/5370726;https://business.roseltorg.ru/lk/orders/all/47436?ppauth=1
5103070023;"АО ""АПАТИТ""";5366688;Предельная стоимость работ СМР, материалы, ПНР;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;04.03.2025;17.03.2025;Прием предложений завершен;;потребность;5366688;;;https://zakupki.mos.ru/need/5366688;https://business.roseltorg.ru/lk/orders/all/46827?ppauth=1
5103070023;"АО ""АПАТИТ""";5365227;На выполнение строительно-монтажных работ по устройству подъемной платформы ПС-939 в здании Лечебного корпуса СГК «Изумруд;АКЦИОНЕРНОЕ ОБЩЕСТВО АПАТИТ;;;03.03.2025;17.03.2025;Прием предложений завершен;;потребность;5365227;;;https://zakupki.mos.ru/need/5365227;https://business.roseltorg.ru/lk/orders/all/46552?ppauth=1
