inn;predpriyatie;nomer;predmet;zakon;summa;stadiya;data;data_konca;ssylka;ssylka_eis
6608001915;"МУП ""ВОДОКАНАЛ""";32616259283;343-ЗК(ЭЛ) Поставка комплекса аппаратно-программного для медицинских исследований на базе хроматографа с ПИ детектором;223-ФЗ;3101818.72;Подача заявок;03.08.2026;12.08.2026;https://www.rts-tender.ru/poisk/id/l32616259283-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616259283
6608001915;"МУП ""ВОДОКАНАЛ""";32616254317;373-ЗК(ЭЛ) Поставка расходных материалов для бензиновой техники;223-ФЗ;514280.00;Подача заявок;31.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616254317-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616254317
6608001915;"МУП ""ВОДОКАНАЛ""";32616249656;375-К(ЭЛ) Выполнение строительно-монтажных и пуско-наладочных работ по объекту: «Модернизация Южной аэрационной станции. Этап строительства 3»;223-ФЗ;3411185165.03;Подача заявок;30.07.2026;17.08.2026;https://www.rts-tender.ru/poisk/id/l32616249656-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616249656
6608001915;"МУП ""ВОДОКАНАЛ""";32616247749;371-К(ЭЛ)(СМП) Выполнение строительно-монтажных работ по объекту: «Объект № 1: «Строительство сетей водоснабжения и водоотведения к многоквартирному жилому дому с подземным паркингом по пер. Встречный в г. Екатеринбурге» (Заказчик: ООО СЗ «Прогресс Урал»). Объект № 2: «Строительство сетей водоотведе;223-ФЗ;38347037.69;Подача заявок;29.07.2026;17.08.2026;https://www.rts-tender.ru/poisk/id/l32616247749-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616247749
6608001915;"МУП ""ВОДОКАНАЛ""";32616247664;369-К(ЭЛ)(СМП) Выполнение строительно-монтажных работ по объекту: «Строительство сетей водоотведения и водоснабжения к жилому комплексу в квартале ул. Московская-Циолковского-Айвазовского-Авиационная. 2 очередь строительства. Многоэтажный четырехсекционный жилой дом со встроенно-пристроенным помещен;223-ФЗ;8558082.72;Подача заявок;29.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616247664-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616247664
6608001915;"МУП ""ВОДОКАНАЛ""";32616247136;370 - К(ЭЛ)(СМП) Выполнение работ по объекту: «Разработка рабочей и сметной документации на временное усиление конструкций перекрытия, расположенного на отм. – 5,450 м по Объекту: «Здание главной канализационной насосной станции с камерой слива МУП «Водоканал» по адресу: г. Екатеринбург, ул. Таганск;223-ФЗ;3868200.00;Подача заявок;29.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616247136-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616247136
6608001915;"МУП ""ВОДОКАНАЛ""";32616239660;327-К(ЭЛ)(СМП) Выполнение проектно-изыскательских работ по объекту: «Строительство водовода от камеры 1-В-1, включая дюкер через Верх-Исетский пруд и модернизацию камер 1-В-1 и 2-х камер дюкера»;223-ФЗ;28998425.22;Подача заявок;27.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616239660-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616239660
6608001915;"МУП ""ВОДОКАНАЛ""";32616238439;352-ЗК(ЭЛ) Поставка питательных сред и химических реактивов;223-ФЗ;3156205.89;Подача заявок;27.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616238439-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616238439
6608001915;"МУП ""ВОДОКАНАЛ""";32616238343;360-ЗК(ЭЛ)(СМП) Поставка вакуумного насоса на илососную машину;223-ФЗ;557570.50;Подача заявок;27.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616238343-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616238343
6608001915;"МУП ""ВОДОКАНАЛ""";32616237857;366-К(ЭЛ)(СМП) Выполнение работ по капитальному ремонту ограждения АТП МУП «Водоканал» по адресу: г. Екатеринбург, ул. Радищева, 40;223-ФЗ;4705066.45;Подача заявок;27.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616237857-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616237857
6608001915;"МУП ""ВОДОКАНАЛ""";32616237589;353-ЗК(ЭЛ) Поставка конструкции для отбора проб в сборе с переходным мостиком;223-ФЗ;665000.00;Подача заявок;27.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616237589-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616237589
6608001915;"МУП ""ВОДОКАНАЛ""";32616237545;359-ЗК(ЭЛ)(СМП) Поставка строп;223-ФЗ;1171979.18;Подача заявок;27.07.2026;10.08.2026;https://www.rts-tender.ru/poisk/id/l32616237545-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616237545
6608001915;"МУП ""ВОДОКАНАЛ""";32616235237;"365-К(ЭЛ)(СМП) Выполнение строительно-монтажных работ по объекту: «Строительство сетей водоснабжения и водоотведения к многоквартирному жилому дому, расположенному по адресу: г. Екатеринбург, ул. Цвиллинга, д. 2» (Заказчик: ООО ""СЗ ""Астра-Парк"")";223-ФЗ;3696930.73;Подача заявок;24.07.2026;05.08.2026;https://www.rts-tender.ru/poisk/id/l32616235237-1/;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?regNumber=32616235237
