inn;predpriyatie;region;tip_mashiny;sreda;sostoyanie;marki;data_fakta;chto_za_data;chem_dokazano;citata;ssylka_na_istochnik;istochnik;sayt;telefony_predpriyatiya;lyudej_tehnicheskih
0253019901;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АГИДЕЛЬВОДОКАНАЛ"" ГОРОДСКОГО ОКРУГА ГОРОД АГИДЕЛЬ РЕСПУБЛИКИ БАШКОРТОСТАН";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Поставка турбокомпрессорной воздуходувки;https://www.tektorg.ru/44-fz/procedures/4521486;ТЭК-Торг;;;0
0264014479;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""НЕФТЕКАМСКВОДОКАНАЛ""";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Капитальный ремонт компрессора (воздуходувки) на биологических очистных сооружениях (г.Нефтекамск, с.Амзя, ул.Свердлова, 12);https://www.tektorg.ru/44-fz/procedures/19167255;ТЭК-Торг;;;0
0266008329;"ОАО ""Газпром нефтехим Салават""";;центробежная;воздух;есть;;31.05.2016;дата заключения экспертизы;заключение ЭПБ № 41-ТУ-18573-2016;Турбовоздуходувка марки ТВ-1 поз. В-2 зав. № 29160 уст. КК-1 цех № 10 НПЗ;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-18573-2016;реестр заключений ЭПБ, monitor-pb.ru;;;1
0268036071;"ОАО ""Синтез-Каучук""";;центробежная;воздух;есть;ТВ-80-1,2;30.11.2017;дата заключения экспертизы;заключение ЭПБ № 41-ТУ-45074-2017;Турбовоздуходувка ТВ-80-1,2 поз. 3, инв. № А00252, цех ПМЦК;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-45074-2017;реестр заключений ЭПБ, monitor-pb.ru;;;0
0269034133;"ООО ""Туймазинское ГПП""";;центробежная;воздух;есть;1Г21-50-4В, | В-501/2;07.12.2021;дата заключения экспертизы;заключение ЭПБ № 41-ТУ-64347-2021;ЗАКЛЮЧЕНИЕ №25-ТУ-0303-2021 экспертизы промышленной безопасности на техническое устройство: «Воздуходувка 1Г21-50-4В, зав. №0303393, рег.№В-501/2» применяемое на опасном производственном объекте I класса опасности «Площадка газоперерабатыва;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-64347-2021;реестр заключений ЭПБ, monitor-pb.ru;;;0
1106014140;"ООО ""ЛУКОЙЛ-Коми"" (ИНН 1106014140)";;центробежная;воздух и газ названы оба;есть;150С-01/А,;06.05.2022;дата заключения экспертизы;заключение ЭПБ № 25-ТУ-02329-2022;Центробежная воздуходувка 151-07, зав.№ 121510024, техн.№ 150С-01/А, местонахождение: главная воздуходувка, УПН «Баяндыская», КЦДНГ-3, Баяндыское м-е, ТПП «ЛУКОЙЛ-Усинскнефтегаз» ООО «ЛУКОЙЛ-Коми», ОПО Объекты системы обустройства месторожд;https://monitor-pb.ru/conclusion/25-%D0%A2%D0%A3-02329-2022;реестр заключений ЭПБ, monitor-pb.ru;;;0
1435333590;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕГИОНАЛЬНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ РЕСПУБЛИКИ САХА (ЯКУТИЯ)""";;центробежная;воздух;планировал;NX 400-C050;09.2019;когда планируют разместить закупку;план 2180296149 позиция 145, сумма 15 500 000,00 ₽;Воздуходувка NX 400-C050 (Qmax=16 000v3/vby, P=60кПа), в шумозащитном кожухе со встроенной панелью управления в комплекте;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=eeb5af7d-8f90-4138-9888-6699ec515e0c_3fe143c5-6bae-4268-a317-1bb0bb129610&infoGuid=eeb5af7d-8f90-4138-9888-6699ec515e0c;план закупки 223-ФЗ, ЕИС;;;0
2204001528;"ФКП  ""БОЗ""";;центробежная;воздух;есть;ТВ200-1,12;15.12.2014;дата заключения экспертизы;заключение ЭПБ № 63-ТУ-25476-2014;турбовоздуходувку № 3 марки ТВ200-1,12 зав. № 972;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-25476-2014;реестр заключений ЭПБ, monitor-pb.ru;;;0
2235003211;АДМИНИСТРАЦИЯ БЛАГОВЕЩЕНСКОГО РАЙОНА АЛТАЙСКОГО КРАЯ;;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Поставка Турбовоздуходувки на аэродинамических подшипниках;https://www.tektorg.ru/44-fz/procedures/12833662;ТЭК-Торг;;;0
2617010041;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЭВЕРЕСТ""";;центробежная;воздух;есть на площадке;;;когда мы это увидели;ТЭК-Торг: организация в выгрузке по нашему предмету;Поставка воздуходувки электрической;https://www.tektorg.ru/44-fz/procedures/775439;ТЭК-Торг;;;0
