inn;predpriyatie;tip;marka_model;zavodskoy_nomer;sreda;data;nomer_zaklucheniya;vyvod;srok_do;sila;klass;istochnik;ssylka;citata;chem_marka;status_sroka;citata_sroka;istochnikov
1609013424;"ООО ""АРЧА""";ресивер;ASS-0,056;716;;05.02.2026;16-ТУ-676754-2026;соответствует;05.02.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676754-2026;ЗАКЛЮЧЕНИЕ № 2455ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный вертикальный ASS-0,056, зав.№ 716, рег.№ 43-07/0022, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район,;регулярка;действует;сосуды, трубопроводы) Действует — до 05.02.2031 Действует Действует до 05.02.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";ресивер;А200М1;715;;05.02.2026;16-ТУ-676763-2026;соответствует;05.02.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676763-2026;ЗАКЛЮЧЕНИЕ № 2454ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный вертикальный ASS-А200М1, зав.№ 715, рег.№ 43-07/0018, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район;регулярка;действует;сосуды, трубопроводы) Действует — до 05.02.2031 Действует Действует до 05.02.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";ресивер;А200М;714;;05.02.2026;16-ТУ-676768-2026;соответствует;05.02.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676768-2026;ЗАКЛЮЧЕНИЕ № 2450ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный вертикальный ASS-А200М, зав.№ 714, рег.№ 43-07/0020, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район,;регулярка;действует;сосуды, трубопроводы) Действует — до 05.02.2031 Действует Действует до 05.02.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";ресивер;AS-0,75М;713;;05.02.2026;16-ТУ-676782-2026;соответствует;05.02.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-676782-2026;ЗАКЛЮЧЕНИЕ № 2448ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный горизонтальный AS-0,75М, зав.№ 713, рег.№ 43-07/0021, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район;регулярка;действует;сосуды, трубопроводы) Действует — до 05.02.2031 Действует Действует до 05.02.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";ресивер;AS-0,75М;712;;04.02.2026;16-ТУ-673872-2026;соответствует;04.02.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-673872-2026;ЗАКЛЮЧЕНИЕ № 2447ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный горизонтальный AS-0,75М, зав.№ 712, рег.№ 43-07/0019, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский район;регулярка;действует;сосуды, трубопроводы) Действует — до 04.02.2031 Действует Действует до 04.02.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";ресивер;AS-0,75М;711А;;04.02.2026;16-ТУ-673879-2026;соответствует;04.02.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-673879-2026;ЗАКЛЮЧЕНИЕ № 2446ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Ресивер аммиачный горизонтальный AS-0,75М, зав.№ 711А, рег.№ 43-07/0017, применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината» III класса опасности, рег. № А43-06772-0006, по адресу: 422250, Республика Татарстан, Балтасинский райо;регулярка;действует;сосуды, трубопроводы) Действует — до 04.02.2031 Действует Действует до 04.02.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";компрессор;П220-7-2;2714;;29.01.2026;16-ТУ-664510-2026;соответствует;29.01.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664510-2026;"ЗАКЛЮЧЕНИЕ № 2481ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки П220-7-2, зав.№ 2714, поз.№ К№4; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Бал";регулярка;действует;сосуды, трубопроводы) Действует — до 29.01.2031 Действует Действует до 29.01.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";компрессор;П220-7-2;1790;;29.01.2026;16-ТУ-664513-2026;соответствует;29.01.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664513-2026;"ЗАКЛЮЧЕНИЕ № 2482ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки П220-7-2, зав.№ 1790, поз.№ К№5; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Бал";регулярка;действует;сосуды, трубопроводы) Действует — до 29.01.2031 Действует Действует до 29.01.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";компрессор;П220-7-2;;;29.01.2026;16-ТУ-664516-2026;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664516-2026;"ЗАКЛЮЧЕНИЕ № 2461ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки П220-7-2, зав.№ б/н, поз. № К№3; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Бал";регулярка;;;1
1609013424;"ООО ""АРЧА""";компрессор;NF-811;820101;;29.01.2026;16-ТУ-664528-2026;соответствует;29.01.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664528-2026;"ЗАКЛЮЧЕНИЕ № 2458ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки NF-811, зав. № 820101, поз. № К№2; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район, п.г.т. Б";регулярка;действует;сосуды, трубопроводы) Действует — до 29.01.2031 Действует Действует до 29.01.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";компрессор;NF-811;700335-00/811102;;29.01.2026;16-ТУ-664561-2026;соответствует;29.01.2031;1;надзорная запись: заключение ЭПБ;"ООО ""ЦРД-16""";https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-664561-2026;"ЗАКЛЮЧЕНИЕ № 2456ТУ-25 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Компрессор поршневой марки NF-811, зав.№ 700335-00/811102, поз. № К№1; применяемый на опасном производственном объекте «Площадка аммиачной холодильной установки Балтасинского маслодельно-молочного комбината», III класса опасности, рег. № А43-06772-0006 по адресу: 422250, Республика Татарстан, Балтасинский район,";регулярка;действует;сосуды, трубопроводы) Действует — до 29.01.2031 Действует Действует до 29.01.2031 Скачать подтверждение (PDF) Скопировать номер Данные актуальны на 0;2
1609013424;"ООО ""АРЧА""";компрессор;NF-811;700335-00/811102;;05.03.2020;43-ТУ-02716-2020;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""НИЦ ""Ника""";https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-02716-2020;"компрессор поршневой марки NF-811, поз. К№1, зав. № 700335-00/811102; компрессор поршневой марки NF-811, поз. К№2, зав. № 820101; компрессор поршневой марки П220-7-2, поз. К№3, зав. № б/н; компрессор поршневой марки П220-7-2, поз. К№4, зав. № 2714; компрессор поршневой марки П220-7-2, поз. К№5, зав. № 1790";регулярка;;;1
1609013424;"ООО ""АРЧА""";ресивер;AS-0.75M;711А;;06.10.2017;43-ТУ-11549-2017;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""РЕШЕНИЕ""";https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-11549-2017;Ресивер аммиачный горизонтальный AS-0.75M зав. №711А, Ресивер аммиачный горизонтальный AS-0.75M зав. №712, Ресивер аммиачный горизонтальный AS-0.75M зав. №713, Ресивер аммиачный вертикальный ASS-А200М зав. №714, Ресивер аммиачный вертикальный ASS-А200М1 зав. №715, Ресивер аммиачный вертикальный ASS-0,056 зав. №716 площадки аммиачной холодильной установки Балтасинского маслодельно-молочного комбина;регулярка;;;1
0260002024;"""Дюртюлинский комбинат молочных продуктов""";компрессор;NF-811;8112650;;19.02.2014;41-ТУ-05276-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05276-2014;Поршневой компрессор типа NF-811, поз. 403, зав. №8112650;регулярка;срок не указан в реестре;;2
0260002024;"""Дюртюлинский комбинат молочных продуктов""";компрессор;NF-811;;;19.02.2014;41-ТУ-05282-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05282-2014;Поршневой компрессор типа NF-811, поз. 404, зав. №б/н;регулярка;;;1
0260002024;"""Дюртюлинский комбинат молочных продуктов""";компрессор;NF-812;8121216;;19.02.2014;41-ТУ-05284-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05284-2014;Поршневой компрессор типа NF-812, поз. 405, зав. №8121216;регулярка;срок не указан в реестре;;2
0260002024;"""Дюртюлинский комбинат молочных продуктов""";компрессор;NF-812;;;19.02.2014;41-ТУ-05290-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05290-2014;Поршневой компрессор типа NF-812, поз. 406, зав. №б/н;регулярка;;;1
0260002024;"""Дюртюлинский комбинат молочных продуктов""";компрессор;NF-411;4111721;;19.02.2014;41-ТУ-05297-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05297-2014;Поршневой компрессор типа NF-411, поз. 407, зав. №4111721;регулярка;срок не указан в реестре;;2
0260002024;"""Дюртюлинский комбинат молочных продуктов""";компрессор;NF-411;;;19.02.2014;41-ТУ-05302-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""ТЕХНИЧЕСКАЯ ДИАГНОСТИКА""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-05302-2014;Поршневой компрессор типа NF-411, поз. 408, зав. №б/н;регулярка;;;1
0266028780;"ООО ""ИТЦ СНХРС""";воздуходувка;ТВ-1;28124;воздух;31.03.2014;41-ТУ-11258-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""НХД""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11258-2014;Турбовоздуходувка ТВ-1 поз. В-3, зав.№ 28124;регулярка;срок не указан в реестре;;2
0266028780;"ООО ""ИТЦ СНХРС""";воздуходувка;ТВ-1;28283;воздух;31.03.2014;41-ТУ-11260-2014;соответствует;;1;надзорная запись: заключение ЭПБ;"ООО ""НХД""";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-11260-2014;Турбовоздуходувка ТВ-1 поз. В-2а, зав.№ 28283;регулярка;срок не указан в реестре;;2
