nazvanie;inn;istochnik;prichina
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Министерство поддержки и развития малого предпринимательства, потребительского рынка и услуг НО;5260157098;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"ООО ""ТЕПЛОСЕТЬ""";6949108432;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Владимир Викторович Кустиков;246200025445;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Владимир Викторович Кустиков;246200025445;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Владимир Викторович Кустиков;246200025445;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Владимир Викторович Кустиков;246200025445;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"Общество с ограниченной ответственностью ""Экоальянс""";6629026420;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""Экоальянс""";6629026420;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""Великий Велес""";4100038260;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"ООО ""ГОРИЗОНТ 38""";3810079117;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""ПРИРОДНЫЕ РЕСУРСЫ""";3128047181;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""ПРИРОДНЫЕ РЕСУРСЫ""";3128047181;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
МП ПОЖКХ;6374000825;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕДУЩИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ХИМИЧЕСКОЙ ТЕХНОЛОГИИ""";7724675770;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕДУЩИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ХИМИЧЕСКОЙ ТЕХНОЛОГИИ""";7724675770;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Краснокамская бумажная фабрика Гознака;5916002502;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Краснокамская бумажная фабрика Гознака;5916002502;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Краснокамская бумажная фабрика Гознака;5916002502;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"Общество с ограниченной ответственностью ""АРК ГРУПП""";7720871607;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Краснокамская бумажная фабрика Гознака;5916002502;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
"Общество с ограниченной ответственностью ""Поток""";7452155475;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
"Общество с ограниченной ответственностью ""Поток""";7452155475;Фабрикант;кандидатов 5, ИНН не подтверждён второй стороной
Краснокамская бумажная фабрика Гознака;5916002502;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
Группа «АЛРОСА»;6731040514;Фабрикант;кандидатов 3, ИНН не подтверждён второй стороной
"ООО ""Кока-кола ЭйчБиСи Евразия""";7701215046;Фабрикант;юрлицо ликвидировано (LIQUIDATED)
