marka;forma;vstrech;innov;tip;chem_dobyta;primer;ssylka
ВА180М12 УХЛ1;КЦКЦ КЦ;69;1;не машина;провайдер;«Площадка компрессорной станции Сосногорского ЛПУ МГ» рег. № А25-00251-0618, класс опасности ОПО II - Взрывозащищённый электродвигатель «ВА180М12 УХЛ1» зав. № 10320015, ст. №5035, место установки фили;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-16377-2019
4HR3KN-200/210-5-249WLK;ЦЛЦЛ-Ц/Ц-Ц-ЦЛ;54;1;компрессор;провайдер+регулярка;Техническое устройство: Компрессорная установка 4HR3KN-200/210-5-249WLK, ст. № 1, зав. № 51818, инв. № 000001463 Место установки: 301130, Российская Федерация, Тульская область, Ленинский район, дер. ;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-34324-2024
400-20Л;Ц-ЦК;36;1;генератор кислорода;провайдер+регулярка;Баллон 400-20Л зав.№1799, рег.№14771 на ОПО А14-00426-0016 площадка кислородной станции;https://monitor-pb.ru/conclusion/14-%D0%A2%D0%A3-07843-2017
4 HR 3 KN-200/210-5-249 WLK;Ц Л Ц Л-Ц/Ц-Ц-Ц Л;32;1;компрессор;провайдер+регулярка;компрессор зав. №51817, поз. № КУ-2 (в составе компрессорной установки типа 4 HR 3 KN-200/210-5-249 WLK), эксплуатируемый на АГНКС-1 г. Тула филиала ООО «Газпром газомоторное топливо» в г. Москва;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-22719-2019
4HR 3KN-200/210-5-249WLK;ЦЛ ЦЛ-Ц/Ц-Ц-ЦЛ;24;1;компрессор;провайдер+регулярка;техническое устройство- Компрессорная установка 4HR 3KN-200/210-5-249WLK, инв.№ 000001923, заводской № 65010, ООО «Газпром газомоторное топливо», ОПО Автомобильная газонаполнительная компрессорная ста;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-21785-2021
В2g-25/6.3.Z;КЦЛ-Ц/Ц.Ц.Л;24;1;компрессор;провайдер+регулярка;Компрессор типа В2g-25/6.3.Z, зав. №5431, тех. №CII 3/4.6., инв. №4315 ПАО «Уфаоргсинтез», отделение 203, объект 203-205 Производство полиэтилена ПАО «Уфаоргсинтез»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-16974-2019
B2g25.6,3z;ЛЦЛЦ.Ц,ЦЛ;24;1;компрессор;провайдер+регулярка;Компрессор поршневой высокого давления B2g25.6,3z (зав.№5439, техн.№ 3/4.4), эксплуатируемый на ПАО «Казаньоргсинтез», завод Полиэтилена, производство полиэтилена низкой плотности - сэвилен , установк;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-47795-2025
Ж-7-;К-Ц-;23;1;ресивер;регулярка;Центральный ресивер поз.9/3, зав.№ 1036, рег.№ 1217х Цех Ж-7-7а-7б, отделение Ж-7, АО «СНХЗ»;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-27020-2023
GMа 12.5 HV;ЛК Ц.Ц Л;21;1;воздуходувка;провайдер+регулярка;Заключение №0292/18-2024 экспертизы промышленной безопасности на техническое устройство: Бустер механический (вакуумная-ротационная газодувка марки GMа 12.5 HV (зав. №61-206508/02 (871211), техн. №В-5;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-39621-2025
"7""х11 1/2"" RBS";"Ц""КЦ Ц/Ц"" Л";21;1;воздуходувка;провайдер;"Воздуходувка марки 7&quot;х11 1/2&quot; RBS, техн. № 150В-2/2, зав. № 9874, инвентарный № 7605 (Площадка ПАО &quot;Уфаоргсинтез&quot;, Производство полиэтилена, объект 500-504, отделение 503)";https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-28669-2022
