inn;predpriyatie;kartochek_vzyato;lyudej;s_mobilnym;ne_razobrano;pochemu
9717088118;"ООО ""РТ-ИНЖИНИРИНГ""";17;2;0;0;обойдено
2705090529;"АО ""МНОГОВЕРШИННОЕ""";30;10;3;0;обойдено
1433000147;"АК ""АЛРОСА"" (ПАО)";5;4;0;0;обойдено
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";13;1;0;0;обойдено
7714626332;"АО ""ЭЙЧ ЭНД ЭН""";16;5;5;0;обойдено
7707727918;"ООО ""УРАЛМАШ НГО ХОЛДИНГ""";30;16;4;0;обойдено
6230051360;"ООО ""ЗАВОД ТЕХНО""";1;1;1;0;обойдено
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";1;1;0;0;обойдено
7802849641;"ООО ""ПИВОВАРЕННАЯ КОМПАНИЯ ""БАЛТИКА""";2;2;2;0;обойдено
6673092045;"АО ""ОКБ ""НОВАТОР""";14;2;0;0;обойдено
7705739450;"ООО ""НЕСТЛЕ РОССИЯ""";1;1;1;0;обойдено
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";10;4;0;0;обойдено
4205081463;"ООО ""ТД ""СИБИРСКИЙ ЦЕМЕНТ""";1;1;1;0;обойдено
0270007455;"АО ""УЧАЛИНСКИЙ ГОК""";2;1;0;0;обойдено
5918218070;"ООО ""ГОРНОЗАВОДСКЦЕМЕНТ""";5;2;0;0;обойдено
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";18;3;0;0;обойдено
7701568891;"ООО ""ГРК ""БЫСТРИНСКОЕ""";13;1;0;0;обойдено
6671156423;"ПАО ""ЭЛ5-ЭНЕРГО""";20;6;1;0;обойдено
6606003385;"АО ""УРАЛЭЛЕКТРОМЕДЬ""";2;2;0;0;обойдено
8901030855;"АО ""САЛЕХАРДЭНЕРГО""";4;2;0;0;обойдено
