inn;predpriyatie;sayt;itog;chem_podtverzhden;sam_sebya
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";https://sibur.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «сибуртюменьгаз», и имени предприятия нет в домене — это сайт группы;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»
8703009509;"АО ""РУДНИК КАРАЛЬВЕЕМ""";https://goldpro.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «Copy of золотые проекты | «Золотые Проекты - Management company» Войти», а не «рудник каральвеем», и имени предприятия нет в домене — это сайт группы;Copy of золотые проекты | «Золотые Проекты - Management company» Войти Защита персонал
1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";https://sibur.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «нижнекамскнефтехим», и имени предприятия нет в домене — это сайт группы;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»
1654040701;"АО ""ЭССЕН ПРОДАКШН АГ""";https://maheev.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «Махеевъ - официальный сайт | ТМ Махеевъ 2026 Защита прав потребителей », а не «эссен продакшн аг», и имени предприятия нет в домене — это сайт группы;Махеевъ - официальный сайт | ТМ Махеевъ 2026 Защита прав потребителей Политика обработки
4345465597;"ООО ПК ""КИРОВ ТАЙР""";https://safe-tec.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «Российский производитель промышленного страховочного снаряжения и сред», а не «пк киров тайр», и имени предприятия нет в домене — это сайт группы;Российский производитель промышленного страховочного снаряжения и средств индивидуальной защиты при работе на высоте. | 
1655283577;"ООО ""НАНОФАРМА ДЕВЕЛОПМЕНТ""";https://izvarino-pharma.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «Изварино Фарма», а не «нанофарма девелопмент», и имени предприятия нет в домене — это сайт группы;Изварино Фарма
6672326854;"ООО ""СЖАТЫЙ ВОЗДУХ""";https://pnevmo.ru;сайт группы;название совпало, но в реквизитах сайта ЧУЖОЙ ИНН (7721206787) — это домен группы, а не юрлица;МАГИМЭКС - Все для сжатого воздуха. Компрессоры и пневмооборудование, пневмоинструмент | ООО «МАГИМЭКС», 2000 – 2026 г
6672326854;"ООО ""СЖАТЫЙ ВОЗДУХ""";https://gazzachas.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ГазЗаЧас - газовые баллоны и технические газы в Москве. Заправка балло», а не «сжатый воздух», и имени предприятия нет в домене — это сайт группы;ГазЗаЧас - газовые баллоны и технические газы в Москве. Заправка баллонов газом, обмен, продажа, аренда в Москве
6324079869;"ООО ""ЛАДА ФУД ТЕХНОЛОДЖИ""";https://xn--80ab3alkpp.xn--p1ai;сайт группы;название совпало, но сайт зовёт СЕБЯ «Хорлбат», а не «лада фуд технолоджи», и имени предприятия нет в домене — это сайт группы;Хорлбат
7017075536;"ООО ""ТОМСКНЕФТЕХИМ""";https://sibur.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «томскнефтехим», и имени предприятия нет в домене — это сайт группы;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»
5905018998;"АО ""СИБУР-ХИМПРОМ""";https://sibur.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «сибур-химпром», и имени предприятия нет в домене — это сайт группы;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»
8603166755;"ООО ""ЗАПСИБТРАНСГАЗ""";https://sibur.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдин», а не «запсибтрансгаз», и имени предприятия нет в домене — это сайт группы;ПАО СИБУР | ПАО «СИБУР Холдинг» - официальный сайт | ПАО «СИБУР Холдинг»
3325011410;"АО ""МИЛМОНД""";https://hfoods.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «Хаме | Хаме», а не «милмонд», и имени предприятия нет в домене — это сайт группы;Хаме | Хаме
5406109142;"АО ""ГЛАВНОВОСИБИРСКСТРОЙ""";https://www.ao-gns.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ОАО ГНС», а не «главновосибирскстрой», и имени предприятия нет в домене — это сайт группы;ОАО ГНС
6229047842;"ООО ""ЭЛЛАДА""";https://xn-----6kccajysqclvh3a6c5h.xn--p1ai;сайт группы;название совпало, но сайт зовёт СЕБЯ «Каникулы в Анапе Санатории ФНС России | Официальный сайт», а не «эллада», и имени предприятия нет в домене — это сайт группы;Каникулы в Анапе Санатории ФНС России | Официальный сайт
2223624670;"ООО ""БЛАГО-БАРНАУЛ""";https://gcblago.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «ГК «Благо» — Производитель растительного масла в России | «Благо» Поль», а не «благо-барнаул», и имени предприятия нет в домене — это сайт группы;ГК «Благо» — Производитель растительного масла в России | «Благо» Пользовательское соглашение en Компания История комп
1327000226;"ООО ""ВКМ - СТАЛЬ""";https://rmrail.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «Компания РМ Рейл – производство грузовых вагонов и оборудования для не», а не «вкм - сталь», и имени предприятия нет в домене — это сайт группы;Компания РМ Рейл – производство грузовых вагонов и оборудования для нефтехимической и газовой промышленности
5030041780;"ООО ""АУР НАРО-ФОМИНСК""";https://cans.ru;сайт группы;название совпало, но сайт зовёт СЕБЯ «Арнест Упаковочные Решения», а не «аур наро-фоминск», и имени предприятия нет в домене — это сайт группы;Арнест Упаковочные Решения
