ТЗ к прогону: 61, воркеров 3
  готово abac-kompressor--vintovye-kompressory: кэш за 0 с
  готово abac-kompressor--filtry-magistralnye: кэш за 0 с
  готово abac-kompressor--osushiteli: кэш за 0 с
  готово ac-kompressor--osushiteli: кэш за 0 с
  готово abac-kompressor--tsiklonnye-separatory: кэш за 0 с
  готово ac-kompressor--dizelnye-kompressory: кэш за 0 с
  готово ac-kompressor--vintovye-kompressory: кэш за 0 с
  готово ac-kompressor--spiralnye-kompressory: кэш за 0 с
  готово ac-kompressor--tsiklonnye-separatory: кэш за 0 с
  готово ac-kompressor--porshnevye-kompressory: кэш за 0 с
  готово berg-kompressor--vintovye-kompressory: кэш за 0 с
  готово berg-kompressor--osushiteli: кэш за 0 с
  готово berg-kompressor--filtry-magistralnye: кэш за 0 с
  готово berg-kompressor--dizelnye-kompressory: кэш за 0 с
