Файл;Исход;Адрес из ТЗ;Куда класть;Примечание
abac-kompressor.ru/abac-kompressor--azotnaya-stanciya.html;НЕТ;https://abac-kompressor.ru/catalog/azotnaya-stanciya/;СОЗДАТЬ: https://abac-kompressor.ru/catalog/azotnaya-stanciya/;
abac-kompressor.ru/abac-kompressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://abac-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://abac-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;
abac-kompressor.ru/abac-kompressor--kislorodnaya-stanciya.html;НЕТ;https://abac-kompressor.ru/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://abac-kompressor.ru/catalog/kislorodnaya-stanciya/;
abac-kompressor.ru/abac-kompressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://abac-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://abac-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;
abac-kompressor.ru/abac-kompressor--kompressornaya-stanciya.html;НЕТ;https://abac-kompressor.ru/catalog/kompressornaya-stanciya/;СОЗДАТЬ: https://abac-kompressor.ru/catalog/kompressornaya-stanciya/;
abac-kompressor.ru/abac-kompressor--mks.html;НЕТ;https://abac-kompressor.ru/catalog/mks/;СОЗДАТЬ: https://abac-kompressor.ru/catalog/mks/;
ac-kompressor.ru/ac-kompressor--azotnaya-stanciya.html;НЕТ;https://ac-kompressor.ru/catalog/azotnaya-stanciya/;СОЗДАТЬ: https://ac-kompressor.ru/catalog/azotnaya-stanciya/;
ac-kompressor.ru/ac-kompressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://ac-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://ac-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;
ac-kompressor.ru/ac-kompressor--kislorodnaya-stanciya.html;НЕТ;https://ac-kompressor.ru/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://ac-kompressor.ru/catalog/kislorodnaya-stanciya/;
ac-kompressor.ru/ac-kompressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://ac-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://ac-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;
ac-kompressor.ru/ac-kompressor--kompressornaya-stanciya.html;НЕТ;https://ac-kompressor.ru/catalog/kompressornaya-stanciya/;СОЗДАТЬ: https://ac-kompressor.ru/catalog/kompressornaya-stanciya/;
ac-kompressor.ru/ac-kompressor--mks.html;НЕТ;https://ac-kompressor.ru/catalog/mks/;СОЗДАТЬ: https://ac-kompressor.ru/catalog/mks/;
berg-kompressor.ru/berg-kompressor--azotnaya-stanciya.html;НЕТ;https://berg-kompressor.ru/catalog/azotnaya-stanciya/;СОЗДАТЬ: https://berg-kompressor.ru/catalog/azotnaya-stanciya/;
berg-kompressor.ru/berg-kompressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://berg-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://berg-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;
berg-kompressor.ru/berg-kompressor--kislorodnaya-stanciya.html;НЕТ;https://berg-kompressor.ru/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://berg-kompressor.ru/catalog/kislorodnaya-stanciya/;
berg-kompressor.ru/berg-kompressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://berg-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://berg-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;
berg-kompressor.ru/berg-kompressor--mks.html;НЕТ;https://berg-kompressor.ru/catalog/mks/;СОЗДАТЬ: https://berg-kompressor.ru/catalog/mks/;адрес занят страницей berg-kompressor--kompressornaya-stanciya
crossair-compressor.ru/crossair-compressor--azotnaya-stanciya.html;НЕТ;https://crossair-compressor.ru/catalog/azotnaya-stanciya/;СОЗДАТЬ: https://crossair-compressor.ru/catalog/azotnaya-stanciya/;
crossair-compressor.ru/crossair-compressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://crossair-compressor.ru/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://crossair-compressor.ru/catalog/azotnaya-stanciya-modulnaya/;
crossair-compressor.ru/crossair-compressor--kislorodnaya-stanciya.html;НЕТ;https://crossair-compressor.ru/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://crossair-compressor.ru/catalog/kislorodnaya-stanciya/;
crossair-compressor.ru/crossair-compressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://crossair-compressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://crossair-compressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;
crossair-compressor.ru/crossair-compressor--kompressornaya-stanciya.html;НЕТ;https://crossair-compressor.ru/catalog/kompressornaya-stanciya/;СОЗДАТЬ: https://crossair-compressor.ru/catalog/kompressornaya-stanciya/;
crossair-compressor.ru/crossair-compressor--mks.html;НЕТ;https://crossair-compressor.ru/catalog/mks/;СОЗДАТЬ: https://crossair-compressor.ru/catalog/mks/;
dali-kompressor.ru/dali-kompressor--azotnaya-stanciya.html;НЕТ;https://dali-kompressor.ru/catalog/azotnaya-stanciya/;СОЗДАТЬ: https://dali-kompressor.ru/catalog/azotnaya-stanciya/;
dali-kompressor.ru/dali-kompressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://dali-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://dali-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;
dali-kompressor.ru/dali-kompressor--kislorodnaya-stanciya.html;НЕТ;https://dali-kompressor.ru/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://dali-kompressor.ru/catalog/kislorodnaya-stanciya/;
dali-kompressor.ru/dali-kompressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://dali-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://dali-kompressor.ru/catalog/kislorodnaya-stanciya-modulnaya/;
dali-kompressor.ru/dali-kompressor--kompressornaya-stanciya.html;НЕТ;https://dali-kompressor.ru/catalog/kompressornaya-stanciya/;СОЗДАТЬ: https://dali-kompressor.ru/catalog/kompressornaya-stanciya/;
dali-kompressor.ru/dali-kompressor--mks.html;НЕТ;https://dali-kompressor.ru/catalog/mks/;СОЗДАТЬ: https://dali-kompressor.ru/catalog/mks/;
ekomak-kompressor.com/ekomak-kompressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://ekomak-kompressor.com/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://ekomak-kompressor.com/catalog/azotnaya-stanciya-modulnaya/;адрес занят страницей ekomak-kompressor--azotnaya-stanciya
ekomak-kompressor.com/ekomak-kompressor--kislorodnaya-stanciya.html;НЕТ;https://ekomak-kompressor.com/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://ekomak-kompressor.com/catalog/kislorodnaya-stanciya/;
ekomak-kompressor.com/ekomak-kompressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://ekomak-kompressor.com/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://ekomak-kompressor.com/catalog/kislorodnaya-stanciya-modulnaya/;
ekomak-kompressor.com/ekomak-kompressor--kompressornaya-stanciya.html;НЕТ;https://ekomak-kompressor.com/catalog/kompressornaya-stanciya/;СОЗДАТЬ: https://ekomak-kompressor.com/catalog/kompressornaya-stanciya/;
ekomak-kompressor.com/ekomak-kompressor--mks.html;НЕТ;https://ekomak-kompressor.com/catalog/mks/;СОЗДАТЬ: https://ekomak-kompressor.com/catalog/mks/;
enger-air.ru/enger-air--azotnaya-stanciya-modulnaya.html;НЕТ;https://enger-air.ru/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://enger-air.ru/catalog/azotnaya-stanciya-modulnaya/;адрес занят страницей enger-air--azotnaya-stanciya
enger-air.ru/enger-air--generatory-azota.html;НЕТ;https://enger-air.ru/catalog/generatory-azota/;СОЗДАТЬ: https://enger-air.ru/catalog/generatory-azota/;адрес занят страницей enger-air--azotnaya-stanciya
enger-air.ru/enger-air--generatory-kisloroda.html;НЕТ;https://enger-air.ru/catalog/generatory-kisloroda/;СОЗДАТЬ: https://enger-air.ru/catalog/generatory-kisloroda/;адрес занят страницей enger-air--kislorodnaya-stanciya
enger-air.ru/enger-air--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://enger-air.ru/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://enger-air.ru/catalog/kislorodnaya-stanciya-modulnaya/;адрес занят страницей enger-air--kislorodnaya-stanciya
enger-air.ru/enger-air--mks.html;НЕТ;https://enger-air.ru/catalog/mks/;СОЗДАТЬ новый раздел (адрес https://enger-air.ru/catalog/mks/ занят);адрес занят страницей enger-air--kompressornaya-stanciya
fini-compressor.com/fini-compressor--azotnaya-stanciya.html;НЕТ;https://fini-compressor.com/catalog/azotnaya-stanciya/;СОЗДАТЬ: https://fini-compressor.com/catalog/azotnaya-stanciya/;
fini-compressor.com/fini-compressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://fini-compressor.com/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://fini-compressor.com/catalog/azotnaya-stanciya-modulnaya/;
fini-compressor.com/fini-compressor--kislorodnaya-stanciya.html;НЕТ;https://fini-compressor.com/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://fini-compressor.com/catalog/kislorodnaya-stanciya/;
fini-compressor.com/fini-compressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://fini-compressor.com/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://fini-compressor.com/catalog/kislorodnaya-stanciya-modulnaya/;
fini-compressor.com/fini-compressor--kompressornaya-stanciya.html;НЕТ;https://fini-compressor.com/catalog/kompressornaya-stanciya/;СОЗДАТЬ: https://fini-compressor.com/catalog/kompressornaya-stanciya/;
fini-compressor.com/fini-compressor--mks.html;НЕТ;https://fini-compressor.com/catalog/mks/;СОЗДАТЬ: https://fini-compressor.com/catalog/mks/;
ironmac-compressor.com/ironmac-compressor--azotnaya-stanciya.html;НЕТ;https://ironmac-compressor.com/catalog/azotnaya-stanciya/;СОЗДАТЬ: https://ironmac-compressor.com/catalog/azotnaya-stanciya/;
ironmac-compressor.com/ironmac-compressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://ironmac-compressor.com/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://ironmac-compressor.com/catalog/azotnaya-stanciya-modulnaya/;
ironmac-compressor.com/ironmac-compressor--kislorodnaya-stanciya.html;НЕТ;https://ironmac-compressor.com/catalog/kislorodnaya-stanciya/;СОЗДАТЬ: https://ironmac-compressor.com/catalog/kislorodnaya-stanciya/;
ironmac-compressor.com/ironmac-compressor--kislorodnaya-stanciya-modulnaya.html;НЕТ;https://ironmac-compressor.com/catalog/kislorodnaya-stanciya-modulnaya/;СОЗДАТЬ: https://ironmac-compressor.com/catalog/kislorodnaya-stanciya-modulnaya/;
ironmac-compressor.com/ironmac-compressor--kompressornaya-stanciya.html;НЕТ;https://ironmac-compressor.com/catalog/kompressornaya-stanciya/;СОЗДАТЬ: https://ironmac-compressor.com/catalog/kompressornaya-stanciya/;
remeza-kompressor.ru/remeza-kompressor--azotnaya-stanciya-modulnaya.html;НЕТ;https://remeza-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;СОЗДАТЬ: https://remeza-kompressor.ru/catalog/azotnaya-stanciya-modulnaya/;адрес занят страницей remeza-kompressor--azotnaya-stanciya
